uniform_rank,img_rel_path,image_id,path_stub,p_abnormal
57,train/Normal/00499653.png,Normal_00499653,train/Normal/00499653.png,0.481445
58,train/Normal/00462787.png,Normal_00462787,train/Normal/00462787.png,0.474365
59,train/Normal/00428317.png,Normal_00428317,train/Normal/00428317.png,0.471191
60,train/Normal/00313867.png,Normal_00313867,train/Normal/00313867.png,0.462646
61,train/Normal/00312268.png,Normal_00312268,train/Normal/00312268.png,0.461182
62,train/Normal/00471490.png,Normal_00471490,train/Normal/00471490.png,0.45752
63,train/Normal/00317503.png,Normal_00317503,train/Normal/00317503.png,0.456299
64,train/Normal/00018926.png,Normal_00018926,train/Normal/00018926.png,0.447998
65,train/Normal/00345686.png,Normal_00345686,train/Normal/00345686.png,0.446045
66,train/Normal/00463730.png,Normal_00463730,train/Normal/00463730.png,0.436279
67,train/Normal/00321463.png,Normal_00321463,train/Normal/00321463.png,0.429932
68,train/Normal/00344448.png,Normal_00344448,train/Normal/00344448.png,0.427979
69,train/Normal/00354695.png,Normal_00354695,train/Normal/00354695.png,0.425293
70,train/Normal/00473308.png,Normal_00473308,train/Normal/00473308.png,0.423584
71,train/Normal/00399031.png,Normal_00399031,train/Normal/00399031.png,0.421875
72,train/Normal/00013447.png,Normal_00013447,train/Normal/00013447.png,0.419434
73,train/Normal/00368992.png,Normal_00368992,train/Normal/00368992.png,0.412109
74,train/Normal/00479528.png,Normal_00479528,train/Normal/00479528.png,0.408691
75,train/Normal/00369033.png,Normal_00369033,train/Normal/00369033.png,0.404785
76,train/Normal/00341812.png,Normal_00341812,train/Normal/00341812.png,0.404541
77,train/Normal/00315400.png,Normal_00315400,train/Normal/00315400.png,0.401855
78,train/Normal/00306773.png,Normal_00306773,train/Normal/00306773.png,0.39624
79,train/Normal/00038009.png,Normal_00038009,train/Normal/00038009.png,0.391357
80,train/Normal/00400764.png,Normal_00400764,train/Normal/00400764.png,0.387695
81,train/Normal/00035450.png,Normal_00035450,train/Normal/00035450.png,0.370361
82,train/Normal/00277841.png,Normal_00277841,train/Normal/00277841.png,0.368408
83,train/Normal/00481075.png,Normal_00481075,train/Normal/00481075.png,0.366211
84,train/Normal/00350271.png,Normal_00350271,train/Normal/00350271.png,0.365479
85,train/Normal/00006200.png,Normal_00006200,train/Normal/00006200.png,0.362793
86,train/Normal/00402029.png,Normal_00402029,train/Normal/00402029.png,0.361328
87,train/Normal/00348805.png,Normal_00348805,train/Normal/00348805.png,0.360596
88,train/Normal/00374379.png,Normal_00374379,train/Normal/00374379.png,0.360596
89,train/Normal/00444328.png,Normal_00444328,train/Normal/00444328.png,0.360352
90,train/Normal/00153734.png,Normal_00153734,train/Normal/00153734.png,0.359375
91,train/Normal/00314982.png,Normal_00314982,train/Normal/00314982.png,0.35791
92,train/Normal/00001524.png,Normal_00001524,train/Normal/00001524.png,0.357178
93,train/Normal/00132693.png,Normal_00132693,train/Normal/00132693.png,0.357178
94,train/Normal/00477476.png,Normal_00477476,train/Normal/00477476.png,0.355957
95,train/Normal/00383285.png,Normal_00383285,train/Normal/00383285.png,0.350586
96,train/Normal/00039977.png,Normal_00039977,train/Normal/00039977.png,0.348877
97,train/Normal/00285297.png,Normal_00285297,train/Normal/00285297.png,0.345459
98,train/Normal/00498029.png,Normal_00498029,train/Normal/00498029.png,0.344727
99,train/Normal/00399106.png,Normal_00399106,train/Normal/00399106.png,0.343994
100,train/Normal/00491113.png,Normal_00491113,train/Normal/00491113.png,0.34082
101,train/Normal/00380312.png,Normal_00380312,train/Normal/00380312.png,0.3396
102,train/Normal/00509588.png,Normal_00509588,train/Normal/00509588.png,0.337891
103,train/Normal/00137177.png,Normal_00137177,train/Normal/00137177.png,0.335693
104,train/Normal/00421255.png,Normal_00421255,train/Normal/00421255.png,0.329834
105,train/Normal/00436092.png,Normal_00436092,train/Normal/00436092.png,0.32373
106,train/Normal/00312330.png,Normal_00312330,train/Normal/00312330.png,0.323486
107,train/Normal/00405592.png,Normal_00405592,train/Normal/00405592.png,0.323486
108,train/Normal/00341239.png,Normal_00341239,train/Normal/00341239.png,0.32251
109,train/Normal/00391827.png,Normal_00391827,train/Normal/00391827.png,0.317139
110,train/Normal/00029682.png,Normal_00029682,train/Normal/00029682.png,0.316895
111,train/Normal/00288624.png,Normal_00288624,train/Normal/00288624.png,0.313965
112,train/Normal/00306064.png,Normal_00306064,train/Normal/00306064.png,0.312744
113,train/Normal/00279179.png,Normal_00279179,train/Normal/00279179.png,0.309814
114,train/Normal/00387104.png,Normal_00387104,train/Normal/00387104.png,0.307129
115,train/Normal/00159576.png,Normal_00159576,train/Normal/00159576.png,0.303223
116,train/Normal/00276363.png,Normal_00276363,train/Normal/00276363.png,0.30127
117,train/Normal/00503763.png,Normal_00503763,train/Normal/00503763.png,0.298584
118,train/Normal/00308456.png,Normal_00308456,train/Normal/00308456.png,0.296143
119,train/Normal/00315540.png,Normal_00315540,train/Normal/00315540.png,0.296143
120,train/Normal/00278336.png,Normal_00278336,train/Normal/00278336.png,0.294922
121,train/Normal/00002861.png,Normal_00002861,train/Normal/00002861.png,0.292969
122,train/Normal/00417012.png,Normal_00417012,train/Normal/00417012.png,0.291748
123,train/Normal/00018652.png,Normal_00018652,train/Normal/00018652.png,0.289795
124,train/Normal/00342738.png,Normal_00342738,train/Normal/00342738.png,0.289062
125,train/Normal/00464987.png,Normal_00464987,train/Normal/00464987.png,0.286621
126,train/Normal/00360211.png,Normal_00360211,train/Normal/00360211.png,0.28418
127,train/Normal/00163562.png,Normal_00163562,train/Normal/00163562.png,0.283691
128,train/Normal/00415827.png,Normal_00415827,train/Normal/00415827.png,0.283203
129,train/Normal/00315086.png,Normal_00315086,train/Normal/00315086.png,0.280273
130,train/Normal/00462155.png,Normal_00462155,train/Normal/00462155.png,0.280029
131,train/Normal/00278211.png,Normal_00278211,train/Normal/00278211.png,0.279053
132,train/Normal/00032145.png,Normal_00032145,train/Normal/00032145.png,0.2771
133,train/Normal/00431168.png,Normal_00431168,train/Normal/00431168.png,0.275146
134,train/Normal/00480646.png,Normal_00480646,train/Normal/00480646.png,0.275146
135,train/Normal/00414877.png,Normal_00414877,train/Normal/00414877.png,0.274902
136,train/Normal/00457555.png,Normal_00457555,train/Normal/00457555.png,0.274414
137,train/Normal/00423666.png,Normal_00423666,train/Normal/00423666.png,0.265869
138,train/Normal/00298702.png,Normal_00298702,train/Normal/00298702.png,0.265137
139,train/Normal/00429058.png,Normal_00429058,train/Normal/00429058.png,0.259521
140,train/Normal/00444256.png,Normal_00444256,train/Normal/00444256.png,0.259521
141,train/Normal/00387838.png,Normal_00387838,train/Normal/00387838.png,0.257568
142,train/Normal/00324327.png,Normal_00324327,train/Normal/00324327.png,0.256836
143,train/Normal/00416011.png,Normal_00416011,train/Normal/00416011.png,0.256836
144,train/Normal/00002449.png,Normal_00002449,train/Normal/00002449.png,0.252197
145,train/Normal/00486991.png,Normal_00486991,train/Normal/00486991.png,0.24585
146,train/Normal/00446817.png,Normal_00446817,train/Normal/00446817.png,0.245239
147,train/Normal/00344240.png,Normal_00344240,train/Normal/00344240.png,0.245117
148,train/Normal/00394189.png,Normal_00394189,train/Normal/00394189.png,0.244995
149,train/Normal/00027237.png,Normal_00027237,train/Normal/00027237.png,0.241455
150,train/Normal/00482040.png,Normal_00482040,train/Normal/00482040.png,0.241089
151,train/Normal/00020509.png,Normal_00020509,train/Normal/00020509.png,0.237549
