group_id,source,fold,total_n,positive_n,negative_n
filename_bucket_1000:1092,numeric_filename_bucket,3,83,18,65
filename_bucket_1000:1099,numeric_filename_bucket,3,72,28,44
filename_bucket_1000:1135,numeric_filename_bucket,3,113,74,39
filename_bucket_1000:1137,numeric_filename_bucket,3,79,7,72
filename_bucket_1000:1195,numeric_filename_bucket,3,89,68,21
filename_bucket_1000:1198,numeric_filename_bucket,3,112,65,47
filename_bucket_1000:1199,numeric_filename_bucket,3,100,23,77
filename_bucket_1000:1213,numeric_filename_bucket,3,133,61,72
filename_bucket_1000:1218,numeric_filename_bucket,3,97,52,45
filename_bucket_1000:1219,numeric_filename_bucket,3,78,61,17
filename_bucket_1000:1223,numeric_filename_bucket,3,86,17,69
filename_bucket_1000:1240,numeric_filename_bucket,3,78,0,78
filename_bucket_1000:1258,numeric_filename_bucket,3,103,17,86
filename_bucket_1000:1271,numeric_filename_bucket,3,69,6,63
filename_bucket_1000:1280,numeric_filename_bucket,3,73,32,41
filename_bucket_1000:1290,numeric_filename_bucket,3,76,29,47
filename_bucket_1000:1299,numeric_filename_bucket,3,88,4,84
filename_bucket_1000:148,numeric_filename_bucket,3,144,117,27
filename_bucket_1000:161,numeric_filename_bucket,3,104,98,6
filename_bucket_1000:166,numeric_filename_bucket,3,96,74,22
filename_bucket_1000:170,numeric_filename_bucket,3,72,66,6
filename_bucket_1000:187,numeric_filename_bucket,3,97,28,69
filename_bucket_1000:196,numeric_filename_bucket,3,97,36,61
filename_bucket_1000:213,numeric_filename_bucket,3,78,8,70
filename_bucket_1000:229,numeric_filename_bucket,3,70,37,33
filename_bucket_1000:233,numeric_filename_bucket,3,80,37,43
filename_bucket_1000:236,numeric_filename_bucket,3,84,21,63
filename_bucket_1000:254,numeric_filename_bucket,3,105,6,99
filename_bucket_1000:256,numeric_filename_bucket,3,77,21,56
filename_bucket_1000:268,numeric_filename_bucket,3,93,5,88
filename_bucket_1000:269,numeric_filename_bucket,3,65,11,54
filename_bucket_1000:271,numeric_filename_bucket,3,68,9,59
filename_bucket_1000:276,numeric_filename_bucket,3,84,49,35
filename_bucket_1000:279,numeric_filename_bucket,3,110,103,7
filename_bucket_1000:280,numeric_filename_bucket,3,112,97,15
filename_bucket_1000:283,numeric_filename_bucket,3,159,87,72
filename_bucket_1000:295,numeric_filename_bucket,3,69,20,49
filename_bucket_1000:300,numeric_filename_bucket,3,105,80,25
filename_bucket_1000:306,numeric_filename_bucket,3,72,37,35
filename_bucket_1000:315,numeric_filename_bucket,3,79,1,78
filename_bucket_1000:321,numeric_filename_bucket,3,128,64,64
filename_bucket_1000:329,numeric_filename_bucket,3,102,37,65
filename_bucket_1000:336,numeric_filename_bucket,3,80,46,34
filename_bucket_1000:348,numeric_filename_bucket,3,87,37,50
filename_bucket_1000:351,numeric_filename_bucket,3,66,28,38
filename_bucket_1000:369,numeric_filename_bucket,3,91,36,55
filename_bucket_1000:373,numeric_filename_bucket,3,124,8,116
filename_bucket_1000:403,numeric_filename_bucket,3,83,25,58
filename_bucket_1000:406,numeric_filename_bucket,3,102,76,26
filename_bucket_1000:439,numeric_filename_bucket,3,65,42,23
filename_bucket_1000:449,numeric_filename_bucket,3,103,83,20
filename_bucket_1000:453,numeric_filename_bucket,3,113,110,3
filename_bucket_1000:462,numeric_filename_bucket,3,96,24,72
filename_bucket_1000:470,numeric_filename_bucket,3,72,46,26
filename_bucket_1000:479,numeric_filename_bucket,3,90,2,88
filename_bucket_1000:493,numeric_filename_bucket,3,108,18,90
filename_bucket_1000:503,numeric_filename_bucket,3,122,24,98
filename_bucket_1000:504,numeric_filename_bucket,3,115,84,31
filename_bucket_1000:508,numeric_filename_bucket,3,159,131,28
filename_bucket_1000:515,numeric_filename_bucket,3,75,4,71
filename_bucket_1000:529,numeric_filename_bucket,3,100,2,98
filename_bucket_1000:534,numeric_filename_bucket,3,89,0,89
filename_bucket_1000:554,numeric_filename_bucket,3,108,46,62
filename_bucket_1000:559,numeric_filename_bucket,3,170,104,66
filename_bucket_1000:571,numeric_filename_bucket,3,124,78,46
filename_bucket_1000:574,numeric_filename_bucket,3,120,72,48
filename_bucket_1000:578,numeric_filename_bucket,3,118,8,110
filename_bucket_1000:582,numeric_filename_bucket,3,84,32,52
filename_bucket_1000:583,numeric_filename_bucket,3,104,34,70
filename_bucket_1000:589,numeric_filename_bucket,3,87,24,63
filename_bucket_1000:593,numeric_filename_bucket,3,127,96,31
filename_bucket_1000:597,numeric_filename_bucket,3,110,77,33
filename_bucket_1000:627,numeric_filename_bucket,3,108,97,11
filename_bucket_1000:630,numeric_filename_bucket,3,120,94,26
filename_bucket_1000:667,numeric_filename_bucket,3,118,95,23
filename_bucket_1000:690,numeric_filename_bucket,3,152,140,12
filename_bucket_1000:693,numeric_filename_bucket,3,155,120,35
filename_bucket_1000:695,numeric_filename_bucket,3,123,97,26
filename_bucket_1000:696,numeric_filename_bucket,3,150,132,18
filename_bucket_1000:701,numeric_filename_bucket,3,240,217,23
filename_bucket_1000:708,numeric_filename_bucket,3,174,125,49
filename_bucket_1000:725,numeric_filename_bucket,3,150,145,5
filename_bucket_1000:728,numeric_filename_bucket,3,110,74,36
filename_bucket_1000:745,numeric_filename_bucket,3,122,90,32
filename_bucket_1000:749,numeric_filename_bucket,3,85,73,12
filename_bucket_1000:767,numeric_filename_bucket,3,145,84,61
filename_bucket_1000:771,numeric_filename_bucket,3,120,32,88
filename_bucket_1000:786,numeric_filename_bucket,3,146,88,58
filename_bucket_1000:788,numeric_filename_bucket,3,107,29,78
filename_bucket_1000:792,numeric_filename_bucket,3,80,10,70
filename_bucket_1000:798,numeric_filename_bucket,3,83,12,71
filename_bucket_1000:808,numeric_filename_bucket,3,108,17,91
filename_bucket_1000:813,numeric_filename_bucket,3,80,46,34
filename_bucket_1000:826,numeric_filename_bucket,3,134,7,127
filename_bucket_1000:860,numeric_filename_bucket,3,129,33,96
