evidence_id,title,screening_depth,reading_basis,sections_checked,method_summary,claim_boundary,stage1_implication,primary_url
OPENALEX_W4288803965,Adaptive Second Order Coresets for Data-efficient Machine Learning,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"To alleviate such costs, there has been a sustained effort to develop data-efficient training methods that can carefully select subsets of the training examples that generalize on par with the full training data.",Subset-pruning accuracy results do not prove tail-safe replay under repeated exposure.,Evaluate value jointly with coverage and redundancy at the actual replay budget.,https://doi.org/10.48550/arxiv.2207.13887
OPENALEX_W3134623377,Extending Contrastive Learning to Unsupervised Coreset Selection,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,We propose an entirely unlabeled coreset selection method.,Subset-pruning accuracy results do not prove tail-safe replay under repeated exposure.,Evaluate value jointly with coverage and redundancy at the actual replay budget.,https://doi.org/10.1109/access.2022.3142758
OPENALEX_W4296545158,Pruning Neural Networks via Coresets and Convex Geometry: Towards No Assumptions,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"To this end, we suggest a novel and robust framework for computing such coresets under mild assumptions on the model's weights and without any assumption on the training data.",Subset-pruning accuracy results do not prove tail-safe replay under repeated exposure.,Evaluate value jointly with coverage and redundancy at the actual replay budget.,https://doi.org/10.48550/arxiv.2209.08554
OPENALEX_W3166994320,Minimum Coresets for Maxima Representation of Multidimensional Data,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"For the two-dimensional case, we develop an optimal polynomial-time algorithm for the minimum $ \varepsilon $-coreset problem by transforming it into the shortest-cycle problem in a directed graph.",Subset-pruning accuracy results do not prove tail-safe replay under repeated exposure.,Evaluate value jointly with coverage and redundancy at the actual replay budget.,https://doi.org/10.1145/3452021.3458322
OPENALEX_W3168317725,RETRIEVE: Coreset Selection for Efficient and Robust Semi-Supervised Learning,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,Semi-supervised learning (SSL) algorithms have had great success in recent years in limited labeled data regimes.,Subset-pruning accuracy results do not prove tail-safe replay under repeated exposure.,Evaluate value jointly with coverage and redundancy at the actual replay budget.,https://doi.org/10.48550/arxiv.2106.07760
OPENALEX_W3010349290,Wasserstein Measure Coresets,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,This yields an algorithm which simply requires sample access to the data distribution and is able to handle large data streams in an online manner.,Subset-pruning accuracy results do not prove tail-safe replay under repeated exposure.,Evaluate value jointly with coverage and redundancy at the actual replay budget.,https://doi.org/10.48550/arxiv.1805.07412
OPENALEX_W1887283096,Strong Coresets for Hard and Soft Bregman Clustering with Applications to Exponential Family Mixtures,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"However, until now, the algorithms and the corresponding theory were usually specific to each clustering problem.",Subset-pruning accuracy results do not prove tail-safe replay under repeated exposure.,Evaluate value jointly with coverage and redundancy at the actual replay budget.,https://doi.org/10.48550/arxiv.1508.05243
OPENALEX_W4399836523,CHG Shapley: Efficient Data Valuation and Selection towards Trustworthy Machine Learning,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"To address this, we propose the CHG (compound of Hardness and Gradient) utility function, which approximates the utility of each data subset on model performance in every training epoch.","Attribution approximations can be unstable in non-convex, non-converged, seed-sensitive training.",Measure target-aligned sign across seeds; magnitude alone is insufficient.,https://doi.org/10.48550/arxiv.2406.11730
OPENALEX_W4399163425,P-Shapley: Shapley Values on Probabilistic Classifiers,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"In this paper, we propose the probability-based Shapley (P-Shapley) value, which leverages predicted probabilities to heighten utility differentiation.","Attribution approximations can be unstable in non-convex, non-converged, seed-sensitive training.",Measure target-aligned sign across seeds; magnitude alone is insufficient.,https://doi.org/10.14778/3654621.3654638
OPENALEX_W4385270224,Dynamic Shapley Value Computation,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"For adding data points, to prune unnecessary computation of overlapping model utilities, we propose the pivot-based algorithm that can reduce half computation time in general.","Attribution approximations can be unstable in non-convex, non-converged, seed-sensitive training.",Measure target-aligned sign across seeds; magnitude alone is insufficient.,https://doi.org/10.1109/icde55515.2023.00055
OPENALEX_W4386128215,Equitable Data Valuation Meets the Right to Be Forgotten in Model Markets,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"To adapt Shapley value for the sharded structure, we propose S-Shapley value, a sharded structure-based Shapley value, which satisfies four desirable properties for data valuation.","Attribution approximations can be unstable in non-convex, non-converged, seed-sensitive training.",Measure target-aligned sign across seeds; magnitude alone is insufficient.,https://doi.org/10.14778/3611479.3611531
OPENALEX_W4382239488,Probably Approximate Shapley Fairness with Applications in Machine Learning,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,Our last theoretical contribution is a novel greedy active estimation (GAE) algorithm that will maximise the lowest fidelity score and achieve a better fairness guarantee than the de facto Monte-Carlo estimation.,"Attribution approximations can be unstable in non-convex, non-converged, seed-sensitive training.",Measure target-aligned sign across seeds; magnitude alone is insufficient.,https://doi.org/10.1609/aaai.v37i5.25732
OPENALEX_W4281870828,Data Banzhaf: A Robust Data Valuation Framework for Machine Learning,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"To address this challenge, we introduce the concept of safety margin, which measures the robustness of a data value notion.","Attribution approximations can be unstable in non-convex, non-converged, seed-sensitive training.",Measure target-aligned sign across seeds; magnitude alone is insufficient.,https://doi.org/10.48550/arxiv.2205.15466
OPENALEX_W3154948645,Data Shapley Valuation for Efficient Batch Active Learning,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"Batch active learning is a popular approach to address this, in which batches of unlabeled data points are selected for annotation, while an underlying learning algorithm gets subsequently updated.","Attribution approximations can be unstable in non-convex, non-converged, seed-sensitive training.",Measure target-aligned sign across seeds; magnitude alone is insufficient.,https://doi.org/10.1109/ieeeconf56349.2022.10064696
OPENALEX_W3210375408,Beta Shapley: a Unified and Noise-reduced Data Valuation Framework for Machine Learning,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,Data Shapley has recently been proposed as a principled framework to quantify the contribution of individual datum in machine learning.,"Attribution approximations can be unstable in non-convex, non-converged, seed-sensitive training.",Measure target-aligned sign across seeds; magnitude alone is insufficient.,https://doi.org/10.48550/arxiv.2110.14049
OPENALEX_W2939984132,Data Shapley: Equitable Valuation of Data for Machine Learning,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"As data becomes the fuel driving technological and economic growth, a fundamental challenge is how to quantify the value of data in algorithmic predictions and decisions.","Attribution approximations can be unstable in non-convex, non-converged, seed-sensitive training.",Measure target-aligned sign across seeds; magnitude alone is insufficient.,https://doi.org/10.48550/arxiv.1904.02868
OPENALEX_W2970773487,Efficient task-specific data valuation for nearest neighbor algorithms,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"Moreover, for ( ϵ , δ)-approximation, we are able to develop an algorithm based on Locality Sensitive Hashing (LSH) with only sublinear complexity O ( N h ( ϵ , K ) log N ) when ϵ is not too small and K is not too large.","Attribution approximations can be unstable in non-convex, non-converged, seed-sensitive training.",Measure target-aligned sign across seeds; magnitude alone is insufficient.,https://doi.org/10.14778/3342263.3342637
OPENALEX_W4393315296,Cross-to-merge training with class balance strategy for learning with noisy labels,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"Although sample selection is a mainstream method in the field of learning with noisy labels, which aims to mitigate the impact of noisy labels during model training, the testing performance of these methods exhibits significant fluctuations across different noise rates and types.",Synthetic label-noise results may not transfer to legitimate rare visual patterns.,Do not equate extreme hardness with clean value; protect weak defects and quarantine noise-like cases.,https://doi.org/10.1016/j.eswa.2024.123846
OPENALEX_W4396567668,Learning With Noisy Labels Over Imbalanced Subpopulations,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"Many recent LNL methods rely on the assumption that clean samples tend to have a ""small loss."" However, this assumption often fails to generalize to some real-world cases with imbalanced subpopulations, that is, training subpopulations that vary in sample size or recognition difficulty.",Synthetic label-noise results may not transfer to legitimate rare visual patterns.,Do not equate extreme hardness with clean value; protect weak defects and quarantine noise-like cases.,https://doi.org/10.1109/tnnls.2024.3389676
OPENALEX_W4313532942,Asymmetric Co-teaching with Multi-view Consensus for Noisy Label Learning,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,Learning with noisy-labels has become an important research topic in computer vision where state-of-the-art (SOTA) methods explore: 1) prediction disagreement with co-teaching strategy that updates two models when they disagree on the prediction of training samples; and 2) sample selection to divide the training set into clean and noisy sets based on small training loss.,Synthetic label-noise results may not transfer to legitimate rare visual patterns.,Do not equate extreme hardness with clean value; protect weak defects and quarantine noise-like cases.,https://doi.org/10.48550/arxiv.2301.01143
OPENALEX_W4226391157,Tripartite: Tackle Noisy Labels by a More Precise Partition,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"Many existing methods try to divide training data into clean and noisy subsets in terms of loss values, and then process the noisy label data varied.",Synthetic label-noise results may not transfer to legitimate rare visual patterns.,Do not equate extreme hardness with clean value; protect weak defects and quarantine noise-like cases.,https://doi.org/10.48550/arxiv.2202.09579
OPENALEX_W3173874704,Jo-SRC: A Contrastive Approach for Combating Noisy Labels,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"Existing state-of-the-art methods primarily adopt a sample selection strategy, which selects small-loss samples for subsequent training.",Synthetic label-noise results may not transfer to legitimate rare visual patterns.,Do not equate extreme hardness with clean value; protect weak defects and quarantine noise-like cases.,https://doi.org/10.1109/cvpr46437.2021.00515
OPENALEX_W3046688540,Learning to Purify Noisy Labels via Meta Soft Label Corrector,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"To address this issue, we propose a meta-learning model, aiming at attaining an automatic scheme which can estimate soft labels through meta-gradient descent step under the guidance of a small amount of noise-free meta data.",Synthetic label-noise results may not transfer to legitimate rare visual patterns.,Do not equate extreme hardness with clean value; protect weak defects and quarantine noise-like cases.,https://doi.org/10.1609/aaai.v35i12.17244
OPENALEX_W3110687497,Meta Label Correction for Noisy Label Learning,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"Most notably, recent work has shown impressive gains by using a meta-learned instance re-weighting approach where a meta-learning framework is used to assign instance weights to noisy labels.",Synthetic label-noise results may not transfer to legitimate rare visual patterns.,Do not equate extreme hardness with clean value; protect weak defects and quarantine noise-like cases.,https://doi.org/10.1609/aaai.v35i12.17319
OPENALEX_W3104126699,Coresets for Robust Training of Neural Networks against Noisy Labels,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,Here we propose a novel approach with strong theoretical guarantees for robust training of deep networks trained with noisy labels.,Synthetic label-noise results may not transfer to legitimate rare visual patterns.,Do not equate extreme hardness with clean value; protect weak defects and quarantine noise-like cases.,https://doi.org/10.48550/arxiv.2011.07451
OPENALEX_W3039366696,Early-Learning Regularization Prevents Memorization of Noisy Labels,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,We propose a novel framework to perform classification via deep learning in the presence of noisy annotations.,Synthetic label-noise results may not transfer to legitimate rare visual patterns.,Do not equate extreme hardness with clean value; protect weak defects and quarantine noise-like cases.,https://doi.org/10.48550/arxiv.2007.00151
OPENALEX_W2966913949,Symmetric Cross Entropy for Robust Learning with Noisy Labels,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"Inspired by the symmetric KL-divergence, we propose the approach of \textbf{Symmetric cross entropy Learning} (SL), boosting CE symmetrically with a noise robust counterpart Reverse Cross Entropy (RCE).",Synthetic label-noise results may not transfer to legitimate rare visual patterns.,Do not equate extreme hardness with clean value; protect weak defects and quarantine noise-like cases.,https://doi.org/10.48550/arxiv.1908.06112
OPENALEX_W2795369038,Iterative Learning with Open-set Noisy Labels,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"To address this problem, we propose a novel iterative learning framework for training CNNs on datasets with open-set noisy labels.",Synthetic label-noise results may not transfer to legitimate rare visual patterns.,Do not equate extreme hardness with clean value; protect weak defects and quarantine noise-like cases.,https://doi.org/10.48550/arxiv.1804.00092
OPENALEX_W2949157943,Learning from Noisy Labels with Distillation,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"In this work, we propose a unified distillation framework to use side information, including a small clean dataset and label relations in knowledge graph, to ""hedge the risk"" of learning from noisy labels.",Synthetic label-noise results may not transfer to legitimate rare visual patterns.,Do not equate extreme hardness with clean value; protect weak defects and quarantine noise-like cases.,https://doi.org/10.48550/arxiv.1703.02391
OPENALEX_W3120093105,Dynamically Weighted Balanced Loss: Class Imbalanced Learning and Confidence Calibration of Deep Neural Networks,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"Many conventional statistical and machine learning classification algorithms are subject to frequency bias, and learning discriminating boundaries between the minority and majority classes could be challenging.",Long-tail or calibration improvements do not automatically improve the FN-constrained frontier.,Judge gains on the raw high-recall frontier and keep calibration separate from ranking.,https://doi.org/10.1109/tnnls.2020.3047335
OPENALEX_W3176474016,Improving Calibration for Long-Tailed Recognition,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"Recently, two-stage methods decouple representation learning and classifier learning to improve performance.",Long-tail or calibration improvements do not automatically improve the FN-constrained frontier.,Judge gains on the raw high-recall frontier and keep calibration separate from ranking.,https://doi.org/10.1109/cvpr46437.2021.01622
OPENALEX_W3031917044,A Class Imbalance Loss for Imbalanced Object Recognition,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"Hence, these datasets have a significantly negative impact on the performance of many state-of-the-art methods.",Long-tail or calibration improvements do not automatically improve the FN-constrained frontier.,Judge gains on the raw high-recall frontier and keep calibration separate from ranking.,https://doi.org/10.1109/jstars.2020.2995703
OPENALEX_W3108509290,A Neural Network Approach for Online Nonlinear Neyman-Pearson Classification,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,We propose a novel Neyman-Pearson (NP) classifier that is both online and nonlinear as the first time in the literature.,Long-tail or calibration improvements do not automatically improve the FN-constrained frontier.,Judge gains on the raw high-recall frontier and keep calibration separate from ranking.,https://doi.org/10.1109/access.2020.3039724
OPENALEX_W2996480032,Calibration: the Achilles heel of predictive analytics,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,BACKGROUND: The assessment of calibration performance of risk prediction models based on regression or more flexible machine learning algorithms receives little attention.,Long-tail or calibration improvements do not automatically improve the FN-constrained frontier.,Judge gains on the raw high-recall frontier and keep calibration separate from ranking.,https://doi.org/10.1186/s12916-019-1466-7
OPENALEX_W4396680518,Relational Experience Replay: Continual Learning by Adaptively Tuning Task-Wise Relationship,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"Till now,rehearsal-basedmethods, keeping a small part of data from old tasks as a memory buffer, have shown good performance in mitigating catastrophic forgetting for previously learned knowledge.",Continual-learning forgetting differs from same-task tail trade-offs in Stage1.,Compare continuous and decayed exposure with a fixed selection and paired seeds.,https://doi.org/10.1109/tmm.2024.3397048
OPENALEX_W4378464768,Continual Learning with Strong Experience Replay,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"To address this issue, we propose a CL method with Strong Experience Replay (SER), which additionally utilizes future experiences mimicked on the current training data, besides distilling past experience from the memory buffer.",Continual-learning forgetting differs from same-task tail trade-offs in Stage1.,Compare continuous and decayed exposure with a fixed selection and paired seeds.,https://doi.org/10.48550/arxiv.2305.13622
OPENALEX_W4383473212,RanPAC: Random Projections and Pre-trained Models for Continual Learning,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"Several CL methods based on pre-trained models have been explored, either utilizing pre-extracted features directly (which makes bridging distribution gaps challenging) or incorporating adaptors (which may be subject to forgetting).",Continual-learning forgetting differs from same-task tail trade-offs in Stage1.,Compare continuous and decayed exposure with a fixed selection and paired seeds.,https://doi.org/10.48550/arxiv.2307.02251
OPENALEX_W4312905681,Learning Bayesian Sparse Networks with Full Experience Replay for Continual Learning,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,Continual Learning (CL) methods aim to enable machine learning models to learn new tasks without catastrophic forgetting of those that have been previously mastered.,Continual-learning forgetting differs from same-task tail trade-offs in Stage1.,Compare continuous and decayed exposure with a fixed selection and paired seeds.,https://doi.org/10.1109/cvpr52688.2022.00021
OPENALEX_W4306294989,Task-Free Continual Learning via Online Discrepancy Distance Learning,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"Although recently some methods have been proposed for TFCL, they lack theoretical guarantees.",Continual-learning forgetting differs from same-task tail trade-offs in Stage1.,Compare continuous and decayed exposure with a fixed selection and paired seeds.,https://doi.org/10.48550/arxiv.2210.06579
OPENALEX_W3172301219,Online Coreset Selection for Rehearsal-based Continual Learning,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"To tackle this problem, we propose Online Coreset Selection (OCS), a simple yet effective method that selects the most representative and informative coreset at each iteration and trains them in an online manner.",Continual-learning forgetting differs from same-task tail trade-offs in Stage1.,Compare continuous and decayed exposure with a fixed selection and paired seeds.,https://doi.org/10.48550/arxiv.2106.01085
OPENALEX_W4206834333,Prioritized Experience Replay for Continual Learning,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"To improve the efficiency of old experiences and keep memory small, we introduce prioritized experience replay, which uses a feature margin and classification margin to prioritize representative experiences.",Continual-learning forgetting differs from same-task tail trade-offs in Stage1.,Compare continuous and decayed exposure with a fixed selection and paired seeds.,https://doi.org/10.1109/iccia52886.2021.00011
OPENALEX_W3000677656,Using Hindsight to Anchor Past Knowledge in Continual Learning,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"To address such catastrophic forgetting, many continual learning methods implement different types of experience replay, re-learning on past data stored in a small buffer known as episodic memory.",Continual-learning forgetting differs from same-task tail trade-offs in Stage1.,Compare continuous and decayed exposure with a fixed selection and paired seeds.,https://doi.org/10.1609/aaai.v35i8.16861
OPENALEX_W3048941751,Brain-inspired replay for continual learning with artificial neural networks,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"We propose a new, brain-inspired variant of replay in which internal or hidden representations are replayed that are generated by the network's own, context-modulated feedback connections.",Continual-learning forgetting differs from same-task tail trade-offs in Stage1.,Compare continuous and decayed exposure with a fixed selection and paired seeds.,https://doi.org/10.1038/s41467-020-17866-2
OPENALEX_W2734314755,Gradient Episodic Memory for Continual Learning,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"First, we propose a set of metrics to evaluate models learning over a continuum of data.",Continual-learning forgetting differs from same-task tail trade-offs in Stage1.,Compare continuous and decayed exposure with a fixed selection and paired seeds.,https://doi.org/10.48550/arxiv.1706.08840
OPENALEX_W2733961795,Hindsight Experience Replay,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,It can be combined with an arbitrary off-policy RL algorithm and may be seen as a form of implicit curriculum.,Continual-learning forgetting differs from same-task tail trade-offs in Stage1.,Compare continuous and decayed exposure with a fixed selection and paired seeds.,https://doi.org/10.48550/arxiv.1707.01495
