reading_rank,selection_role,paper_id,queue_id,title,source_action,artifact_role,url,destination,source_authority,resolution_reason,broad_source_path,broad_source_format,primary_url,full_text_url,doi,screened_credit
11,PRIMARY,P0252,AX5BBB2D6BD039C272,Active Learning Through a Covering Lens,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0252.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0252.pdf,PDF,https://proceedings.neurips.cc/paper_files/paper/2022/hash/8c64bc3f7796d31caa7c3e6b969bf7da-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2022/file/8c64bc3f7796d31caa7c3e6b969bf7da-Paper-Conference.pdf,NOT_REPORTED_BY_SOURCE,NOT_ASSESSED_AT_BROAD_LEVEL
12,PRIMARY,P0463,RGFC6945DFC35CF021,It was the training data pruning too!,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0463.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0463.pdf,PDF,http://arxiv.org/abs/1803.04579,https://arxiv.org/pdf/1803.04579,10.48550/arxiv.1803.04579,NOT_ASSESSED_AT_BROAD_LEVEL
13,PRIMARY,P0116,RGD8453AB27200DCF8,InfoBatch: Lossless Training Speed Up by Unbiased Dynamic Data Pruning,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0116.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0116.pdf,PDF,http://arxiv.org/abs/2303.04947,https://arxiv.org/pdf/2303.04947,10.48550/arxiv.2303.04947,NOT_ASSESSED_AT_BROAD_LEVEL
14,PRIMARY,P0308,RGC463CD9E7E3A1BDA,A Traffic Signal Recognition Algorithm Based on Self-paced Learning and Deep Learning,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0308.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0308.pdf,PDF,https://doi.org/10.18280/isi.250211,https://www.iieta.org/download/file/fid/32503,10.18280/isi.250211,NOT_ASSESSED_AT_BROAD_LEVEL
15,PRIMARY,P0216,RGBE5116B0A8208DBC,Swift Cross-Dataset Pruning: Enhancing Fine-Tuning Efficiency in Natural Language Understanding,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0216.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0216.pdf,PDF,http://arxiv.org/abs/2501.02432,https://arxiv.org/pdf/2501.02432,10.48550/arxiv.2501.02432,NOT_ASSESSED_AT_BROAD_LEVEL
16,PRIMARY,P0060,RGD44AED9103B27D1D,Unsupervised Domain Adaptation Via Data Pruning,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0060.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0060.pdf,PDF,http://arxiv.org/abs/2409.12076,https://arxiv.org/pdf/2409.12076,10.48550/arxiv.2409.12076,NOT_ASSESSED_AT_BROAD_LEVEL
17,PRIMARY,P0329,RG257CE5209DBE82CF,Attention-based Experience Replay Framework for Continual Learning of Agnostic Time Series Forecasting Models,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0329.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0329.pdf,PDF,https://arxiv.org/abs/2607.20493,https://arxiv.org/pdf/2607.20493,10.48550/arxiv.2607.20493,NOT_ASSESSED_AT_BROAD_LEVEL
18,PRIMARY,P0344,RGD2A3FE973E21A100,A Novel Multiview Sampling-Based Meta Self-Paced Learning Approach for Class-Imbalanced Intelligent Fault Diagnosis,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0344.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0344.pdf,PDF,https://doi.org/10.1109/tim.2022.3214628,https://eprints.lancs.ac.uk/id/eprint/178328/1/A_Novel_Multiview_Sampling_based_Meta_Self_Paced_Learning_Approach_for_Class_imbalanced_Intelligent_Fault_Diagnosis.pdf,10.1109/tim.2022.3214628,NOT_ASSESSED_AT_BROAD_LEVEL
19,PRIMARY,P0488,RG68319A6592937539,Scalable Traffic Prediction via Data Reduction with Coreset Selection,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0488.html,HTML,https://doi.org/10.1109/itsc60802.2025.11423766,NOT_REPORTED_BY_SOURCE,10.1109/itsc60802.2025.11423766,NOT_ASSESSED_AT_BROAD_LEVEL
20,PRIMARY,P0107,RG610B67D24BB539BC,Reinforced Training Data Selection for Domain Adaptation,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0107.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0107.pdf,PDF,https://doi.org/10.18653/v1/p19-1189,https://www.aclweb.org/anthology/P19-1189.pdf,10.18653/v1/p19-1189,NOT_ASSESSED_AT_BROAD_LEVEL
21,PRIMARY,P0458,RGDFBBBD91D34DDA12,Coordinated Replay Sample Selection for Continual Federated Learning,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0458.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0458.pdf,PDF,https://doi.org/10.18653/v1/2023.emnlp-industry.32,https://aclanthology.org/2023.emnlp-industry.32.pdf,10.18653/v1/2023.emnlp-industry.32;10.48550/arxiv.2310.15054,NOT_ASSESSED_AT_BROAD_LEVEL
22,PRIMARY,P0398,RG29D54F85D4B58951,Separating hard clean samples from noisy samples with samples’ learning risk for DNN when learning with noisy labels,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0398.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0398.pdf,PDF,https://doi.org/10.1007/s40747-024-01360-z,https://link.springer.com/content/pdf/10.1007/s40747-024-01360-z.pdf,10.1007/s40747-024-01360-z,NOT_ASSESSED_AT_BROAD_LEVEL
23,PRIMARY,P0247,RG53EB591B693FA2EF,Deep Self-Paced Learning for Semi-Supervised Person Re-Identification Using Multi-View Self-Paced Clustering,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0247.html,HTML,https://doi.org/10.1109/icip.2019.8803290,NOT_REPORTED_BY_SOURCE,10.1109/icip.2019.8803290,NOT_ASSESSED_AT_BROAD_LEVEL
24,PRIMARY,P0477,RGF4ADCF2344ACE039,Robust Learning for Text Classification with Multi-source Noise Simulation and Hard Example Mining,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0477.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0477.pdf,PDF,http://arxiv.org/abs/2107.07113,https://arxiv.org/pdf/2107.07113,10.48550/arxiv.2107.07113,NOT_ASSESSED_AT_BROAD_LEVEL
25,PRIMARY,P0335,RG3753B55186A38962,Training with Growing Sets: A Simple Alternative to Curriculum Learning and Self Paced Learning,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0335.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0335.pdf,PDF,https://openreview.net/pdf?id=SJ1fQYlCZ,NOT_REPORTED_BY_SOURCE,NOT_REPORTED_BY_SOURCE,NOT_ASSESSED_AT_BROAD_LEVEL
26,PRIMARY,P0104,AX501F9ECF2E222F25,Active Bias: Training More Accurate Neural Networks by Emphasizing High Variance Samples,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0104.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0104.pdf,PDF,https://proceedings.neurips.cc/paper/2017/hash/2f37d10131f2a483a8dd005b3d14b0d9-Abstract.html,https://proceedings.neurips.cc/paper_files/paper/2017/file/2f37d10131f2a483a8dd005b3d14b0d9-Paper.pdf,NOT_REPORTED_BY_SOURCE,NOT_ASSESSED_AT_BROAD_LEVEL
27,PRIMARY,P0313,RG5EF882F20A309CCE,Incorporating Reinforcement Learning for Quality-aware Sample Selection in Deep Architecture Training,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0313.html,HTML,https://doi.org/10.1109/coins54846.2022.9854971,NOT_REPORTED_BY_SOURCE,10.1109/coins54846.2022.9854971,NOT_ASSESSED_AT_BROAD_LEVEL
28,PRIMARY,P0227,RGF2E1BDE120A9ACA9,"Dark Experience for General Continual Learning: a Strong, Simple Baseline",DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0227.html,HTML,https://doi.org/10.48550/arxiv.2004.07211,NOT_REPORTED_BY_SOURCE,10.48550/arxiv.2004.07211,NOT_ASSESSED_AT_BROAD_LEVEL
29,PRIMARY,P0136,RG0E3956F4E3D3BC81,Zero-Shot Coreset Selection via Iterative Subspace Sampling,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0136.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0136.pdf,PDF,http://arxiv.org/abs/2411.15349,https://arxiv.org/pdf/2411.15349,10.48550/arxiv.2411.15349,NOT_ASSESSED_AT_BROAD_LEVEL
30,PRIMARY,P0243,RG00AC6968A0B75F77,CAST: Collapse-Aware multi-Scale Topology Fusion for Multimodal Coreset Selection,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,FULL_TEXT_FIELD_IS_LANDING_PAGE,sources/P0243.html,HTML,https://doi.org/10.48550/arxiv.2605.11705,https://doi.org/10.48550/arxiv.2605.11705,10.48550/arxiv.2605.11705,NOT_ASSESSED_AT_BROAD_LEVEL
31,PRIMARY,P0373,RG214DF9F1F3AC754C,Prototype-Enhanced Experience Replay for Domain Incremental Sleep Stage Classification,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0373.html,HTML,https://doi.org/10.1109/tmrb.2026.3699224,NOT_REPORTED_BY_SOURCE,10.1109/tmrb.2026.3699224,NOT_ASSESSED_AT_BROAD_LEVEL
32,PRIMARY,P0497,AX79D4A4F6C4BBCA52,Coresets for Accelerating Incremental Gradient Methods,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0497.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0497.pdf,PDF,https://openreview.net/forum?id=SygRikHtvS,https://openreview.net/pdf?id=SygRikHtvS,NOT_REPORTED_BY_SOURCE,NOT_ASSESSED_AT_BROAD_LEVEL
33,PRIMARY,P0082,RG6D524C9306BAED95,Learning from Long-Tailed Noisy Data with Sample Selection and Balanced Loss,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0082.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0082.pdf,PDF,http://arxiv.org/abs/2211.10906,https://arxiv.org/pdf/2211.10906,10.48550/arxiv.2211.10906,NOT_ASSESSED_AT_BROAD_LEVEL
34,PRIMARY,P0237,RGD11DE7A52F573F3B,Influence-driven Curriculum Learning for Pre-training on Limited Data,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,FULL_TEXT_FIELD_IS_LANDING_PAGE,sources/P0237.html,HTML,https://doi.org/10.48550/arxiv.2508.15475,https://doi.org/10.48550/arxiv.2508.15475,10.48550/arxiv.2508.15475,NOT_ASSESSED_AT_BROAD_LEVEL
35,PRIMARY,P0100,RG9B9525C4A2AA1090,Privacy-Aware Knowledge Distillation Based on Dynamic Sample Selection,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0100.html,HTML,http://dx.doi.org/10.1109/dspp58763.2023.10405225,NOT_REPORTED_BY_SOURCE,10.1109/dspp58763.2023.10405225,NOT_ASSESSED_AT_BROAD_LEVEL
36,PRIMARY,P0079,RGF2049C51FE4BAC68,Sample Selection with Uncertainty of Losses for Learning with Noisy Labels,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0079.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0079.pdf,PDF,http://arxiv.org/abs/2106.00445,https://arxiv.org/pdf/2106.00445,10.48550/arxiv.2106.00445,NOT_ASSESSED_AT_BROAD_LEVEL
37,PRIMARY,P0195,RG8B75A3615EBE7E16,Generative Entity Typing with Curriculum Learning,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0195.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0195.pdf,PDF,https://doi.org/10.18653/v1/2022.emnlp-main.199,https://aclanthology.org/2022.emnlp-main.199.pdf,10.18653/v1/2022.emnlp-main.199,NOT_ASSESSED_AT_BROAD_LEVEL
38,PRIMARY,P0374,RG47DA0D3E18674512,PICore: Physics-Informed Unsupervised Coreset Selection for Data Efficient Neural Operator Training,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0374.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0374.pdf,PDF,http://arxiv.org/abs/2507.17151,https://arxiv.org/pdf/2507.17151,10.48550/arxiv.2507.17151,NOT_ASSESSED_AT_BROAD_LEVEL
39,PRIMARY,P0111,RG3C73E2C9D0A9F7D6,SEED: Targeted Data Selection by Weighted Independent Set,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0111.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0111.pdf,PDF,https://arxiv.org/abs/2605.15691,https://arxiv.org/pdf/2605.15691,NOT_REPORTED_BY_SOURCE,NOT_ASSESSED_AT_BROAD_LEVEL
40,PRIMARY,P0178,RG817B8FB3AA280CF0,Anti-Backdoor Coreset Selection via Cumulative Entropy,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0178.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0178.pdf,PDF,https://arxiv.org/abs/2607.25502,https://arxiv.org/pdf/2607.25502,10.48550/arxiv.2607.25502,NOT_ASSESSED_AT_BROAD_LEVEL
41,PRIMARY,P0148,RG5211924B2B6E6699,Enhancing Autism Detection Through Gaze Analysis Using Eye Tracking Sensors and Data Attribution with Distillation in Deep Neural Networks,ACQUIRE_DIRECT_PDF,METHOD_SOURCE,https://www.mdpi.com/1424-8220/24/23/7792/pdf?version=1733401504,sources/screened_method_anchor_complete_v3/P0148.pdf,PRIMARY_PUBLISHER,DISCOVERY_METADATA_HAS_DIRECT_PDF_URL,sources/P0148.html,HTML,https://doi.org/10.3390/s24237792,https://www.mdpi.com/1424-8220/24/23/7792/pdf?version=1733401504,10.3390/s24237792,NOT_ASSESSED_AT_BROAD_LEVEL
42,PRIMARY,P0051,RG407CD6578E5B48CD,Investigating Multi-source Active Learning for Natural Language Inference,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0051.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0051.pdf,PDF,https://aclanthology.org/2023.eacl-main.160/,https://aclanthology.org/2023.eacl-main.160.pdf,10.18653/v1/2023.eacl-main.160,NOT_ASSESSED_AT_BROAD_LEVEL
43,PRIMARY,P0073,RG87A5FEFBCDD611DB,"Deep Batch Active Learning by Diverse, Uncertain Gradient Lower Bounds",REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0073.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0073.pdf,PDF,https://openreview.net/forum?id=ryghZJBKPS,NOT_REPORTED_BY_SOURCE,NOT_REPORTED_BY_SOURCE,NOT_ASSESSED_AT_BROAD_LEVEL
44,PRIMARY,P0049,RG1DD2D2AB5E784128,Evolution-aware VAriance (EVA) Coreset Selection for Medical Image Classification,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0049.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0049.pdf,PDF,https://doi.org/10.1145/3664647.3681592,https://arxiv.org/pdf/2406.05677,10.1145/3664647.3681592,NOT_ASSESSED_AT_BROAD_LEVEL
45,PRIMARY,P0005,RG71345855BAAFF5D6,Active Self-Paced Learning for Cost-Effective and Progressive Face Identification,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0005.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0005.pdf,PDF,https://doi.org/10.1109/tpami.2017.2652459,https://arxiv.org/pdf/1701.03555,10.1109/tpami.2017.2652459,NOT_ASSESSED_AT_BROAD_LEVEL
