reading_rank,selection_role,paper_id,queue_id,canonical_work_id,title,quota_rq,secondary_rqs,directness,relevance_class,effect_relation,selection_phase,tie_break_key,broad_source_path,broad_source_format,broad_source_sha256,broad_source_bytes,method_source_path,method_source_format,method_source_sha256,method_source_bytes,method_source_origin,method_source_authority,method_source_url,method_source_receipt_path,method_source_status,screened_credit
11,PRIMARY,P0419,RGAC619FD24AE93C65,CW2E9D8BCC9ABE5F270C0B,"How Faithful Is Trajectory-Based Data Attribution? Error Sources, Remedies, and Practical Guidelines",RQ2,RQ3;RQ6;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,COUNTEREVIDENCE_MINIMUM,06B57774D2BFD9AA228F61380F430C3EAC6198B7A3E0E07C3A8C3CD4DAE7F8C4,sources/P0419.pdf,PDF,14496876C510EA7A2C526655F7D0915FF01358A6D683B6B9FE9AC12BFCEF325F,959429,sources/P0419.pdf,PDF,14496876C510EA7A2C526655F7D0915FF01358A6D683B6B9FE9AC12BFCEF325F,959429,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
12,PRIMARY,P0003,RG5865257ECD4A5F54,CW21C35A24A1896465F6FE,Efficient and Robust Quantization-aware Training via Adaptive Coreset Selection,RQ3,RQ1;RQ2;RQ4;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,06D7AF8C8BA2C76823235083CD166DD61819D5EDF7D0E9AA7D003BBE5BEACCF0,sources/P0003.pdf,PDF,DA8DD93A84E162423C516445559607FFDE6FC61F12A0CF921165BC9DD913781B,1490843,sources/P0003.pdf,PDF,DA8DD93A84E162423C516445559607FFDE6FC61F12A0CF921165BC9DD913781B,1490843,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
13,PRIMARY,P0057,RGC9DBF113F856F4FE,CWE157D064AB0EE690BCEA,Dataset Cartography: Mapping and Diagnosing Datasets with Training Dynamics,RQ1,RQ4,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,MANDATORY_ANCHOR,076C65F63E807226A5D417E1D505CE85BF6D218DDDEA7E6778E72BC610A116AD,sources/P0057.pdf,PDF,E3D807F0E007FF03A22F6B80176F4BBC9F734E7804061C61792C6FF1B97C550F,12910878,sources/P0057.pdf,PDF,E3D807F0E007FF03A22F6B80176F4BBC9F734E7804061C61792C6FF1B97C550F,12910878,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
14,PRIMARY,P0185,RG72338E7C2E341DD9,CW3EA774936B9299FA6C5C,Adaptive Integration of Partial Label Learning and Negative Learning for Enhanced Noisy Label Learning,RQ4,RQ1;RQ6;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,07B3D06CF74318B668294C19E2377BF9BD5E9470435B12B319B8CFF42800AFBE,sources/P0185.pdf,PDF,E0723DE9A0340A0EBFAA4E22E327FE2AF31B175DD4D5EF8C997B4A4CF16E7010,447584,sources/P0185.pdf,PDF,E0723DE9A0340A0EBFAA4E22E327FE2AF31B175DD4D5EF8C997B4A4CF16E7010,447584,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
15,PRIMARY,P0371,RG1FCBA1C8BB92814A,CWABBC1F767CAEC84364D5,TEAL: New Selection Strategy for Small Buffers in Experience Replay Class Incremental Learning,RQ6,RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,080D6FA79B31DD4A738DC888999F8A03027FFDD333726ED0E9DDC2443E71DB53,sources/P0371.pdf,PDF,6E0BA551389417BE08340D79A6C50BD828E6C7B3A05B948837C4CB5890D702AC,1988739,sources/P0371.pdf,PDF,6E0BA551389417BE08340D79A6C50BD828E6C7B3A05B948837C4CB5890D702AC,1988739,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
16,PRIMARY,P0008,AX650ABBBE424F1071,CW650ABBBE424F1071637C,How much does Initialization Affect Generalization?,RQ8,NOT_APPLICABLE_WITH_REASON:no secondary RQ,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,MANDATORY_ANCHOR,08B444756C20E19C4C5D5B8A13DEC9BC7D8CAB14B1C29A4AD30C090F3072703A,sources/P0008.pdf,PDF,F934608344387DAD5E095FEFBAD7FCDD0311D5E56D60DCAFF8E3E82BEE392EA3,3604674,sources/P0008.pdf,PDF,F934608344387DAD5E095FEFBAD7FCDD0311D5E56D60DCAFF8E3E82BEE392EA3,3604674,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
17,PRIMARY,P0231,RGC4D3505277C91A36,CWD7EE8BC0E6D82AFF3938,Combating noisy labels by agreement: A joint training method with co-regularization,RQ4,RQ1,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,08C88566119BEAB2388E1A17B32846820BB2F9DB417A88CCF375FC7DA1C5AB8D,sources/P0231.pdf,PDF,42C292218BE97252C7F4748B9E6B9D537FBC370DF21E1070E5C0065C5FCBEF3A,1534645,sources/P0231.pdf,PDF,42C292218BE97252C7F4748B9E6B9D537FBC370DF21E1070E5C0065C5FCBEF3A,1534645,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
18,PRIMARY,P0275,RG57D6B0A1FD673276,CW1F16F913FDB5EC4C55F0,Accelerating Reinforcement Learning for Reaching Using Continuous Curriculum Learning,RQ2,RQ6;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,0BF62F5C6EF398DD6CB7B1C9250E711B10AF7DAA7EB95F36666D301DFE345925,sources/P0275.pdf,PDF,9001410C90B6B45261700991D498C596A27B59C76B49235D8B6190E7749479C8,5224520,sources/P0275.pdf,PDF,9001410C90B6B45261700991D498C596A27B59C76B49235D8B6190E7749479C8,5224520,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
19,PRIMARY,P0120,RG5F3B62D163E93BD6,CWADC1504912AF89AD22FB,Few-Medoids: An Embarrassingly Simple Coreset Selection Method for Few-Shot Knowledge Distillation,RQ7,RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,0D0043885C8C700DE032B9F609B93E47AC2F2E7A951F7058AB9A49F2308D5FDC,sources/P0120.pdf,PDF,6E7A077E22EF22675B4CDFD5E4E34599C2F670232BFE1CC747B8024E70986966,308625,sources/P0120.pdf,PDF,6E7A077E22EF22675B4CDFD5E4E34599C2F670232BFE1CC747B8024E70986966,308625,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
20,PRIMARY,P0329,RG257CE5209DBE82CF,CW97D206E044E6D5EB2176,Attention-based Experience Replay Framework for Continual Learning of Agnostic Time Series Forecasting Models,RQ2,RQ5;RQ6;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,0D702941972B72EFB814F4BDAF5EF258D838F842AAA427B9AF6248E2C1624AF9,sources/P0329.pdf,PDF,BC573319772252C95765F1C647ADF36F5030B61409DAE6884B9414C074D92A95,568490,sources/P0329.pdf,PDF,BC573319772252C95765F1C647ADF36F5030B61409DAE6884B9414C074D92A95,568490,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
21,PRIMARY,P0452,RG09C0B0AB9A8300CA,CW6B8DDE7C8E793D3D2709,Bridging Saliency Detection to Weakly Supervised Object Detection Based on Self-paced Curriculum Learning,RQ6,RQ1;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,0E5F497D01E01CE5B4C107707C90E50868AEF33780853DDF12B62A7678706F03,sources/P0452.pdf,PDF,40A1576454268337A325FAA5C4294C0C7E781F838E2A7BD3773471C4F7ED6997,2537266,sources/P0452.pdf,PDF,40A1576454268337A325FAA5C4294C0C7E781F838E2A7BD3773471C4F7ED6997,2537266,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
22,PRIMARY,P0036,RG9300ECB5F82C599B,CW5DD8F90BD1A625DE97B4,Phases of learning dynamics in artificial neural networks in the absence or presence of mislabeled data,RQ6,RQ1;RQ3;RQ4,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,0E74EFC2E66A6ACDD6222FCC0F40270F72F7D65EEABE2B15629006C56A830842,sources/P0036.pdf,PDF,2EA167464E0316C6CE7100210E680F68B829832266396486DFEA5941215A0A3F,1216875,sources/P0036.pdf,PDF,2EA167464E0316C6CE7100210E680F68B829832266396486DFEA5941215A0A3F,1216875,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
23,PRIMARY,P0281,RGC8C0A91993691C30,CWB7B78F6C09272641F00A,Intentional control of type I error over unconscious data distortion: a Neyman-Pearson classification approach,RQ8,RQ7,D3_INFERENCE_CONTROL,TARGET_METRIC,MIXED,RQ_MINIMUM,0F12313A13860DF54195EB2A37432896A901E8DBC1C93C4D864FB6BC7736AB6C,sources/P0281.pdf,PDF,30FE7262506A2E5B88CBB0692040E9B767990EEA48DC89DBEBC3751EFCD40C58,1589991,sources/P0281.pdf,PDF,30FE7262506A2E5B88CBB0692040E9B767990EEA48DC89DBEBC3751EFCD40C58,1589991,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
24,PRIMARY,P0193,RG861D401A7B11E2D1,CWF95DCC6B9BE8235BC3CF,BRIEF: Bi-Level Coreset Selection for Efficient Instruction Tuning in LLMs,RQ3,RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,10C40FF03D173CD31C27E8D34372C327976DE1DDA9B1418A874B08D796A6F5BE,sources/P0193.pdf,PDF,92440AE2967B02D1E3C65258503C00913CDCB00AD06A4EF708FFC97AE2B4A746,1211396,sources/P0193.pdf,PDF,92440AE2967B02D1E3C65258503C00913CDCB00AD06A4EF708FFC97AE2B4A746,1211396,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
25,PRIMARY,P0382,RGADDFA268E7143B7C,CWFF355BB4BFAC50498417,A Bayesian Approach To Analysing Training Data Attribution In Deep Learning,RQ3,RQ7,D1_DIRECT_UTILITY,STRICT_CONTROL_NEGATIVE,NULL_NEGATIVE,RQ_MINIMUM,1365F153989E29ED7F61735050DEF0BE068F59F55462AF7D825847D57EB1347B,sources/P0382.pdf,PDF,25EF26ED306E0C91ED4660C55BE2F9FE1374C6B990E756EBEC238547B15EEE7E,3181465,sources/P0382.pdf,PDF,25EF26ED306E0C91ED4660C55BE2F9FE1374C6B990E756EBEC238547B15EEE7E,3181465,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
26,PRIMARY,P0390,RG24619E6A9B7207D1,CW4D854308DBEEDDEE6E57,Latent State Models of Training Dynamics,RQ8,NOT_APPLICABLE_WITH_REASON:no secondary RQ,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,RQ_MINIMUM,142A25CE84F2FF80A5A0C69840C16B7091A8915F600CC7511032DD69CA07F9FE,sources/P0390.pdf,PDF,4C8894137BB7C6903C175F714A1BC4E9E1026838C6322115350E19115E577E86,3858343,sources/P0390.pdf,PDF,4C8894137BB7C6903C175F714A1BC4E9E1026838C6322115350E19115E577E86,3858343,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
27,PRIMARY,P0273,RGE3020C44A4FABCC5,CW1AC8E76E51AB89123FC8,Weakly Supervised AUC Optimization: A Unified Partial AUC Approach,RQ8,RQ4,D3_INFERENCE_CONTROL,TARGET_METRIC,MIXED,RQ_MINIMUM,146EF820053E8E840F24E9C6F3DA729A7FB230F4BE37267C280C4F3180D91CC6,sources/P0273.pdf,PDF,76D44CB776354E62126A9AF17852870074DF8D25C3540979E60B8085BCF4FB8C,1194333,sources/P0273.pdf,PDF,76D44CB776354E62126A9AF17852870074DF8D25C3540979E60B8085BCF4FB8C,1194333,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
28,PRIMARY,P0365,RG062691A4D7811C1A,CW9A84878E2681A4B91986,IdentifyMix: An efficient two-stage learning approach to combating label noise,RQ2,RQ1;RQ4;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,157BABE38B6753B05444FCE8217A4FCECB2CBBF3827C30720563FFF42347654D,sources/P0365.pdf,PDF,288BB103970206050E7D1E3F077DCA7F523C6A135DAA2EFA6BFB70E07B89E0D4,1952348,sources/P0365.pdf,PDF,288BB103970206050E7D1E3F077DCA7F523C6A135DAA2EFA6BFB70E07B89E0D4,1952348,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
