reading_rank,selection_role,paper_id,queue_id,title,source_action,artifact_role,url,destination,source_authority,resolution_reason,broad_source_path,broad_source_format,method_source_path,method_source_format,method_source_sha256,method_source_bytes,method_source_origin,primary_url,full_text_url,doi,screened_credit
11,PRIMARY,P0419,RGAC619FD24AE93C65,"How Faithful Is Trajectory-Based Data Attribution? Error Sources, Remedies, and Practical Guidelines",REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0419.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0419.pdf,PDF,sources/P0419.pdf,PDF,14496876C510EA7A2C526655F7D0915FF01358A6D683B6B9FE9AC12BFCEF325F,959429,BROAD_SOURCE,https://arxiv.org/abs/2605.18814,https://arxiv.org/pdf/2605.18814,10.48550/arxiv.2605.18814,NOT_ASSESSED_AT_BROAD_LEVEL
12,PRIMARY,P0003,RG5865257ECD4A5F54,Efficient and Robust Quantization-aware Training via Adaptive Coreset Selection,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0003.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0003.pdf,PDF,sources/P0003.pdf,PDF,DA8DD93A84E162423C516445559607FFDE6FC61F12A0CF921165BC9DD913781B,1490843,BROAD_SOURCE,http://arxiv.org/abs/2306.07215,https://arxiv.org/pdf/2306.07215,10.48550/arxiv.2306.07215,NOT_ASSESSED_AT_BROAD_LEVEL
13,PRIMARY,P0057,RGC9DBF113F856F4FE,Dataset Cartography: Mapping and Diagnosing Datasets with Training Dynamics,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0057.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0057.pdf,PDF,sources/P0057.pdf,PDF,E3D807F0E007FF03A22F6B80176F4BBC9F734E7804061C61792C6FF1B97C550F,12910878,BROAD_SOURCE,https://aclanthology.org/2020.emnlp-main.746/,https://aclanthology.org/2020.emnlp-main.746.pdf,NOT_REPORTED_BY_SOURCE,NOT_ASSESSED_AT_BROAD_LEVEL
14,PRIMARY,P0185,RG72338E7C2E341DD9,Adaptive Integration of Partial Label Learning and Negative Learning for Enhanced Noisy Label Learning,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0185.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0185.pdf,PDF,sources/P0185.pdf,PDF,E0723DE9A0340A0EBFAA4E22E327FE2AF31B175DD4D5EF8C997B4A4CF16E7010,447584,BROAD_SOURCE,https://doi.org/10.1609/aaai.v38i5.28284,https://ojs.aaai.org/index.php/AAAI/article/download/28284/28559,10.1609/aaai.v38i5.28284,NOT_ASSESSED_AT_BROAD_LEVEL
15,PRIMARY,P0371,RG1FCBA1C8BB92814A,TEAL: New Selection Strategy for Small Buffers in Experience Replay Class Incremental Learning,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0371.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0371.pdf,PDF,sources/P0371.pdf,PDF,6E0BA551389417BE08340D79A6C50BD828E6C7B3A05B948837C4CB5890D702AC,1988739,BROAD_SOURCE,http://arxiv.org/abs/2407.00673,https://arxiv.org/pdf/2407.00673,10.48550/arxiv.2407.00673,NOT_ASSESSED_AT_BROAD_LEVEL
16,PRIMARY,P0008,AX650ABBBE424F1071,How much does Initialization Affect Generalization?,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0008.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0008.pdf,PDF,sources/P0008.pdf,PDF,F934608344387DAD5E095FEFBAD7FCDD0311D5E56D60DCAFF8E3E82BEE392EA3,3604674,BROAD_SOURCE,https://proceedings.mlr.press/v202/ramasinghe23a.html,https://proceedings.mlr.press/v202/ramasinghe23a/ramasinghe23a.pdf,NOT_REPORTED_BY_SOURCE,NOT_ASSESSED_AT_BROAD_LEVEL
17,PRIMARY,P0231,RGC4D3505277C91A36,Combating noisy labels by agreement: A joint training method with co-regularization,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0231.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0231.pdf,PDF,sources/P0231.pdf,PDF,42C292218BE97252C7F4748B9E6B9D537FBC370DF21E1070E5C0065C5FCBEF3A,1534645,BROAD_SOURCE,http://arxiv.org/abs/2003.02752,https://arxiv.org/pdf/2003.02752,10.48550/arxiv.2003.02752,NOT_ASSESSED_AT_BROAD_LEVEL
18,PRIMARY,P0275,RG57D6B0A1FD673276,Accelerating Reinforcement Learning for Reaching Using Continuous Curriculum Learning,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0275.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0275.pdf,PDF,sources/P0275.pdf,PDF,9001410C90B6B45261700991D498C596A27B59C76B49235D8B6190E7749479C8,5224520,BROAD_SOURCE,https://doi.org/10.1109/ijcnn48605.2020.9207427,https://arxiv.org/pdf/2002.02697,10.1109/ijcnn48605.2020.9207427,NOT_ASSESSED_AT_BROAD_LEVEL
19,PRIMARY,P0120,RG5F3B62D163E93BD6,Few-Medoids: An Embarrassingly Simple Coreset Selection Method for Few-Shot Knowledge Distillation,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0120.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0120.pdf,PDF,sources/P0120.pdf,PDF,6E7A077E22EF22675B4CDFD5E4E34599C2F670232BFE1CC747B8024E70986966,308625,BROAD_SOURCE,https://arxiv.org/abs/2607.05891,https://arxiv.org/pdf/2607.05891,10.48550/arxiv.2607.05891,NOT_ASSESSED_AT_BROAD_LEVEL
20,PRIMARY,P0329,RG257CE5209DBE82CF,Attention-based Experience Replay Framework for Continual Learning of Agnostic Time Series Forecasting Models,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0329.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0329.pdf,PDF,sources/P0329.pdf,PDF,BC573319772252C95765F1C647ADF36F5030B61409DAE6884B9414C074D92A95,568490,BROAD_SOURCE,https://arxiv.org/abs/2607.20493,https://arxiv.org/pdf/2607.20493,10.48550/arxiv.2607.20493,NOT_ASSESSED_AT_BROAD_LEVEL
21,PRIMARY,P0452,RG09C0B0AB9A8300CA,Bridging Saliency Detection to Weakly Supervised Object Detection Based on Self-paced Curriculum Learning,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0452.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0452.pdf,PDF,sources/P0452.pdf,PDF,40A1576454268337A325FAA5C4294C0C7E781F838E2A7BD3773471C4F7ED6997,2537266,BROAD_SOURCE,http://arxiv.org/abs/1703.01290,https://arxiv.org/pdf/1703.01290,10.48550/arxiv.1703.01290,NOT_ASSESSED_AT_BROAD_LEVEL
22,PRIMARY,P0036,RG9300ECB5F82C599B,Phases of learning dynamics in artificial neural networks in the absence or presence of mislabeled data,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0036.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0036.pdf,PDF,sources/P0036.pdf,PDF,2EA167464E0316C6CE7100210E680F68B829832266396486DFEA5941215A0A3F,1216875,BROAD_SOURCE,https://doi.org/10.1088/2632-2153/abf5b9,https://iopscience.iop.org/article/10.1088/2632-2153/abf5b9/pdf,10.1088/2632-2153/abf5b9,NOT_ASSESSED_AT_BROAD_LEVEL
23,PRIMARY,P0281,RGC8C0A91993691C30,Intentional control of type I error over unconscious data distortion: a Neyman-Pearson classification approach,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0281.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0281.pdf,PDF,sources/P0281.pdf,PDF,30FE7262506A2E5B88CBB0692040E9B767990EEA48DC89DBEBC3751EFCD40C58,1589991,BROAD_SOURCE,https://arxiv.org/pdf/1802.02558.pdf,https://arxiv.org/pdf/1802.02558.pdf,NOT_REPORTED_BY_SOURCE,NOT_ASSESSED_AT_BROAD_LEVEL
24,PRIMARY,P0193,RG861D401A7B11E2D1,BRIEF: Bi-Level Coreset Selection for Efficient Instruction Tuning in LLMs,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0193.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0193.pdf,PDF,sources/P0193.pdf,PDF,92440AE2967B02D1E3C65258503C00913CDCB00AD06A4EF708FFC97AE2B4A746,1211396,BROAD_SOURCE,https://doi.org/10.14778/3797919.3797933,NOT_REPORTED_BY_SOURCE,10.14778/3797919.3797933,NOT_ASSESSED_AT_BROAD_LEVEL
25,PRIMARY,P0382,RGADDFA268E7143B7C,A Bayesian Approach To Analysing Training Data Attribution In Deep Learning,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0382.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0382.pdf,PDF,sources/P0382.pdf,PDF,25EF26ED306E0C91ED4660C55BE2F9FE1374C6B990E756EBEC238547B15EEE7E,3181465,BROAD_SOURCE,http://arxiv.org/abs/2305.19765,https://arxiv.org/pdf/2305.19765,10.48550/arxiv.2305.19765,NOT_ASSESSED_AT_BROAD_LEVEL
26,PRIMARY,P0390,RG24619E6A9B7207D1,Latent State Models of Training Dynamics,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0390.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0390.pdf,PDF,sources/P0390.pdf,PDF,4C8894137BB7C6903C175F714A1BC4E9E1026838C6322115350E19115E577E86,3858343,BROAD_SOURCE,http://arxiv.org/abs/2308.09543,https://arxiv.org/pdf/2308.09543,10.48550/arxiv.2308.09543,NOT_ASSESSED_AT_BROAD_LEVEL
27,PRIMARY,P0273,RGE3020C44A4FABCC5,Weakly Supervised AUC Optimization: A Unified Partial AUC Approach,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0273.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0273.pdf,PDF,sources/P0273.pdf,PDF,76D44CB776354E62126A9AF17852870074DF8D25C3540979E60B8085BCF4FB8C,1194333,BROAD_SOURCE,https://doi.org/10.1109/tpami.2024.3357814,https://arxiv.org/pdf/2305.14258,10.1109/tpami.2024.3357814;10.48550/arxiv.2305.14258,NOT_ASSESSED_AT_BROAD_LEVEL
28,PRIMARY,P0365,RG062691A4D7811C1A,IdentifyMix: An efficient two-stage learning approach to combating label noise,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0365.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0365.pdf,PDF,sources/P0365.pdf,PDF,288BB103970206050E7D1E3F077DCA7F523C6A135DAA2EFA6BFB70E07B89E0D4,1952348,BROAD_SOURCE,http://dx.doi.org/10.23952/jano.5.2023.2.04,http://jano.biemdas.com/issues/JANO2023-2-4.pdf,10.23952/jano.5.2023.2.04,NOT_ASSESSED_AT_BROAD_LEVEL
29,PRIMARY,P0335,RG3753B55186A38962,Training with Growing Sets: A Simple Alternative to Curriculum Learning and Self Paced Learning,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0335.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0335.pdf,PDF,sources/P0335.pdf,PDF,D969C4C1CAD6483FA0709D4360C05754C362DB75D7811B05457E2CE499BAA4B1,321055,BROAD_SOURCE,https://openreview.net/pdf?id=SJ1fQYlCZ,NOT_REPORTED_BY_SOURCE,NOT_REPORTED_BY_SOURCE,NOT_ASSESSED_AT_BROAD_LEVEL
30,PRIMARY,P0234,RG69457C334A828050,Hybrid Knowledge Transfer for Improved Cross-Lingual Event Detection via Hierarchical Sample Selection,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0234.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0234.pdf,PDF,sources/P0234.pdf,PDF,630E8A8E03C6EABCE2A383D47DCBC88DDD4CFFCDD786BAADABC6606FF3F0CFC6,508958,BROAD_SOURCE,https://doi.org/10.18653/v1/2023.acl-long.296,https://aclanthology.org/2023.acl-long.296.pdf,10.18653/v1/2023.acl-long.296,NOT_ASSESSED_AT_BROAD_LEVEL
31,PRIMARY,P0122,RG68DFFA9A635943B1,Semi-Supervised Learning for Maximizing the Partial AUC,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0122.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0122.pdf,PDF,sources/P0122.pdf,PDF,A63788E19B626422F6174D7FF7474278CC41B030399D5135DAA34249CE34F6E7,706331,BROAD_SOURCE,https://doi.org/10.1609/aaai.v34i04.5846,https://doi.org/10.1609/aaai.v34i04.5846,10.1609/aaai.v34i04.5846,NOT_ASSESSED_AT_BROAD_LEVEL
32,PRIMARY,P0470,RG89CDA19BD25B4468,Feature Distribution Matching by Optimal Transport for Effective and Robust Coreset Selection,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0470.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0470.pdf,PDF,sources/P0470.pdf,PDF,DCD6AB2C53575721BF7CD9D31E20969A125079DC32BFE9F02B6DB47D60003AAD,643539,BROAD_SOURCE,https://doi.org/10.1609/aaai.v38i8.28771,NOT_REPORTED_BY_SOURCE,10.1609/aaai.v38i8.28771,NOT_ASSESSED_AT_BROAD_LEVEL
33,PRIMARY,P0145,RGCD2D2100BA9A77FD,Identifying Mislabeled Data using the Area Under the Margin Ranking,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0145.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0145.pdf,PDF,sources/P0145.pdf,PDF,18884DA0DFDD63F625C3E45FF3E5C7907180045FB8D16C333D379880F37C3E83,2500129,BROAD_SOURCE,http://arxiv.org/abs/2001.10528,https://arxiv.org/pdf/2001.10528,10.48550/arxiv.2001.10528,NOT_ASSESSED_AT_BROAD_LEVEL
34,PRIMARY,P0098,RGD4F17A4EBAFB850A,Influence Dynamics and Stagewise Data Attribution,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0098.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0098.pdf,PDF,sources/P0098.pdf,PDF,DD4E715570D17E3287FF6EDC8EBA1F3D6EF8FFF67CBCA1749913F55EC75D3DCF,11434373,BROAD_SOURCE,https://arxiv.org/abs/2510.12071,https://arxiv.org/pdf/2510.12071,10.48550/arxiv.2510.12071,NOT_ASSESSED_AT_BROAD_LEVEL
35,PRIMARY,P0020,RG08D4BDEF38C63D1C,GLISTER: Generalization based Data Subset Selection for Efficient and Robust Learning,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0020.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0020.pdf,PDF,sources/P0020.pdf,PDF,88ECDA6540A7E528B2CB7C7763492CFB5763A0D421580ADB50E130FB9551BAF6,797498,BROAD_SOURCE,https://ojs.aaai.org/index.php/AAAI/article/view/16988,https://ojs.aaai.org/index.php/AAAI/article/download/16988/16795,NOT_REPORTED_BY_SOURCE,NOT_ASSESSED_AT_BROAD_LEVEL
36,PRIMARY,P0149,RG040AD85AE4D12CBA,Data Selection for Language Models via Importance Resampling,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0149.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0149.pdf,PDF,sources/P0149.pdf,PDF,3826EC3EED198449C48843A615505CC0763B1C664E96239C714D61F017B8D6DC,1118931,BROAD_SOURCE,http://arxiv.org/abs/2302.03169,https://arxiv.org/pdf/2302.03169,10.48550/arxiv.2302.03169,NOT_ASSESSED_AT_BROAD_LEVEL
37,PRIMARY,P0324,RG2DCC19E9C3A5D5E1,Mitigating Memorization in Sample Selection for Learning with Noisy Labels,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0324.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0324.pdf,PDF,sources/P0324.pdf,PDF,A461E159BE20AFFA87351773F5B0FE90BD89790B5930B1D7CFFDD661BD85A457,2647560,BROAD_SOURCE,http://arxiv.org/abs/2107.07041,https://arxiv.org/pdf/2107.07041,10.48550/arxiv.2107.07041,NOT_ASSESSED_AT_BROAD_LEVEL
