rank,sample_id,y_true,oof_fold,oof_group_id,train_primary_class,dynamic_bucket,mean_p_defect,correct_rate,std_p_defect,raw_score,method,method_eligible_pool_id
22,Det/images/normal_train/00511066.png,0,02,filename_bucket_1000:511,Normal,unstable_boundary,0.4987899271,0.415,0.1365790605,0.9975798542,Boundary-0.5-Clean,clean_normal
23,Det/images/normal_train/00444643.png,0,02,filename_bucket_1000:444,Normal,ordinary,0.4987204817,0.505,0.3647731497,0.9974409634,Boundary-0.5-Clean,clean_normal
24,Det/images/normal_train/01233046.png,0,09,filename_bucket_1000:1233,Normal,unstable_boundary,0.5012899292,0.38,0.1490980965,0.9974201415999999,Boundary-0.5-Clean,clean_normal
25,Det/images/normal_train/01216408.png,0,01,filename_bucket_1000:1216,Normal,unstable_boundary,0.5013343149,0.335,0.1999997864,0.9973313702,Boundary-0.5-Clean,clean_normal
26,Det/images/normal_train/00907302.png,0,02,filename_bucket_1000:907,Normal,unstable_boundary,0.5013409462,0.565,0.103703604,0.9973181076,Boundary-0.5-Clean,clean_normal
27,Det/images/normal_train/00813381.png,0,03,filename_bucket_1000:813,Normal,unstable_boundary,0.4986126345,0.44,0.1776568171,0.997225269,Boundary-0.5-Clean,clean_normal
28,Det/images/normal_train/00361308.png,0,00,filename_bucket_1000:361,Normal,unstable_boundary,0.4985540059,0.455,0.1877327208,0.9971080118,Boundary-0.5-Clean,clean_normal
29,Det/images/normal_train/00375465.png,0,04,filename_bucket_1000:375,Normal,learnable_hard,0.4985184795,0.51,0.2257349455,0.997036959,Boundary-0.5-Clean,clean_normal
30,Det/images/normal_train/00273498.png,0,08,filename_bucket_1000:273,Normal,ordinary,0.5015644357,0.595,0.306374966,0.9968711286,Boundary-0.5-Clean,clean_normal
31,Det/images/normal_train/01215477.png,0,02,filename_bucket_1000:1215,Normal,ordinary,0.498409425,0.515,0.1933629746,0.99681885,Boundary-0.5-Clean,clean_normal
32,Det/images/normal_train/00973210.png,0,05,filename_bucket_1000:973,Normal,learnable_hard,0.4983988565,0.3,0.2131900522,0.996797713,Boundary-0.5-Clean,clean_normal
33,Det/images/normal_train/00705329.png,0,04,filename_bucket_1000:705,Normal,ordinary,0.4983979867,0.52,0.1769716387,0.9967959734,Boundary-0.5-Clean,clean_normal
34,Det/images/normal_train/00360684.png,0,08,filename_bucket_1000:360,Normal,learnable_hard,0.5016472817,0.395,0.2792661927,0.9967054366000001,Boundary-0.5-Clean,clean_normal
35,Det/images/normal_train/00677397.png,0,01,filename_bucket_1000:677,Normal,learnable_hard,0.5016628725,0.35,0.2803156144,0.9966742550000001,Boundary-0.5-Clean,clean_normal
36,Det/images/normal_train/00290384.png,0,00,filename_bucket_1000:290,Normal,learnable_hard,0.4983288024,0.37,0.188304793,0.9966576048,Boundary-0.5-Clean,clean_normal
37,Det/images/normal_train/00580400.png,0,02,filename_bucket_1000:580,Normal,learnable_hard,0.4982840163,0.35,0.2363949703,0.9965680326,Boundary-0.5-Clean,clean_normal
38,Det/images/normal_train/01260321.png,0,05,filename_bucket_1000:1260,Normal,persistent_hard,0.4982671992,0.42,0.215131281,0.9965343984,Boundary-0.5-Clean,clean_normal
39,Det/images/normal_train/01294253.png,0,05,filename_bucket_1000:1294,Normal,unstable_boundary,0.5018308923,0.39,0.1587260423,0.9963382154,Boundary-0.5-Clean,clean_normal
40,Det/images/normal_train/01175753.png,0,05,filename_bucket_1000:1175,Normal,unstable_boundary,0.5018581014,0.415,0.1088117512,0.9962837972,Boundary-0.5-Clean,clean_normal
41,Det/images/normal_train/00586665.png,0,01,filename_bucket_1000:586,Normal,unstable_boundary,0.5018781771,0.39,0.1688849202,0.9962436457999999,Boundary-0.5-Clean,clean_normal
42,Det/images/normal_train/00173129.png,0,04,filename_bucket_1000:173,Normal,learnable_hard,0.4980729705,0.465,0.2156879549,0.996145941,Boundary-0.5-Clean,clean_normal
43,Det/images/normal_train/00249219.png,0,09,filename_bucket_1000:249,Normal,ordinary,0.5020022599,0.675,0.1973072845,0.9959954802,Boundary-0.5-Clean,clean_normal
44,Det/images/normal_train/01053258.png,0,05,filename_bucket_1000:1053,Normal,unstable_boundary,0.5021589199,0.51,0.1428960031,0.9956821602000001,Boundary-0.5-Clean,clean_normal
45,Det/images/normal_train/00164257.png,0,06,filename_bucket_1000:164,Normal,unstable_boundary,0.5022662055,0.53,0.1297871049,0.995467589,Boundary-0.5-Clean,clean_normal
46,Det/images/normal_train/00321468.png,0,03,filename_bucket_1000:321,Normal,unstable_boundary,0.4976905018,0.4,0.1819335036,0.9953810036,Boundary-0.5-Clean,clean_normal
47,Det/images/normal_train/01024045.png,0,01,filename_bucket_1000:1024,Normal,unstable_boundary,0.5023247176,0.39,0.148893882,0.9953505648000001,Boundary-0.5-Clean,clean_normal
48,Det/images/normal_train/00597177.png,0,03,filename_bucket_1000:597,Normal,unstable_boundary,0.4976571274,0.37,0.0901584821,0.9953142548,Boundary-0.5-Clean,clean_normal
49,Det/images/normal_train/00680128.png,0,07,filename_bucket_1000:680,Normal,ordinary,0.502425232,0.58,0.3950701362,0.995149536,Boundary-0.5-Clean,clean_normal
50,Det/images/normal_train/00885409.png,0,04,filename_bucket_1000:885,Normal,unstable_boundary,0.5024516754,0.355,0.1531107529,0.9950966492,Boundary-0.5-Clean,clean_normal
51,Det/images/normal_train/01299416.png,0,03,filename_bucket_1000:1299,Normal,unstable_boundary,0.4974934889,0.645,0.1555603708,0.9949869778,Boundary-0.5-Clean,clean_normal
52,Det/images/normal_train/01184464.png,0,04,filename_bucket_1000:1184,Normal,unstable_boundary,0.502508526,0.58,0.1786986936,0.9949829480000001,Boundary-0.5-Clean,clean_normal
53,Det/images/normal_train/01269443.png,0,00,filename_bucket_1000:1269,Normal,learnable_hard,0.50251787,0.3,0.1968976053,0.9949642599999999,Boundary-0.5-Clean,clean_normal
54,Det/images/normal_train/00207263.png,0,01,filename_bucket_1000:207,Normal,unstable_boundary,0.5026246452,0.465,0.0909247892,0.9947507095999999,Boundary-0.5-Clean,clean_normal
55,Det/images/normal_train/00531889.png,0,04,filename_bucket_1000:531,Normal,unstable_boundary,0.4973393434,0.675,0.1760079809,0.9946786868,Boundary-0.5-Clean,clean_normal
56,Det/images/normal_train/00518851.png,0,09,filename_bucket_1000:518,Normal,ordinary,0.4973333134,0.555,0.326798508,0.9946666268,Boundary-0.5-Clean,clean_normal
57,Det/images/normal_train/00622030.png,0,02,filename_bucket_1000:622,Normal,unstable_boundary,0.4973042911,0.485,0.1173480924,0.9946085822,Boundary-0.5-Clean,clean_normal
58,Det/images/normal_train/00346195.png,0,07,filename_bucket_1000:346,Normal,learnable_hard,0.4972638597,0.51,0.2504102853,0.9945277194,Boundary-0.5-Clean,clean_normal
59,Det/images/normal_train/01199931.png,0,03,filename_bucket_1000:1199,Normal,unstable_boundary,0.4971787766,0.38,0.1644323835,0.9943575532,Boundary-0.5-Clean,clean_normal
60,Det/images/normal_train/00375404.png,0,04,filename_bucket_1000:375,Normal,ordinary,0.4971636885,0.545,0.1839097618,0.994327377,Boundary-0.5-Clean,clean_normal
61,Det/images/normal_train/00804457.png,0,09,filename_bucket_1000:804,Normal,unstable_boundary,0.4971436515,0.405,0.1208428953,0.994287303,Boundary-0.5-Clean,clean_normal
62,Det/images/normal_train/01066139.png,0,00,filename_bucket_1000:1066,Normal,learnable_hard,0.5029259667,0.35,0.312282484,0.9941480666,Boundary-0.5-Clean,clean_normal
63,Det/images/normal_train/00443416.png,0,00,filename_bucket_1000:443,Normal,unstable_boundary,0.5029401032,0.465,0.1465922348,0.9941197935999999,Boundary-0.5-Clean,clean_normal
64,Det/images/normal_train/01256641.png,0,02,filename_bucket_1000:1256,Normal,ordinary,0.4970458231,0.615,0.1916178843,0.9940916462,Boundary-0.5-Clean,clean_normal
65,Det/images/normal_train/00763462.png,0,07,filename_bucket_1000:763,Normal,learnable_hard,0.5030284602,0.455,0.2660137773,0.9939430796,Boundary-0.5-Clean,clean_normal
66,Det/images/normal_train/00197194.png,0,06,filename_bucket_1000:197,Normal,learnable_hard,0.4969327838,0.33,0.2537826903,0.9938655676,Boundary-0.5-Clean,clean_normal
67,Det/images/normal_train/00877861.png,0,04,filename_bucket_1000:877,Normal,learnable_hard,0.4969013437,0.42,0.3147268683,0.9938026874,Boundary-0.5-Clean,clean_normal
68,Det/images/normal_train/00276634.png,0,03,filename_bucket_1000:276,Normal,learnable_hard,0.5031163163,0.415,0.3427361937,0.9937673674,Boundary-0.5-Clean,clean_normal
69,Det/images/normal_train/00182608.png,0,08,filename_bucket_1000:182,Normal,learnable_hard,0.4968024083,0.32,0.2529920383,0.9936048166,Boundary-0.5-Clean,clean_normal
70,Det/images/normal_train/00340012.png,0,02,filename_bucket_1000:340,Normal,unstable_boundary,0.5032056852,0.5,0.1278023522,0.9935886296,Boundary-0.5-Clean,clean_normal
71,Det/images/normal_train/01274768.png,0,08,filename_bucket_1000:1274,Normal,unstable_boundary,0.4967835593,0.565,0.1226384797,0.9935671186,Boundary-0.5-Clean,clean_normal
72,Det/images/normal_train/00261848.png,0,00,filename_bucket_1000:261,Normal,unstable_boundary,0.5032463391,0.245,0.1978573118,0.9935073217999999,Boundary-0.5-Clean,clean_normal
73,Det/images/normal_train/00886053.png,0,09,filename_bucket_1000:886,Normal,learnable_hard,0.4967142068,0.365,0.2282331978,0.9934284136,Boundary-0.5-Clean,clean_normal
74,Det/images/normal_train/00543700.png,0,06,filename_bucket_1000:543,Normal,ordinary,0.4965978812,0.555,0.3689833028,0.9931957624,Boundary-0.5-Clean,clean_normal
75,Det/images/normal_train/00164278.png,0,06,filename_bucket_1000:164,Normal,learnable_hard,0.5034790589,0.425,0.2379644665,0.9930418822,Boundary-0.5-Clean,clean_normal
76,Det/images/normal_train/00744956.png,0,06,filename_bucket_1000:744,Normal,learnable_hard,0.496437339,0.45,0.3950273885,0.992874678,Boundary-0.5-Clean,clean_normal
77,Det/images/normal_train/00788538.png,0,03,filename_bucket_1000:788,Normal,ordinary,0.4963989113,0.61,0.2681669577,0.9927978226,Boundary-0.5-Clean,clean_normal
78,Det/images/normal_train/00752111.png,0,08,filename_bucket_1000:752,Normal,unstable_boundary,0.4963942271,0.675,0.1468910731,0.9927884542,Boundary-0.5-Clean,clean_normal
79,Det/images/normal_train/00879118.png,0,09,filename_bucket_1000:879,Normal,unstable_boundary,0.4963839398,0.54,0.1254218013,0.9927678796,Boundary-0.5-Clean,clean_normal
80,Det/images/normal_train/01149499.png,0,05,filename_bucket_1000:1149,Normal,learnable_hard,0.5036580033,0.37,0.2472669313,0.9926839934,Boundary-0.5-Clean,clean_normal
81,Det/images/normal_train/00421442.png,0,09,filename_bucket_1000:421,Normal,unstable_boundary,0.5037270637,0.435,0.129061001,0.9925458726,Boundary-0.5-Clean,clean_normal
82,Det/images/normal_train/00787158.png,0,09,filename_bucket_1000:787,Normal,learnable_hard,0.4961940945,0.35,0.200842429,0.992388189,Boundary-0.5-Clean,clean_normal
83,Det/images/normal_train/00207729.png,0,01,filename_bucket_1000:207,Normal,ordinary,0.5038132031,0.585,0.2530877402,0.9923735938,Boundary-0.5-Clean,clean_normal
84,Det/images/normal_train/01151898.png,0,00,filename_bucket_1000:1151,Normal,persistent_hard,0.4961686879,0.42,0.1911814869,0.9923373758,Boundary-0.5-Clean,clean_normal
85,Det/images/normal_train/01215218.png,0,02,filename_bucket_1000:1215,Normal,unstable_boundary,0.4960866529,0.755,0.189031758,0.9921733058,Boundary-0.5-Clean,clean_normal
86,Det/images/normal_train/00922342.png,0,02,filename_bucket_1000:922,Normal,unstable_boundary,0.5039782438,0.405,0.1948746457,0.9920435124,Boundary-0.5-Clean,clean_normal
87,Det/images/normal_train/01068617.png,0,00,filename_bucket_1000:1068,Normal,learnable_hard,0.4959392039,0.39,0.2454166409,0.9918784078,Boundary-0.5-Clean,clean_normal
88,Det/images/normal_train/00471497.png,0,00,filename_bucket_1000:471,Normal,unstable_boundary,0.4957993406,0.51,0.1231765439,0.9915986812,Boundary-0.5-Clean,clean_normal
89,Det/images/normal_train/01001261.png,0,05,filename_bucket_1000:1001,Normal,learnable_hard,0.504208773,0.34,0.2500842468,0.991582454,Boundary-0.5-Clean,clean_normal
90,Det/images/normal_train/01110032.png,0,09,filename_bucket_1000:1110,Normal,unstable_boundary,0.4957803712,0.515,0.1278330212,0.9915607424,Boundary-0.5-Clean,clean_normal
91,Det/images/normal_train/01103895.png,0,02,filename_bucket_1000:1103,Normal,unstable_boundary,0.4955997915,0.775,0.1865882946,0.991199583,Boundary-0.5-Clean,clean_normal
92,Det/images/normal_train/01261976.png,0,00,filename_bucket_1000:1261,Normal,unstable_boundary,0.5044343205,0.5,0.1051135345,0.9911313589999999,Boundary-0.5-Clean,clean_normal
93,Det/images/normal_train/00399881.png,0,08,filename_bucket_1000:399,Normal,unstable_boundary,0.4954955453,0.385,0.1277994876,0.9909910906,Boundary-0.5-Clean,clean_normal
94,Det/images/normal_train/01171917.png,0,04,filename_bucket_1000:1171,Normal,ordinary,0.4952828293,0.725,0.2403924293,0.9905656586,Boundary-0.5-Clean,clean_normal
95,Det/images/normal_train/00167160.png,0,04,filename_bucket_1000:167,Normal,learnable_hard,0.4952224571,0.4,0.3273493328,0.9904449142,Boundary-0.5-Clean,clean_normal
96,Det/images/normal_train/00375467.png,0,04,filename_bucket_1000:375,Normal,unstable_boundary,0.5050016904,0.515,0.1724485509,0.9899966192,Boundary-0.5-Clean,clean_normal
97,Det/images/normal_train/00835630.png,0,02,filename_bucket_1000:835,Normal,unstable_boundary,0.5050108235,0.45,0.1203453137,0.9899783529999999,Boundary-0.5-Clean,clean_normal
98,Det/images/normal_train/01027250.png,0,08,filename_bucket_1000:1027,Normal,learnable_hard,0.4949193589,0.49,0.2350066935,0.9898387178,Boundary-0.5-Clean,clean_normal
99,Det/images/normal_train/01093265.png,0,04,filename_bucket_1000:1093,Normal,ordinary,0.4948833652,0.58,0.3372978594,0.9897667304,Boundary-0.5-Clean,clean_normal
100,Det/images/normal_train/01246689.png,0,01,filename_bucket_1000:1246,Normal,ordinary,0.4948722556,0.64,0.2211727771,0.9897445112,Boundary-0.5-Clean,clean_normal
101,Det/images/normal_train/00727767.png,0,04,filename_bucket_1000:727,Normal,unstable_boundary,0.4948605342,0.585,0.0574614887,0.9897210684,Boundary-0.5-Clean,clean_normal
102,Det/images/normal_train/00256288.png,0,03,filename_bucket_1000:256,Normal,ordinary,0.4948541328,0.58,0.2929175442,0.9897082656,Boundary-0.5-Clean,clean_normal
103,Det/images/normal_train/00943069.png,0,09,filename_bucket_1000:943,Normal,learnable_hard,0.4948492105,0.44,0.2663053267,0.989698421,Boundary-0.5-Clean,clean_normal
104,Det/images/normal_train/00774102.png,0,00,filename_bucket_1000:774,Normal,learnable_hard,0.4947437765,0.475,0.3040877764,0.989487553,Boundary-0.5-Clean,clean_normal
105,Det/images/normal_train/00632470.png,0,09,filename_bucket_1000:632,Normal,unstable_boundary,0.4947403312,0.515,0.1475577065,0.9894806624,Boundary-0.5-Clean,clean_normal
106,Det/images/normal_train/00833832.png,0,02,filename_bucket_1000:833,Normal,ordinary,0.4947220129,0.61,0.1908935563,0.9894440258,Boundary-0.5-Clean,clean_normal
107,Det/images/normal_train/01014733.png,0,04,filename_bucket_1000:1014,Normal,learnable_hard,0.4946231438,0.445,0.4118685106,0.9892462876,Boundary-0.5-Clean,clean_normal
108,Det/images/normal_train/00564831.png,0,04,filename_bucket_1000:564,Normal,unstable_boundary,0.494478682,0.545,0.1220349832,0.988957364,Boundary-0.5-Clean,clean_normal
109,Det/images/normal_train/01202671.png,0,08,filename_bucket_1000:1202,Normal,learnable_hard,0.5055648817,0.32,0.3037698557,0.9888702366,Boundary-0.5-Clean,clean_normal
110,Det/images/normal_train/00647149.png,0,01,filename_bucket_1000:647,Normal,ordinary,0.4944020112,0.575,0.3316118893,0.9888040224,Boundary-0.5-Clean,clean_normal
111,Det/images/normal_train/00916488.png,0,00,filename_bucket_1000:916,Normal,learnable_hard,0.4941881212,0.465,0.380000949,0.9883762424,Boundary-0.5-Clean,clean_normal
112,Det/images/normal_train/00876742.png,0,04,filename_bucket_1000:876,Normal,learnable_hard,0.4941854806,0.285,0.2669439279,0.9883709612,Boundary-0.5-Clean,clean_normal
113,Det/images/normal_train/00989817.png,0,04,filename_bucket_1000:989,Normal,unstable_boundary,0.4941438836,0.505,0.129703161,0.9882877672,Boundary-0.5-Clean,clean_normal
114,Det/images/normal_train/00918221.png,0,01,filename_bucket_1000:918,Normal,unstable_boundary,0.5059760935,0.55,0.1612079799,0.9880478130000001,Boundary-0.5-Clean,clean_normal
115,Det/images/normal_train/00623985.png,0,08,filename_bucket_1000:623,Normal,unstable_boundary,0.506103555,0.575,0.1680514182,0.9877928899999999,Boundary-0.5-Clean,clean_normal
116,Det/images/normal_train/00164665.png,0,06,filename_bucket_1000:164,Normal,learnable_hard,0.5061324997,0.475,0.2297974343,0.9877350006000001,Boundary-0.5-Clean,clean_normal
117,Det/images/normal_train/01196350.png,0,06,filename_bucket_1000:1196,Normal,ordinary,0.5062862581,0.575,0.31731762,0.9874274837999999,Boundary-0.5-Clean,clean_normal
118,Det/images/normal_train/00290087.png,0,00,filename_bucket_1000:290,Normal,learnable_hard,0.50644355,0.385,0.2244460666,0.9871129000000001,Boundary-0.5-Clean,clean_normal
119,Det/images/normal_train/01084770.png,0,01,filename_bucket_1000:1084,Normal,ordinary,0.5064474768,0.515,0.2781266894,0.9871050464,Boundary-0.5-Clean,clean_normal
120,Det/images/normal_train/00959900.png,0,02,filename_bucket_1000:959,Normal,persistent_hard,0.5064846332,0.485,0.1989484708,0.9870307335999999,Boundary-0.5-Clean,clean_normal
121,Det/images/normal_train/00990473.png,0,03,filename_bucket_1000:990,Normal,persistent_hard,0.5065183492,0.45,0.2389858132,0.9869633015999999,Boundary-0.5-Clean,clean_normal
122,Det/images/normal_train/01005186.png,0,09,filename_bucket_1000:1005,Normal,learnable_hard,0.5065205665,0.42,0.2939713304,0.986958867,Boundary-0.5-Clean,clean_normal
123,Det/images/normal_train/00980256.png,0,01,filename_bucket_1000:980,Normal,unstable_boundary,0.5065690383,0.41,0.128497873,0.9868619234,Boundary-0.5-Clean,clean_normal
124,Det/images/normal_train/00555006.png,0,07,filename_bucket_1000:555,Normal,unstable_boundary,0.5066120853,0.495,0.1867274267,0.9867758294,Boundary-0.5-Clean,clean_normal
125,Det/images/normal_train/00840310.png,0,00,filename_bucket_1000:840,Normal,learnable_hard,0.5067248803,0.47,0.2755404931,0.9865502394000001,Boundary-0.5-Clean,clean_normal
126,Det/images/normal_train/01199450.png,0,03,filename_bucket_1000:1199,Normal,ordinary,0.493237891,0.625,0.2706463423,0.986475782,Boundary-0.5-Clean,clean_normal
127,Det/images/normal_train/00160242.png,0,06,filename_bucket_1000:160,Normal,unstable_boundary,0.5067985787,0.32,0.1686365941,0.9864028426,Boundary-0.5-Clean,clean_normal
128,Det/images/normal_train/00415408.png,0,04,filename_bucket_1000:415,Normal,unstable_boundary,0.5068013094,0.49,0.1213044812,0.9863973812,Boundary-0.5-Clean,clean_normal
129,Det/images/normal_train/01225854.png,0,01,filename_bucket_1000:1225,Normal,learnable_hard,0.5068170087,0.335,0.2653950892,0.9863659826,Boundary-0.5-Clean,clean_normal
130,Det/images/normal_train/01246590.png,0,01,filename_bucket_1000:1246,Normal,unstable_boundary,0.5068247917,0.3,0.1146912871,0.9863504165999999,Boundary-0.5-Clean,clean_normal
131,Det/images/normal_train/00925359.png,0,09,filename_bucket_1000:925,Normal,learnable_hard,0.493021828,0.41,0.3067527583,0.986043656,Boundary-0.5-Clean,clean_normal
132,Det/images/normal_train/00946936.png,0,07,filename_bucket_1000:946,Normal,unstable_boundary,0.4929188548,0.54,0.1627279681,0.9858377096,Boundary-0.5-Clean,clean_normal
133,Det/images/normal_train/01267857.png,0,04,filename_bucket_1000:1267,Normal,learnable_hard,0.4928321389,0.365,0.2651797456,0.9856642778,Boundary-0.5-Clean,clean_normal
134,Det/images/normal_train/00362832.png,0,08,filename_bucket_1000:362,Normal,learnable_hard,0.4927974646,0.37,0.2344616725,0.9855949292,Boundary-0.5-Clean,clean_normal
135,Det/images/normal_train/00384476.png,0,08,filename_bucket_1000:384,Normal,learnable_hard,0.5072763081,0.32,0.2474539271,0.9854473838,Boundary-0.5-Clean,clean_normal
136,Det/images/normal_train/00342734.png,0,02,filename_bucket_1000:342,Normal,unstable_boundary,0.5075582633,0.505,0.1794810501,0.9848834734,Boundary-0.5-Clean,clean_normal
137,Det/images/normal_train/00642156.png,0,01,filename_bucket_1000:642,Normal,unstable_boundary,0.5075688789,0.59,0.1467889834,0.9848622422,Boundary-0.5-Clean,clean_normal
138,Det/images/normal_train/00706464.png,0,02,filename_bucket_1000:706,Normal,unstable_boundary,0.5076879582,0.28,0.196517267,0.9846240836,Boundary-0.5-Clean,clean_normal
139,Det/images/normal_train/01261331.png,0,00,filename_bucket_1000:1261,Normal,unstable_boundary,0.4922932415,0.37,0.1655161056,0.984586483,Boundary-0.5-Clean,clean_normal
140,Det/images/normal_train/00223337.png,0,06,filename_bucket_1000:223,Normal,persistent_hard,0.5077448675,0.435,0.2195653182,0.9845102649999999,Boundary-0.5-Clean,clean_normal
141,Det/images/normal_train/01030615.png,0,04,filename_bucket_1000:1030,Normal,learnable_hard,0.507778735,0.45,0.2104474415,0.9844425299999999,Boundary-0.5-Clean,clean_normal
142,Det/images/normal_train/01168917.png,0,02,filename_bucket_1000:1168,Normal,learnable_hard,0.5078811384,0.345,0.2676107853,0.9842377231999999,Boundary-0.5-Clean,clean_normal
143,Det/images/normal_train/00205911.png,0,08,filename_bucket_1000:205,Normal,learnable_hard,0.5079106897,0.345,0.2265339829,0.9841786206,Boundary-0.5-Clean,clean_normal
144,Det/images/normal_train/00756931.png,0,05,filename_bucket_1000:756,Normal,unstable_boundary,0.5079274607,0.49,0.166781384,0.9841450785999999,Boundary-0.5-Clean,clean_normal
145,Det/images/normal_train/00897218.png,0,00,filename_bucket_1000:897,Normal,unstable_boundary,0.5079300948,0.36,0.178701776,0.9841398104000001,Boundary-0.5-Clean,clean_normal
146,Det/images/normal_train/00231991.png,0,08,filename_bucket_1000:231,Normal,unstable_boundary,0.5079667159,0.475,0.1917392504,0.9840665682,Boundary-0.5-Clean,clean_normal
147,Det/images/normal_train/01210003.png,0,01,filename_bucket_1000:1210,Normal,ordinary,0.5080808266,0.705,0.2010160205,0.9838383468,Boundary-0.5-Clean,clean_normal
148,Det/images/normal_train/01208245.png,0,04,filename_bucket_1000:1208,Normal,unstable_boundary,0.491852848,0.57,0.1904251593,0.983705696,Boundary-0.5-Clean,clean_normal
149,Det/images/normal_train/01027679.png,0,08,filename_bucket_1000:1027,Normal,learnable_hard,0.491806673,0.37,0.216602565,0.983613346,Boundary-0.5-Clean,clean_normal
150,Det/images/normal_train/00375485.png,0,04,filename_bucket_1000:375,Normal,ordinary,0.5082322934,0.57,0.2156662231,0.9835354132,Boundary-0.5-Clean,clean_normal
151,Det/images/normal_train/00184923.png,0,05,filename_bucket_1000:184,Normal,unstable_boundary,0.491676946,0.465,0.1533681163,0.983353892,Boundary-0.5-Clean,clean_normal
152,Det/images/normal_train/01119618.png,0,01,filename_bucket_1000:1119,Normal,unstable_boundary,0.4916607161,0.6,0.1610950568,0.9833214322,Boundary-0.5-Clean,clean_normal
153,Det/images/normal_train/00577887.png,0,05,filename_bucket_1000:577,Normal,learnable_hard,0.5083670663,0.495,0.4049602383,0.9832658674000001,Boundary-0.5-Clean,clean_normal
154,Det/images/normal_train/01296521.png,0,07,filename_bucket_1000:1296,Normal,unstable_boundary,0.4916294547,0.525,0.1612053989,0.9832589094,Boundary-0.5-Clean,clean_normal
