"view_relative_path","smoke_tag","setting","split","class_name","file_name","source_relative_path","source_exists_in_base_dataset","view_size_bytes"
"weighted_hn14_risk_consistency\train\Abnormal\00000305.png","","weighted_hn14_risk_consistency","train","Abnormal","00000305.png","train\\Abnormal\\00000305.png","True","165324"
"weighted_hn14_risk_consistency\train\Abnormal\00000321.png","","weighted_hn14_risk_consistency","train","Abnormal","00000321.png","train\\Abnormal\\00000321.png","True","148176"
"weighted_hn14_risk_consistency\train\Abnormal\00000322.png","","weighted_hn14_risk_consistency","train","Abnormal","00000322.png","train\\Abnormal\\00000322.png","True","146661"
"weighted_hn14_risk_consistency\train\Abnormal\00000353.png","","weighted_hn14_risk_consistency","train","Abnormal","00000353.png","train\\Abnormal\\00000353.png","True","134158"
"weighted_hn14_risk_consistency\train\Abnormal\00000357.png","","weighted_hn14_risk_consistency","train","Abnormal","00000357.png","train\\Abnormal\\00000357.png","True","146648"
"weighted_hn14_risk_consistency\train\Abnormal\00000360.png","","weighted_hn14_risk_consistency","train","Abnormal","00000360.png","train\\Abnormal\\00000360.png","True","134355"
"weighted_hn14_risk_consistency\train\Abnormal\00000368.png","","weighted_hn14_risk_consistency","train","Abnormal","00000368.png","train\\Abnormal\\00000368.png","True","213750"
"weighted_hn14_risk_consistency\train\Abnormal\00000409.png","","weighted_hn14_risk_consistency","train","Abnormal","00000409.png","train\\Abnormal\\00000409.png","True","92050"
"weighted_hn14_risk_consistency\train\Abnormal\00000416.png","","weighted_hn14_risk_consistency","train","Abnormal","00000416.png","train\\Abnormal\\00000416.png","True","108795"
"weighted_hn14_risk_consistency\train\Abnormal\00000477.png","","weighted_hn14_risk_consistency","train","Abnormal","00000477.png","train\\Abnormal\\00000477.png","True","184588"
"weighted_hn14_risk_consistency\train\Abnormal\00000500.png","","weighted_hn14_risk_consistency","train","Abnormal","00000500.png","train\\Abnormal\\00000500.png","True","204912"
"weighted_hn14_risk_consistency\train\Abnormal\00000505.png","","weighted_hn14_risk_consistency","train","Abnormal","00000505.png","train\\Abnormal\\00000505.png","True","211990"
"weighted_hn14_risk_consistency\train\Abnormal\00000525.png","","weighted_hn14_risk_consistency","train","Abnormal","00000525.png","train\\Abnormal\\00000525.png","True","183682"
"weighted_hn14_risk_consistency\train\Abnormal\00000607.png","","weighted_hn14_risk_consistency","train","Abnormal","00000607.png","train\\Abnormal\\00000607.png","True","163831"
"weighted_hn14_risk_consistency\train\Abnormal\00000658.png","","weighted_hn14_risk_consistency","train","Abnormal","00000658.png","train\\Abnormal\\00000658.png","True","157059"
"weighted_hn14_risk_consistency\train\Abnormal\00000755.png","","weighted_hn14_risk_consistency","train","Abnormal","00000755.png","train\\Abnormal\\00000755.png","True","149357"
"weighted_hn14_risk_consistency\train\Abnormal\00000763.png","","weighted_hn14_risk_consistency","train","Abnormal","00000763.png","train\\Abnormal\\00000763.png","True","147099"
"weighted_hn14_risk_consistency\train\Abnormal\00000772.png","","weighted_hn14_risk_consistency","train","Abnormal","00000772.png","train\\Abnormal\\00000772.png","True","181787"
"weighted_hn14_risk_consistency\train\Abnormal\00000803.png","","weighted_hn14_risk_consistency","train","Abnormal","00000803.png","train\\Abnormal\\00000803.png","True","178828"
"weighted_hn14_risk_consistency\train\Abnormal\00000875.png","","weighted_hn14_risk_consistency","train","Abnormal","00000875.png","train\\Abnormal\\00000875.png","True","128673"
"weighted_hn14_risk_consistency\train\Abnormal\00000942.png","","weighted_hn14_risk_consistency","train","Abnormal","00000942.png","train\\Abnormal\\00000942.png","True","109239"
"weighted_hn14_risk_consistency\train\Abnormal\00000953.png","","weighted_hn14_risk_consistency","train","Abnormal","00000953.png","train\\Abnormal\\00000953.png","True","617480"
"weighted_hn14_risk_consistency\train\Abnormal\00001061.png","","weighted_hn14_risk_consistency","train","Abnormal","00001061.png","train\\Abnormal\\00001061.png","True","506288"
"weighted_hn14_risk_consistency\train\Abnormal\00001150.png","","weighted_hn14_risk_consistency","train","Abnormal","00001150.png","train\\Abnormal\\00001150.png","True","546918"
"weighted_hn14_risk_consistency\train\Abnormal\00001163.png","","weighted_hn14_risk_consistency","train","Abnormal","00001163.png","train\\Abnormal\\00001163.png","True","483812"
"weighted_hn14_risk_consistency\train\Abnormal\00001213.png","","weighted_hn14_risk_consistency","train","Abnormal","00001213.png","train\\Abnormal\\00001213.png","True","558302"
"weighted_hn14_risk_consistency\train\Abnormal\00001340.png","","weighted_hn14_risk_consistency","train","Abnormal","00001340.png","train\\Abnormal\\00001340.png","True","510099"
"weighted_hn14_risk_consistency\train\Abnormal\00001453.png","","weighted_hn14_risk_consistency","train","Abnormal","00001453.png","train\\Abnormal\\00001453.png","True","536733"
"weighted_hn14_risk_consistency\train\Abnormal\00001584.png","","weighted_hn14_risk_consistency","train","Abnormal","00001584.png","train\\Abnormal\\00001584.png","True","458245"
"weighted_hn14_risk_consistency\train\Abnormal\00001604.png","","weighted_hn14_risk_consistency","train","Abnormal","00001604.png","train\\Abnormal\\00001604.png","True","552264"
"weighted_hn14_risk_consistency\train\Abnormal\00001717.png","","weighted_hn14_risk_consistency","train","Abnormal","00001717.png","train\\Abnormal\\00001717.png","True","523240"
"weighted_hn14_risk_consistency\train\Abnormal\00001718.png","","weighted_hn14_risk_consistency","train","Abnormal","00001718.png","train\\Abnormal\\00001718.png","True","520869"
"weighted_hn14_risk_consistency\train\Abnormal\00001755.png","","weighted_hn14_risk_consistency","train","Abnormal","00001755.png","train\\Abnormal\\00001755.png","True","699958"
"weighted_hn14_risk_consistency\train\Abnormal\00002046.png","","weighted_hn14_risk_consistency","train","Abnormal","00002046.png","train\\Abnormal\\00002046.png","True","580485"
"weighted_hn14_risk_consistency\train\Abnormal\00002197.png","","weighted_hn14_risk_consistency","train","Abnormal","00002197.png","train\\Abnormal\\00002197.png","True","666845"
"weighted_hn14_risk_consistency\train\Abnormal\00002198.png","","weighted_hn14_risk_consistency","train","Abnormal","00002198.png","train\\Abnormal\\00002198.png","True","682342"
"weighted_hn14_risk_consistency\train\Abnormal\00002305.png","","weighted_hn14_risk_consistency","train","Abnormal","00002305.png","train\\Abnormal\\00002305.png","True","491671"
"weighted_hn14_risk_consistency\train\Abnormal\00002358.png","","weighted_hn14_risk_consistency","train","Abnormal","00002358.png","train\\Abnormal\\00002358.png","True","472632"
"weighted_hn14_risk_consistency\train\Abnormal\00002359.png","","weighted_hn14_risk_consistency","train","Abnormal","00002359.png","train\\Abnormal\\00002359.png","True","528782"
"weighted_hn14_risk_consistency\train\Abnormal\00002427.png","","weighted_hn14_risk_consistency","train","Abnormal","00002427.png","train\\Abnormal\\00002427.png","True","418239"
"weighted_hn14_risk_consistency\train\Abnormal\00002475.png","","weighted_hn14_risk_consistency","train","Abnormal","00002475.png","train\\Abnormal\\00002475.png","True","686745"
"weighted_hn14_risk_consistency\train\Abnormal\00002517.png","","weighted_hn14_risk_consistency","train","Abnormal","00002517.png","train\\Abnormal\\00002517.png","True","535089"
"weighted_hn14_risk_consistency\train\Abnormal\00002518.png","","weighted_hn14_risk_consistency","train","Abnormal","00002518.png","train\\Abnormal\\00002518.png","True","491793"
"weighted_hn14_risk_consistency\train\Abnormal\00002519.png","","weighted_hn14_risk_consistency","train","Abnormal","00002519.png","train\\Abnormal\\00002519.png","True","528125"
"weighted_hn14_risk_consistency\train\Abnormal\00002567.png","","weighted_hn14_risk_consistency","train","Abnormal","00002567.png","train\\Abnormal\\00002567.png","True","615988"
"weighted_hn14_risk_consistency\train\Abnormal\00002622.png","","weighted_hn14_risk_consistency","train","Abnormal","00002622.png","train\\Abnormal\\00002622.png","True","660608"
"weighted_hn14_risk_consistency\train\Abnormal\00002652.png","","weighted_hn14_risk_consistency","train","Abnormal","00002652.png","train\\Abnormal\\00002652.png","True","849919"
"weighted_hn14_risk_consistency\train\Abnormal\00002693.png","","weighted_hn14_risk_consistency","train","Abnormal","00002693.png","train\\Abnormal\\00002693.png","True","383934"
"weighted_hn14_risk_consistency\train\Abnormal\00002694.png","","weighted_hn14_risk_consistency","train","Abnormal","00002694.png","train\\Abnormal\\00002694.png","True","386331"
"weighted_hn14_risk_consistency\train\Abnormal\00002698.png","","weighted_hn14_risk_consistency","train","Abnormal","00002698.png","train\\Abnormal\\00002698.png","True","586185"
"weighted_hn14_risk_consistency\train\Abnormal\00002700.png","","weighted_hn14_risk_consistency","train","Abnormal","00002700.png","train\\Abnormal\\00002700.png","True","624806"
"weighted_hn14_risk_consistency\train\Abnormal\00002701.png","","weighted_hn14_risk_consistency","train","Abnormal","00002701.png","train\\Abnormal\\00002701.png","True","666092"
"weighted_hn14_risk_consistency\train\Abnormal\00002921.png","","weighted_hn14_risk_consistency","train","Abnormal","00002921.png","train\\Abnormal\\00002921.png","True","497514"
"weighted_hn14_risk_consistency\train\Abnormal\00003000.png","","weighted_hn14_risk_consistency","train","Abnormal","00003000.png","train\\Abnormal\\00003000.png","True","493328"
"weighted_hn14_risk_consistency\train\Abnormal\00003010.png","","weighted_hn14_risk_consistency","train","Abnormal","00003010.png","train\\Abnormal\\00003010.png","True","451369"
"weighted_hn14_risk_consistency\train\Abnormal\00003116.png","","weighted_hn14_risk_consistency","train","Abnormal","00003116.png","train\\Abnormal\\00003116.png","True","605313"
"weighted_hn14_risk_consistency\train\Abnormal\00003129.png","","weighted_hn14_risk_consistency","train","Abnormal","00003129.png","train\\Abnormal\\00003129.png","True","662066"
"weighted_hn14_risk_consistency\train\Abnormal\00003206.png","","weighted_hn14_risk_consistency","train","Abnormal","00003206.png","train\\Abnormal\\00003206.png","True","760871"
"weighted_hn14_risk_consistency\train\Abnormal\00003213.png","","weighted_hn14_risk_consistency","train","Abnormal","00003213.png","train\\Abnormal\\00003213.png","True","712352"
"weighted_hn14_risk_consistency\train\Abnormal\00003238.png","","weighted_hn14_risk_consistency","train","Abnormal","00003238.png","train\\Abnormal\\00003238.png","True","559404"
"weighted_hn14_risk_consistency\train\Abnormal\00003319.png","","weighted_hn14_risk_consistency","train","Abnormal","00003319.png","train\\Abnormal\\00003319.png","True","597586"
"weighted_hn14_risk_consistency\train\Abnormal\00003352.png","","weighted_hn14_risk_consistency","train","Abnormal","00003352.png","train\\Abnormal\\00003352.png","True","782680"
"weighted_hn14_risk_consistency\train\Abnormal\00003370.png","","weighted_hn14_risk_consistency","train","Abnormal","00003370.png","train\\Abnormal\\00003370.png","True","784884"
"weighted_hn14_risk_consistency\train\Abnormal\00003402.png","","weighted_hn14_risk_consistency","train","Abnormal","00003402.png","train\\Abnormal\\00003402.png","True","696978"
"weighted_hn14_risk_consistency\train\Abnormal\00003471.png","","weighted_hn14_risk_consistency","train","Abnormal","00003471.png","train\\Abnormal\\00003471.png","True","764571"
"weighted_hn14_risk_consistency\train\Abnormal\00003698.png","","weighted_hn14_risk_consistency","train","Abnormal","00003698.png","train\\Abnormal\\00003698.png","True","744599"
"weighted_hn14_risk_consistency\train\Abnormal\00003713.png","","weighted_hn14_risk_consistency","train","Abnormal","00003713.png","train\\Abnormal\\00003713.png","True","641450"
"weighted_hn14_risk_consistency\train\Abnormal\00003744.png","","weighted_hn14_risk_consistency","train","Abnormal","00003744.png","train\\Abnormal\\00003744.png","True","636137"
"weighted_hn14_risk_consistency\train\Abnormal\00003745.png","","weighted_hn14_risk_consistency","train","Abnormal","00003745.png","train\\Abnormal\\00003745.png","True","635866"
"weighted_hn14_risk_consistency\train\Abnormal\00003746.png","","weighted_hn14_risk_consistency","train","Abnormal","00003746.png","train\\Abnormal\\00003746.png","True","659814"
"weighted_hn14_risk_consistency\train\Abnormal\00004213.png","","weighted_hn14_risk_consistency","train","Abnormal","00004213.png","train\\Abnormal\\00004213.png","True","718026"
"weighted_hn14_risk_consistency\train\Abnormal\00004264.png","","weighted_hn14_risk_consistency","train","Abnormal","00004264.png","train\\Abnormal\\00004264.png","True","715368"
"weighted_hn14_risk_consistency\train\Abnormal\00004545.png","","weighted_hn14_risk_consistency","train","Abnormal","00004545.png","train\\Abnormal\\00004545.png","True","610043"
"weighted_hn14_risk_consistency\train\Abnormal\00004782.png","","weighted_hn14_risk_consistency","train","Abnormal","00004782.png","train\\Abnormal\\00004782.png","True","797140"
"weighted_hn14_risk_consistency\train\Abnormal\00004783.png","","weighted_hn14_risk_consistency","train","Abnormal","00004783.png","train\\Abnormal\\00004783.png","True","790949"
"weighted_hn14_risk_consistency\train\Abnormal\00004907.png","","weighted_hn14_risk_consistency","train","Abnormal","00004907.png","train\\Abnormal\\00004907.png","True","771974"
"weighted_hn14_risk_consistency\train\Abnormal\00004946.png","","weighted_hn14_risk_consistency","train","Abnormal","00004946.png","train\\Abnormal\\00004946.png","True","732005"
"weighted_hn14_risk_consistency\train\Abnormal\00004952.png","","weighted_hn14_risk_consistency","train","Abnormal","00004952.png","train\\Abnormal\\00004952.png","True","721872"
"weighted_hn14_risk_consistency\train\Abnormal\00004979.png","","weighted_hn14_risk_consistency","train","Abnormal","00004979.png","train\\Abnormal\\00004979.png","True","619357"
"weighted_hn14_risk_consistency\train\Abnormal\00005124.png","","weighted_hn14_risk_consistency","train","Abnormal","00005124.png","train\\Abnormal\\00005124.png","True","709329"
"weighted_hn14_risk_consistency\train\Abnormal\00005126.png","","weighted_hn14_risk_consistency","train","Abnormal","00005126.png","train\\Abnormal\\00005126.png","True","646131"
"weighted_hn14_risk_consistency\train\Abnormal\00005127.png","","weighted_hn14_risk_consistency","train","Abnormal","00005127.png","train\\Abnormal\\00005127.png","True","637245"
"weighted_hn14_risk_consistency\train\Abnormal\00005445.png","","weighted_hn14_risk_consistency","train","Abnormal","00005445.png","train\\Abnormal\\00005445.png","True","583031"
"weighted_hn14_risk_consistency\train\Abnormal\00005457.png","","weighted_hn14_risk_consistency","train","Abnormal","00005457.png","train\\Abnormal\\00005457.png","True","616688"
"weighted_hn14_risk_consistency\train\Abnormal\00005489.png","","weighted_hn14_risk_consistency","train","Abnormal","00005489.png","train\\Abnormal\\00005489.png","True","587903"
"weighted_hn14_risk_consistency\train\Abnormal\00005682.png","","weighted_hn14_risk_consistency","train","Abnormal","00005682.png","train\\Abnormal\\00005682.png","True","804209"
"weighted_hn14_risk_consistency\train\Abnormal\00005697.png","","weighted_hn14_risk_consistency","train","Abnormal","00005697.png","train\\Abnormal\\00005697.png","True","761386"
"weighted_hn14_risk_consistency\train\Abnormal\00005731.png","","weighted_hn14_risk_consistency","train","Abnormal","00005731.png","train\\Abnormal\\00005731.png","True","738694"
"weighted_hn14_risk_consistency\train\Abnormal\00005741.png","","weighted_hn14_risk_consistency","train","Abnormal","00005741.png","train\\Abnormal\\00005741.png","True","613052"
"weighted_hn14_risk_consistency\train\Abnormal\00005756.png","","weighted_hn14_risk_consistency","train","Abnormal","00005756.png","train\\Abnormal\\00005756.png","True","786877"
"weighted_hn14_risk_consistency\train\Abnormal\00005879.png","","weighted_hn14_risk_consistency","train","Abnormal","00005879.png","train\\Abnormal\\00005879.png","True","771881"
"weighted_hn14_risk_consistency\train\Abnormal\00005931.png","","weighted_hn14_risk_consistency","train","Abnormal","00005931.png","train\\Abnormal\\00005931.png","True","709030"
"weighted_hn14_risk_consistency\train\Abnormal\00005986.png","","weighted_hn14_risk_consistency","train","Abnormal","00005986.png","train\\Abnormal\\00005986.png","True","742526"
"weighted_hn14_risk_consistency\train\Abnormal\00006045.png","","weighted_hn14_risk_consistency","train","Abnormal","00006045.png","train\\Abnormal\\00006045.png","True","793418"
"weighted_hn14_risk_consistency\train\Abnormal\00006048.png","","weighted_hn14_risk_consistency","train","Abnormal","00006048.png","train\\Abnormal\\00006048.png","True","773003"
"weighted_hn14_risk_consistency\train\Abnormal\00006099.png","","weighted_hn14_risk_consistency","train","Abnormal","00006099.png","train\\Abnormal\\00006099.png","True","600608"
"weighted_hn14_risk_consistency\train\Abnormal\00006100.png","","weighted_hn14_risk_consistency","train","Abnormal","00006100.png","train\\Abnormal\\00006100.png","True","593931"
"weighted_hn14_risk_consistency\train\Abnormal\00006279.png","","weighted_hn14_risk_consistency","train","Abnormal","00006279.png","train\\Abnormal\\00006279.png","True","600760"
"weighted_hn14_risk_consistency\train\Abnormal\00006299.png","","weighted_hn14_risk_consistency","train","Abnormal","00006299.png","train\\Abnormal\\00006299.png","True","762150"
"weighted_hn14_risk_consistency\train\Abnormal\00006364.png","","weighted_hn14_risk_consistency","train","Abnormal","00006364.png","train\\Abnormal\\00006364.png","True","700676"
"weighted_hn14_risk_consistency\train\Abnormal\00006367.png","","weighted_hn14_risk_consistency","train","Abnormal","00006367.png","train\\Abnormal\\00006367.png","True","537202"
"weighted_hn14_risk_consistency\train\Abnormal\00006468.png","","weighted_hn14_risk_consistency","train","Abnormal","00006468.png","train\\Abnormal\\00006468.png","True","711622"
"weighted_hn14_risk_consistency\train\Abnormal\00006497.png","","weighted_hn14_risk_consistency","train","Abnormal","00006497.png","train\\Abnormal\\00006497.png","True","618251"
"weighted_hn14_risk_consistency\train\Abnormal\00006501.png","","weighted_hn14_risk_consistency","train","Abnormal","00006501.png","train\\Abnormal\\00006501.png","True","637972"
"weighted_hn14_risk_consistency\train\Abnormal\00006520.png","","weighted_hn14_risk_consistency","train","Abnormal","00006520.png","train\\Abnormal\\00006520.png","True","540213"
"weighted_hn14_risk_consistency\train\Abnormal\00006550.png","","weighted_hn14_risk_consistency","train","Abnormal","00006550.png","train\\Abnormal\\00006550.png","True","662450"
"weighted_hn14_risk_consistency\train\Abnormal\00006554.png","","weighted_hn14_risk_consistency","train","Abnormal","00006554.png","train\\Abnormal\\00006554.png","True","520673"
"weighted_hn14_risk_consistency\train\Abnormal\00006616.png","","weighted_hn14_risk_consistency","train","Abnormal","00006616.png","train\\Abnormal\\00006616.png","True","666352"
"weighted_hn14_risk_consistency\train\Abnormal\00006692.png","","weighted_hn14_risk_consistency","train","Abnormal","00006692.png","train\\Abnormal\\00006692.png","True","697771"
"weighted_hn14_risk_consistency\train\Abnormal\00006693.png","","weighted_hn14_risk_consistency","train","Abnormal","00006693.png","train\\Abnormal\\00006693.png","True","658121"
"weighted_hn14_risk_consistency\train\Abnormal\00006722.png","","weighted_hn14_risk_consistency","train","Abnormal","00006722.png","train\\Abnormal\\00006722.png","True","760527"
"weighted_hn14_risk_consistency\train\Abnormal\00006724.png","","weighted_hn14_risk_consistency","train","Abnormal","00006724.png","train\\Abnormal\\00006724.png","True","837699"
"weighted_hn14_risk_consistency\train\Abnormal\00006729.png","","weighted_hn14_risk_consistency","train","Abnormal","00006729.png","train\\Abnormal\\00006729.png","True","890870"
"weighted_hn14_risk_consistency\train\Abnormal\00006822.png","","weighted_hn14_risk_consistency","train","Abnormal","00006822.png","train\\Abnormal\\00006822.png","True","633551"
"weighted_hn14_risk_consistency\train\Abnormal\00006937.png","","weighted_hn14_risk_consistency","train","Abnormal","00006937.png","train\\Abnormal\\00006937.png","True","768771"
"weighted_hn14_risk_consistency\train\Abnormal\00006946.png","","weighted_hn14_risk_consistency","train","Abnormal","00006946.png","train\\Abnormal\\00006946.png","True","505175"
"weighted_hn14_risk_consistency\train\Abnormal\00006966.png","","weighted_hn14_risk_consistency","train","Abnormal","00006966.png","train\\Abnormal\\00006966.png","True","782040"
"weighted_hn14_risk_consistency\train\Abnormal\00007022.png","","weighted_hn14_risk_consistency","train","Abnormal","00007022.png","train\\Abnormal\\00007022.png","True","784882"
"weighted_hn14_risk_consistency\train\Abnormal\00007244.png","","weighted_hn14_risk_consistency","train","Abnormal","00007244.png","train\\Abnormal\\00007244.png","True","790744"
"weighted_hn14_risk_consistency\train\Abnormal\00007246.png","","weighted_hn14_risk_consistency","train","Abnormal","00007246.png","train\\Abnormal\\00007246.png","True","795730"
"weighted_hn14_risk_consistency\train\Abnormal\00007332.png","","weighted_hn14_risk_consistency","train","Abnormal","00007332.png","train\\Abnormal\\00007332.png","True","675888"
"weighted_hn14_risk_consistency\train\Abnormal\00007373.png","","weighted_hn14_risk_consistency","train","Abnormal","00007373.png","train\\Abnormal\\00007373.png","True","814601"
"weighted_hn14_risk_consistency\train\Abnormal\00007560.png","","weighted_hn14_risk_consistency","train","Abnormal","00007560.png","train\\Abnormal\\00007560.png","True","729180"
"weighted_hn14_risk_consistency\train\Abnormal\00007566.png","","weighted_hn14_risk_consistency","train","Abnormal","00007566.png","train\\Abnormal\\00007566.png","True","758805"
"weighted_hn14_risk_consistency\train\Abnormal\00007692.png","","weighted_hn14_risk_consistency","train","Abnormal","00007692.png","train\\Abnormal\\00007692.png","True","629312"
"weighted_hn14_risk_consistency\train\Abnormal\00007695.png","","weighted_hn14_risk_consistency","train","Abnormal","00007695.png","train\\Abnormal\\00007695.png","True","683214"
"weighted_hn14_risk_consistency\train\Abnormal\00007759.png","","weighted_hn14_risk_consistency","train","Abnormal","00007759.png","train\\Abnormal\\00007759.png","True","785613"
"weighted_hn14_risk_consistency\train\Abnormal\00007764.png","","weighted_hn14_risk_consistency","train","Abnormal","00007764.png","train\\Abnormal\\00007764.png","True","744381"
"weighted_hn14_risk_consistency\train\Abnormal\00007765.png","","weighted_hn14_risk_consistency","train","Abnormal","00007765.png","train\\Abnormal\\00007765.png","True","826867"
"weighted_hn14_risk_consistency\train\Abnormal\00007768.png","","weighted_hn14_risk_consistency","train","Abnormal","00007768.png","train\\Abnormal\\00007768.png","True","743499"
"weighted_hn14_risk_consistency\train\Abnormal\00007789.png","","weighted_hn14_risk_consistency","train","Abnormal","00007789.png","train\\Abnormal\\00007789.png","True","706074"
"weighted_hn14_risk_consistency\train\Abnormal\00007877.png","","weighted_hn14_risk_consistency","train","Abnormal","00007877.png","train\\Abnormal\\00007877.png","True","698702"
"weighted_hn14_risk_consistency\train\Abnormal\00007983.png","","weighted_hn14_risk_consistency","train","Abnormal","00007983.png","train\\Abnormal\\00007983.png","True","799059"
"weighted_hn14_risk_consistency\train\Abnormal\00007985.png","","weighted_hn14_risk_consistency","train","Abnormal","00007985.png","train\\Abnormal\\00007985.png","True","781454"
"weighted_hn14_risk_consistency\train\Abnormal\00008014.png","","weighted_hn14_risk_consistency","train","Abnormal","00008014.png","train\\Abnormal\\00008014.png","True","686704"
"weighted_hn14_risk_consistency\train\Abnormal\00008068.png","","weighted_hn14_risk_consistency","train","Abnormal","00008068.png","train\\Abnormal\\00008068.png","True","718177"
"weighted_hn14_risk_consistency\train\Abnormal\00008069.png","","weighted_hn14_risk_consistency","train","Abnormal","00008069.png","train\\Abnormal\\00008069.png","True","719682"
"weighted_hn14_risk_consistency\train\Abnormal\00008149.png","","weighted_hn14_risk_consistency","train","Abnormal","00008149.png","train\\Abnormal\\00008149.png","True","806944"
"weighted_hn14_risk_consistency\train\Abnormal\00008236.png","","weighted_hn14_risk_consistency","train","Abnormal","00008236.png","train\\Abnormal\\00008236.png","True","671862"
"weighted_hn14_risk_consistency\train\Abnormal\00008368.png","","weighted_hn14_risk_consistency","train","Abnormal","00008368.png","train\\Abnormal\\00008368.png","True","712313"
"weighted_hn14_risk_consistency\train\Abnormal\00008444.png","","weighted_hn14_risk_consistency","train","Abnormal","00008444.png","train\\Abnormal\\00008444.png","True","609372"
"weighted_hn14_risk_consistency\train\Abnormal\00008445.png","","weighted_hn14_risk_consistency","train","Abnormal","00008445.png","train\\Abnormal\\00008445.png","True","563142"
"weighted_hn14_risk_consistency\train\Abnormal\00008477.png","","weighted_hn14_risk_consistency","train","Abnormal","00008477.png","train\\Abnormal\\00008477.png","True","703004"
"weighted_hn14_risk_consistency\train\Abnormal\00008512.png","","weighted_hn14_risk_consistency","train","Abnormal","00008512.png","train\\Abnormal\\00008512.png","True","687848"
"weighted_hn14_risk_consistency\train\Abnormal\00008556.png","","weighted_hn14_risk_consistency","train","Abnormal","00008556.png","train\\Abnormal\\00008556.png","True","590773"
"weighted_hn14_risk_consistency\train\Abnormal\00008732.png","","weighted_hn14_risk_consistency","train","Abnormal","00008732.png","train\\Abnormal\\00008732.png","True","704896"
"weighted_hn14_risk_consistency\train\Abnormal\00008775.png","","weighted_hn14_risk_consistency","train","Abnormal","00008775.png","train\\Abnormal\\00008775.png","True","793745"
"weighted_hn14_risk_consistency\train\Abnormal\00008780.png","","weighted_hn14_risk_consistency","train","Abnormal","00008780.png","train\\Abnormal\\00008780.png","True","818926"
"weighted_hn14_risk_consistency\train\Abnormal\00008781.png","","weighted_hn14_risk_consistency","train","Abnormal","00008781.png","train\\Abnormal\\00008781.png","True","809470"
"weighted_hn14_risk_consistency\train\Abnormal\00008794.png","","weighted_hn14_risk_consistency","train","Abnormal","00008794.png","train\\Abnormal\\00008794.png","True","735287"
"weighted_hn14_risk_consistency\train\Abnormal\00009064.png","","weighted_hn14_risk_consistency","train","Abnormal","00009064.png","train\\Abnormal\\00009064.png","True","821401"
"weighted_hn14_risk_consistency\train\Abnormal\00009380.png","","weighted_hn14_risk_consistency","train","Abnormal","00009380.png","train\\Abnormal\\00009380.png","True","672167"
