"view_relative_path","setting","smoke_tag","split","class_name","file_name","source_relative_path_original","source_relative_path_resolved","resolution_mode","source_exists_in_base_dataset"
"weighted_hn14_risk_consistency\train\Abnormal\00006299.png","weighted_hn14_risk_consistency","","train","Abnormal","00006299.png","train\\Abnormal\\00006299.png","train\\Abnormal\\00006299.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00006364.png","weighted_hn14_risk_consistency","","train","Abnormal","00006364.png","train\\Abnormal\\00006364.png","train\\Abnormal\\00006364.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00006367.png","weighted_hn14_risk_consistency","","train","Abnormal","00006367.png","train\\Abnormal\\00006367.png","train\\Abnormal\\00006367.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00006468.png","weighted_hn14_risk_consistency","","train","Abnormal","00006468.png","train\\Abnormal\\00006468.png","train\\Abnormal\\00006468.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00006497.png","weighted_hn14_risk_consistency","","train","Abnormal","00006497.png","train\\Abnormal\\00006497.png","train\\Abnormal\\00006497.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00006501.png","weighted_hn14_risk_consistency","","train","Abnormal","00006501.png","train\\Abnormal\\00006501.png","train\\Abnormal\\00006501.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00006520.png","weighted_hn14_risk_consistency","","train","Abnormal","00006520.png","train\\Abnormal\\00006520.png","train\\Abnormal\\00006520.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00006550.png","weighted_hn14_risk_consistency","","train","Abnormal","00006550.png","train\\Abnormal\\00006550.png","train\\Abnormal\\00006550.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00006554.png","weighted_hn14_risk_consistency","","train","Abnormal","00006554.png","train\\Abnormal\\00006554.png","train\\Abnormal\\00006554.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00006616.png","weighted_hn14_risk_consistency","","train","Abnormal","00006616.png","train\\Abnormal\\00006616.png","train\\Abnormal\\00006616.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00006692.png","weighted_hn14_risk_consistency","","train","Abnormal","00006692.png","train\\Abnormal\\00006692.png","train\\Abnormal\\00006692.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00006693.png","weighted_hn14_risk_consistency","","train","Abnormal","00006693.png","train\\Abnormal\\00006693.png","train\\Abnormal\\00006693.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00006722.png","weighted_hn14_risk_consistency","","train","Abnormal","00006722.png","train\\Abnormal\\00006722.png","train\\Abnormal\\00006722.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00006724.png","weighted_hn14_risk_consistency","","train","Abnormal","00006724.png","train\\Abnormal\\00006724.png","train\\Abnormal\\00006724.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00006729.png","weighted_hn14_risk_consistency","","train","Abnormal","00006729.png","train\\Abnormal\\00006729.png","train\\Abnormal\\00006729.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00006822.png","weighted_hn14_risk_consistency","","train","Abnormal","00006822.png","train\\Abnormal\\00006822.png","train\\Abnormal\\00006822.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00006937.png","weighted_hn14_risk_consistency","","train","Abnormal","00006937.png","train\\Abnormal\\00006937.png","train\\Abnormal\\00006937.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00006946.png","weighted_hn14_risk_consistency","","train","Abnormal","00006946.png","train\\Abnormal\\00006946.png","train\\Abnormal\\00006946.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00006966.png","weighted_hn14_risk_consistency","","train","Abnormal","00006966.png","train\\Abnormal\\00006966.png","train\\Abnormal\\00006966.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00007022.png","weighted_hn14_risk_consistency","","train","Abnormal","00007022.png","train\\Abnormal\\00007022.png","train\\Abnormal\\00007022.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00007244.png","weighted_hn14_risk_consistency","","train","Abnormal","00007244.png","train\\Abnormal\\00007244.png","train\\Abnormal\\00007244.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00007246.png","weighted_hn14_risk_consistency","","train","Abnormal","00007246.png","train\\Abnormal\\00007246.png","train\\Abnormal\\00007246.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00007332.png","weighted_hn14_risk_consistency","","train","Abnormal","00007332.png","train\\Abnormal\\00007332.png","train\\Abnormal\\00007332.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00007373.png","weighted_hn14_risk_consistency","","train","Abnormal","00007373.png","train\\Abnormal\\00007373.png","train\\Abnormal\\00007373.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00007560.png","weighted_hn14_risk_consistency","","train","Abnormal","00007560.png","train\\Abnormal\\00007560.png","train\\Abnormal\\00007560.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00007566.png","weighted_hn14_risk_consistency","","train","Abnormal","00007566.png","train\\Abnormal\\00007566.png","train\\Abnormal\\00007566.png","direct","True"
