image_id,img_rel_path,pool_rank,pool_score_anchor,embedding_index,calibrated_p,tau_anchor_label,tau_anchor_value,tta_side_consistency,tta_logit_variance,R,C,D_raw,D
Normal_00025314,train/Normal/00025314.png,46,0.568359,5466,0.269473,tau_r995,0.28,0.8,0.015314,0.704044,0.552542,0.973649,0.881581
Normal_00143693,train/Normal/00143693.png,47,0.551758,5537,0.469922,tau_r990,0.31,1.0,0.009723,0.00484,0.790596,0.972619,0.869112
Normal_00158209,train/Normal/00158209.png,48,0.537109,5562,0.894282,tau_r990,0.31,1.0,0.508869,0.0,5e-06,0.928069,0.32979
Normal_00340160,train/Normal/00340160.png,49,0.53418,5901,0.488947,tau_r990,0.31,1.0,0.015133,0.002567,0.693705,0.946684,0.555144
Normal_00384016,train/Normal/00384016.png,50,0.53418,6091,0.675412,tau_r990,0.31,1.0,0.098606,5e-06,0.092279,0.976767,0.919335
Normal_00261378,train/Normal/00261378.png,51,0.530762,5590,0.740462,tau_r990,0.31,1.0,0.045415,1e-06,0.333701,0.971234,0.852346
Normal_00314262,train/Normal/00314262.png,52,0.527344,5769,0.266808,tau_r995,0.28,0.6,0.117073,0.644207,0.035435,0.978721,0.942989
Normal_00016807,train/Normal/00016807.png,53,0.524902,5441,0.393612,tau_r990,0.31,1.0,0.050789,0.061601,0.293059,0.96741,0.806051
Normal_00397769,train/Normal/00397769.png,54,0.520508,6119,0.73977,tau_r990,0.31,1.0,0.076347,1e-06,0.158022,0.977832,0.932227
Normal_00491047,train/Normal/00491047.png,55,0.498047,6388,0.5607,tau_r990,0.31,1.0,0.028801,0.000235,0.498569,0.957865,0.690503
Normal_00382971,train/Normal/00382971.png,56,0.487793,6089,0.432729,tau_r990,0.31,1.0,0.005881,0.016723,0.867516,0.929152,0.342908
Normal_00499653,train/Normal/00499653.png,57,0.481445,6415,0.907315,tau_r990,0.31,1.0,0.024427,0.0,0.554156,0.944305,0.526348
Normal_00462787,train/Normal/00462787.png,58,0.474365,6307,0.747693,tau_r990,0.31,1.0,0.171673,0.0,0.015785,0.973982,0.88561
Normal_00428317,train/Normal/00428317.png,59,0.471191,6206,0.423877,tau_r990,0.31,1.0,0.568895,0.022463,1e-06,0.967645,0.808896
Normal_00313867,train/Normal/00313867.png,60,0.462646,5767,0.548107,tau_r990,0.31,1.0,0.097806,0.000357,0.09408,0.965528,0.783267
Normal_00312268,train/Normal/00312268.png,61,0.461182,5757,0.298085,tau_r990,0.31,0.6,1.016486,0.672225,0.0,0.979527,0.952743
Normal_00471490,train/Normal/00471490.png,62,0.45752,6321,0.397417,tau_r990,0.31,0.8,0.216454,0.054264,0.004279,0.978354,0.938541
Normal_00317503,train/Normal/00317503.png,63,0.456299,5789,0.418566,tau_r990,0.31,1.0,0.051336,0.026813,0.289211,0.980251,0.961504
Normal_00018926,train/Normal/00018926.png,64,0.447998,5448,0.490527,tau_r990,0.31,1.0,0.043733,0.002436,0.347544,0.921856,0.254574
Normal_00345686,train/Normal/00345686.png,65,0.446045,5916,0.382012,tau_r990,0.31,0.8,0.127867,0.09068,0.036399,0.971366,0.853944
Normal_00463730,train/Normal/00463730.png,66,0.436279,6312,0.382615,tau_r990,0.31,1.0,0.036877,0.088878,0.410172,0.977027,0.922481
Normal_00321463,train/Normal/00321463.png,67,0.429932,5820,0.596642,tau_r990,0.31,1.0,0.056484,7.1e-05,0.255379,0.974395,0.890612
Normal_00344448,train/Normal/00344448.png,68,0.427979,5914,0.78654,tau_r990,0.31,1.0,0.003691,0.0,0.914665,0.982167,0.984704
Normal_00354695,train/Normal/00354695.png,69,0.425293,5947,0.519491,tau_r990,0.31,1.0,0.198591,0.000927,0.008236,0.981321,0.974461
Normal_00473308,train/Normal/00473308.png,70,0.423584,6331,0.397999,tau_r990,0.31,1.0,0.201874,0.053221,0.007608,0.967984,0.813007
Normal_00399031,train/Normal/00399031.png,71,0.421875,6125,0.341077,tau_r990,0.31,0.8,0.093249,0.354913,0.084026,0.973267,0.876955
Normal_00013447,train/Normal/00013447.png,72,0.419434,5435,0.446633,tau_r990,0.31,1.0,0.031532,0.010521,0.466727,0.97648,0.915857
Normal_00368992,train/Normal/00368992.png,73,0.412109,6017,0.707851,tau_r990,0.31,1.0,0.173271,2e-06,0.015187,0.963607,0.760014
Normal_00479528,train/Normal/00479528.png,74,0.408691,6355,0.817243,tau_r990,0.31,1.0,0.027103,0.0,0.519453,0.969978,0.837139
Normal_00369033,train/Normal/00369033.png,75,0.404785,6019,0.730086,tau_r990,0.31,1.0,0.216088,1e-06,0.005396,0.972923,0.872795
Normal_00341812,train/Normal/00341812.png,76,0.404541,5907,0.290944,tau_r995,0.28,1.0,0.011908,0.694328,0.749933,0.978942,0.945661
Normal_00315400,train/Normal/00315400.png,77,0.401855,5779,0.320928,tau_r990,0.31,0.6,0.041424,0.694704,0.220493,0.963829,0.762706
Normal_00306773,train/Normal/00306773.png,78,0.39624,5749,0.526631,tau_r990,0.31,1.0,0.068928,0.000731,0.189052,0.976366,0.914474
Normal_00038009,train/Normal/00038009.png,79,0.391357,5487,0.500921,tau_r990,0.31,1.0,0.014004,0.001722,0.712893,0.978455,0.939765
Normal_00400764,train/Normal/00400764.png,80,0.387695,6133,0.452835,tau_r990,0.31,1.0,0.00626,0.008556,0.859606,0.982445,0.988064
Normal_00035450,train/Normal/00035450.png,81,0.370361,5479,0.569888,tau_r990,0.31,1.0,0.022327,0.000173,0.583005,0.974368,0.890289
Normal_00277841,train/Normal/00277841.png,82,0.368408,5656,0.484731,tau_r990,0.31,1.0,0.007956,0.002955,0.825087,0.967531,0.807513
Normal_00481075,train/Normal/00481075.png,83,0.366211,6362,0.422205,tau_r990,0.31,0.8,0.058296,0.023751,0.19555,0.968682,0.821447
Normal_00350271,train/Normal/00350271.png,84,0.365479,5932,0.444195,tau_r990,0.31,1.0,0.066261,0.011411,0.201638,0.967823,0.811056
Normal_00006200,train/Normal/00006200.png,85,0.362793,5423,0.568234,tau_r990,0.31,1.0,0.002473,0.000183,0.941988,0.970939,0.848779
Normal_00402029,train/Normal/00402029.png,86,0.361328,6136,0.388889,tau_r990,0.31,1.0,0.264598,0.072105,0.001671,0.977062,0.922895
Normal_00348805,train/Normal/00348805.png,87,0.360596,5924,0.589628,tau_r990,0.31,1.0,0.032018,9e-05,0.461278,0.980698,0.966914
Normal_00374379,train/Normal/00374379.png,88,0.360596,6052,0.43025,tau_r990,0.31,0.8,0.140253,0.018163,0.026983,0.977988,0.934116
Normal_00444328,train/Normal/00444328.png,89,0.360352,6239,0.39273,tau_r990,0.31,0.8,0.111942,0.063439,0.053484,0.974601,0.893106
Normal_00153734,train/Normal/00153734.png,90,0.359375,5556,0.600112,tau_r990,0.31,1.0,0.21345,6.3e-05,0.005752,0.970852,0.847728
Normal_00314982,train/Normal/00314982.png,91,0.35791,5775,0.397417,tau_r990,0.31,1.0,0.028183,0.054264,0.506071,0.966109,0.790306
Normal_00001524,train/Normal/00001524.png,92,0.357178,5408,0.446092,tau_r990,0.31,0.8,0.252162,0.010712,0.001805,0.961347,0.732658
Normal_00132693,train/Normal/00132693.png,93,0.357178,5506,0.511712,tau_r990,0.31,1.0,0.009479,0.001202,0.795271,0.970423,0.842531
Normal_00477476,train/Normal/00477476.png,94,0.355957,6344,0.330821,tau_r990,0.31,0.4,0.005082,0.49955,0.353772,0.970702,0.845912
Normal_00383285,train/Normal/00383285.png,95,0.350586,6090,0.561655,tau_r990,0.31,1.0,0.011334,0.000227,0.760408,0.976387,0.914727
Normal_00039977,train/Normal/00039977.png,96,0.348877,5492,0.275998,tau_r995,0.28,0.6,0.021321,0.875104,0.358411,0.979492,0.952316
Normal_00285297,train/Normal/00285297.png,97,0.345459,5682,0.209208,tau_r995,0.28,1.0,0.107463,0.094446,0.074498,0.959789,0.713791
Normal_00498029,train/Normal/00498029.png,98,0.344727,6413,0.207995,tau_r995,0.28,1.0,0.009316,0.090703,0.79841,0.96995,0.836801
Normal_00399106,train/Normal/00399106.png,99,0.343994,6126,0.318039,tau_r990,0.31,1.0,0.018963,0.764945,0.63238,0.976536,0.916535
Normal_00491113,train/Normal/00491113.png,100,0.34082,6389,0.639321,tau_r990,0.31,1.0,0.144141,1.7e-05,0.030704,0.962219,0.743217
Normal_00380312,train/Normal/00380312.png,101,0.3396,6082,0.771987,tau_r990,0.31,1.0,0.334185,0.0,0.000311,0.973602,0.881019
Normal_00509588,train/Normal/00509588.png,102,0.337891,6434,0.464073,tau_r990,0.31,0.8,0.126373,0.005883,0.037737,0.927421,0.32195
Normal_00137177,train/Normal/00137177.png,103,0.335693,5513,0.410088,tau_r990,0.31,1.0,0.035794,0.03557,0.421048,0.975682,0.906193
Normal_00421255,train/Normal/00421255.png,104,0.329834,6197,0.566035,tau_r990,0.31,1.0,0.064916,0.000197,0.2083,0.976586,0.917138
Normal_00436092,train/Normal/00436092.png,105,0.32373,6218,0.907414,tau_r990,0.31,1.0,0.097321,0.0,0.09519,0.9734,0.87857
Normal_00312330,train/Normal/00312330.png,106,0.323486,5758,0.323076,tau_r990,0.31,1.0,0.003995,0.646698,0.90797,0.975794,0.907548
Normal_00405592,train/Normal/00405592.png,107,0.323486,6146,0.395957,tau_r990,0.31,1.0,0.012488,0.05697,0.739495,0.966411,0.793964
Normal_00341239,train/Normal/00341239.png,108,0.32251,5904,0.355236,tau_r990,0.31,0.8,0.029048,0.221382,0.396482,0.973496,0.879735
Normal_00391827,train/Normal/00391827.png,109,0.317139,6100,0.420248,tau_r990,0.31,1.0,0.016901,0.025351,0.66469,0.969189,0.827587
Normal_00029682,train/Normal/00029682.png,110,0.316895,5474,0.713012,tau_r990,0.31,1.0,0.169718,1e-06,0.016549,0.970127,0.838944
Normal_00288624,train/Normal/00288624.png,111,0.313965,5691,0.661371,tau_r990,0.31,1.0,0.096865,8e-06,0.096244,0.97767,0.930267
Normal_00306064,train/Normal/00306064.png,112,0.312744,5746,0.408663,tau_r990,0.31,1.0,0.082113,0.0373,0.137468,0.97429,0.889345
Normal_00279179,train/Normal/00279179.png,113,0.309814,5660,0.232371,tau_r995,0.28,1.0,0.001381,0.204411,0.967177,0.974265,0.889037
Normal_00387104,train/Normal/00387104.png,114,0.307129,6093,0.406088,tau_r990,0.31,1.0,0.167475,0.040642,0.01747,0.965276,0.780224
Normal_00159576,train/Normal/00159576.png,115,0.303223,5565,0.406088,tau_r990,0.31,1.0,0.010015,0.040642,0.785036,0.973454,0.879226
Normal_00276363,train/Normal/00276363.png,116,0.30127,5652,0.422762,tau_r990,0.31,1.0,0.022597,0.023313,0.579213,0.97275,0.870698
Normal_00503763,train/Normal/00503763.png,117,0.298584,6422,0.522001,tau_r990,0.31,1.0,0.002549,0.000853,0.940259,0.97738,0.926747
Normal_00308456,train/Normal/00308456.png,118,0.296143,5752,0.26046,tau_r995,0.28,0.8,0.11571,0.521354,0.048829,0.97361,0.881113
Normal_00315540,train/Normal/00315540.png,119,0.296143,5780,0.365102,tau_r990,0.31,1.0,0.009536,0.159337,0.794177,0.957331,0.684043
Normal_00278336,train/Normal/00278336.png,120,0.294922,5659,0.671534,tau_r990,0.31,1.0,0.003573,6e-06,0.917277,0.976735,0.918947
Normal_00002861,train/Normal/00002861.png,121,0.292969,5415,0.444737,tau_r990,0.31,1.0,0.008662,0.011207,0.811129,0.938128,0.451568
Normal_00417012,train/Normal/00417012.png,122,0.291748,6192,0.375944,tau_r990,0.31,1.0,0.111423,0.111011,0.067699,0.977467,0.927799
Normal_00018652,train/Normal/00018652.png,123,0.289795,5447,0.386211,tau_r990,0.31,1.0,0.055097,0.078839,0.264084,0.954212,0.646283
Normal_00342738,train/Normal/00342738.png,124,0.289062,5909,0.343756,tau_r990,0.31,1.0,0.114958,0.324583,0.062156,0.975979,0.909785
Normal_00464987,train/Normal/00464987.png,125,0.286621,6313,0.426378,tau_r990,0.31,1.0,0.004246,0.020666,0.902479,0.954929,0.654965
Normal_00360211,train/Normal/00360211.png,126,0.28418,5970,0.355236,tau_r990,0.31,1.0,0.010162,0.221382,0.782253,0.962978,0.7524
Normal_00163562,train/Normal/00163562.png,127,0.283691,5572,0.366669,tau_r990,0.31,0.8,0.019315,0.151227,0.501619,0.954682,0.651966
Normal_00415827,train/Normal/00415827.png,128,0.283203,6188,0.426655,tau_r990,0.31,0.8,0.055644,0.020476,0.208493,0.972544,0.868206
Normal_00315086,train/Normal/00315086.png,129,0.280273,5777,0.365102,tau_r990,0.31,1.0,0.009801,0.159337,0.789107,0.983431,1.0
Normal_00462155,train/Normal/00462155.png,130,0.280029,6304,0.408663,tau_r990,0.31,1.0,0.00676,0.0373,0.849282,0.975372,0.902439
Normal_00278211,train/Normal/00278211.png,131,0.279053,5657,0.381711,tau_r990,0.31,1.0,0.031012,0.091596,0.472629,0.966588,0.796107
Normal_00032145,train/Normal/00032145.png,132,0.2771,5477,0.425823,tau_r990,0.31,0.8,0.073114,0.021052,0.136691,0.96727,0.804355
Normal_00431168,train/Normal/00431168.png,133,0.275146,6214,0.701231,tau_r990,0.31,1.0,0.037557,2e-06,0.403486,0.947871,0.569517
Normal_00480646,train/Normal/00480646.png,134,0.275146,6360,0.317312,tau_r990,0.31,0.8,0.068827,0.783708,0.151611,0.961998,0.740538
Normal_00414877,train/Normal/00414877.png,135,0.274902,6181,0.545151,tau_r990,0.31,1.0,0.053386,0.000394,0.275232,0.967734,0.809976
Normal_00457555,train/Normal/00457555.png,136,0.274414,6285,0.705063,tau_r990,0.31,1.0,0.002168,2e-06,0.948956,0.97007,0.838255
Normal_00423666,train/Normal/00423666.png,137,0.265869,6200,0.598953,tau_r990,0.31,1.0,0.065897,6.6e-05,0.20342,0.978458,0.939804
Normal_00298702,train/Normal/00298702.png,138,0.265137,5732,0.458466,tau_r990,0.31,1.0,0.026421,0.007091,0.528086,0.96183,0.738499
Normal_00429058,train/Normal/00429058.png,139,0.259521,6209,0.805893,tau_r990,0.31,1.0,0.106874,0.0,0.075566,0.973445,0.879116
Normal_00444256,train/Normal/00444256.png,140,0.259521,6238,0.680152,tau_r990,0.31,1.0,0.187195,4e-06,0.010848,0.980008,0.958561
Normal_00387838,train/Normal/00387838.png,141,0.257568,6094,0.664095,tau_r990,0.31,1.0,0.025799,7e-06,0.536083,0.978609,0.941631
Normal_00324327,train/Normal/00324327.png,142,0.256836,5836,0.51079,tau_r990,0.31,1.0,0.020681,0.00124,0.606663,0.965407,0.781807
Normal_00416011,train/Normal/00416011.png,143,0.256836,6190,0.741737,tau_r990,0.31,1.0,0.091162,1e-06,0.110466,0.979738,0.955301
Normal_00002449,train/Normal/00002449.png,144,0.252197,5414,0.335649,tau_r990,0.31,1.0,0.004245,0.425299,0.902501,0.966448,0.794403
Normal_00486991,train/Normal/00486991.png,145,0.24585,6377,0.486312,tau_r990,0.31,1.0,0.024856,0.002803,0.54844,0.980128,0.960022
Normal_00446817,train/Normal/00446817.png,146,0.245239,6249,0.337355,tau_r990,0.31,0.8,0.064741,0.401787,0.167346,0.975448,0.903363
Normal_00344240,train/Normal/00344240.png,147,0.245117,5912,0.755562,tau_r990,0.31,1.0,0.222585,0.0,0.004612,0.974203,0.888295
Normal_00394189,train/Normal/00394189.png,148,0.244995,6109,0.710671,tau_r990,0.31,1.0,0.01427,2e-06,0.708325,0.917351,0.200044
Normal_00027237,train/Normal/00027237.png,149,0.241455,5470,0.649473,tau_r990,0.31,1.0,0.008988,1.2e-05,0.804764,0.976463,0.915655
Normal_00482040,train/Normal/00482040.png,150,0.241089,6364,0.362265,tau_r990,0.31,1.0,0.117412,0.175142,0.058577,0.981385,0.975231
Normal_00020509,train/Normal/00020509.png,151,0.237549,5450,0.374413,tau_r990,0.31,1.0,0.01496,0.116824,0.696612,0.974342,0.889974
Normal_00488176,train/Normal/00488176.png,152,0.235718,6383,0.247157,tau_r995,0.28,0.6,0.05767,0.334618,0.148898,0.973932,0.885004
Normal_00399982,train/Normal/00399982.png,153,0.233154,6130,0.669439,tau_r990,0.31,1.0,0.051011,6e-06,0.291491,0.965912,0.787914
Normal_00027337,train/Normal/00027337.png,154,0.231934,5472,0.352646,tau_r990,0.31,0.6,0.039653,0.241347,0.230135,0.968592,0.820362
Normal_00439640,train/Normal/00439640.png,155,0.231445,6228,0.30465,tau_r990,0.31,0.8,0.004966,0.836654,0.709529,0.939802,0.47183
Normal_00484751,train/Normal/00484751.png,156,0.230347,6368,0.70378,tau_r990,0.31,1.0,0.024367,2e-06,0.55496,0.978279,0.937632
Normal_00322236,train/Normal/00322236.png,157,0.230103,5825,0.263204,tau_r995,0.28,0.8,1.886475,0.571279,0.0,0.969894,0.836129
Normal_00491599,train/Normal/00491599.png,158,0.225342,6390,0.740867,tau_r990,0.31,1.0,0.077246,1e-06,0.154626,0.981922,0.981739
Normal_00133710,train/Normal/00133710.png,159,0.222656,5507,0.318401,tau_r990,0.31,0.4,0.040004,0.75575,0.152127,0.967355,0.805383
Normal_00513364,train/Normal/00513364.png,160,0.222046,6447,0.755375,tau_r990,0.31,1.0,0.335057,0.0,0.000304,0.979796,0.955997
Normal_00005623,train/Normal/00005623.png,161,0.216919,5422,0.309186,tau_r990,0.31,0.4,0.006505,0.973244,0.341813,0.946002,0.546892
Normal_00335773,train/Normal/00335773.png,162,0.216309,5889,0.239651,tau_r995,0.28,0.8,0.250132,0.260548,0.001896,0.96871,0.821793
Normal_00497776,train/Normal/00497776.png,163,0.21582,6412,0.396833,tau_r990,0.31,1.0,0.628121,0.05533,0.0,0.975923,0.909109
Normal_00136785,train/Normal/00136785.png,164,0.215576,5512,0.473369,tau_r990,0.31,1.0,0.032095,0.004315,0.46042,0.98158,0.977592
Normal_00147703,train/Normal/00147703.png,165,0.213989,5543,0.604043,tau_r990,0.31,1.0,0.034848,5.5e-05,0.430785,0.978554,0.940958
Normal_00267490,train/Normal/00267490.png,166,0.210083,5617,0.396249,tau_r990,0.31,1.0,0.022688,0.056418,0.577941,0.962629,0.748179
Normal_00315548,train/Normal/00315548.png,167,0.209717,5781,0.346415,tau_r990,0.31,1.0,0.662029,0.297059,0.0,0.960148,0.71814
Normal_00335278,train/Normal/00335278.png,168,0.208618,5883,0.505788,tau_r990,0.31,1.0,0.001586,0.001464,0.962398,0.949926,0.594393
Normal_00422423,train/Normal/00422423.png,169,0.205566,6199,0.263204,tau_r995,0.28,0.4,0.689648,0.571279,0.0,0.971055,0.850181
Normal_00320863,train/Normal/00320863.png,170,0.204712,5817,0.702502,tau_r990,0.31,1.0,0.003274,2e-06,0.923929,0.969923,0.836474
Normal_00140153,train/Normal/00140153.png,171,0.20166,5520,0.329428,tau_r990,0.31,0.6,0.160324,0.523299,0.01246,0.939321,0.466009
Normal_00162245,train/Normal/00162245.png,172,0.200928,5571,0.328028,tau_r990,0.31,1.0,0.01026,0.548296,0.780402,0.976418,0.915103
Normal_00159087,train/Normal/00159087.png,173,0.199219,5563,0.326622,tau_r990,0.31,0.6,0.013813,0.574612,0.429715,0.976242,0.91297
Normal_00375408,train/Normal/00375408.png,174,0.195679,6059,0.369474,tau_r990,0.31,0.8,0.071339,0.137727,0.142681,0.927597,0.324073
Normal_00038559,train/Normal/00038559.png,175,0.19397,5489,0.369164,tau_r990,0.31,1.0,0.001932,0.139161,0.954384,0.97147,0.855198
Normal_00415416,train/Normal/00415416.png,176,0.192993,6186,0.414907,tau_r990,0.31,1.0,0.20341,0.030291,0.007331,0.979309,0.950103
Normal_00401374,train/Normal/00401374.png,177,0.191284,6134,0.387403,tau_r990,0.31,1.0,0.111808,0.075767,0.067072,0.964588,0.77189
Normal_00015075,train/Normal/00015075.png,178,0.183838,5436,0.692035,tau_r990,0.31,1.0,0.032652,3e-06,0.454264,0.980713,0.967102
Normal_00313509,train/Normal/00313509.png,179,0.183838,5763,0.386807,tau_r990,0.31,1.0,0.051508,0.077286,0.288011,0.981837,0.980712
Normal_00396948,train/Normal/00396948.png,180,0.183838,6117,0.319487,tau_r990,0.31,1.0,0.008242,0.72889,0.819404,0.959662,0.71226
Normal_00444253,train/Normal/00444253.png,181,0.181885,6236,0.442295,tau_r990,0.31,1.0,0.024221,0.012157,0.556921,0.982029,0.983026
Normal_00351117,train/Normal/00351117.png,182,0.175781,5938,0.364473,tau_r990,0.31,0.8,0.032913,0.162711,0.361126,0.940877,0.484849
Normal_00022206,train/Normal/00022206.png,183,0.174438,5454,0.431353,tau_r990,0.31,1.0,0.065405,0.017508,0.205853,0.958507,0.698275
Normal_00491918,train/Normal/00491918.png,184,0.172852,6391,0.274276,tau_r995,0.28,0.6,0.021655,0.826299,0.35553,0.952528,0.625892
Normal_00337016,train/Normal/00337016.png,185,0.172607,5892,0.300421,tau_r990,0.31,1.0,3e-06,0.726661,0.999928,0.913611,0.154767
Normal_00168417,train/Normal/00168417.png,186,0.172119,5579,0.655327,tau_r990,0.31,1.0,0.044768,1e-05,0.338959,0.977553,0.928851
Normal_00437039,train/Normal/00437039.png,187,0.170776,6222,0.331862,tau_r990,0.31,1.0,0.017861,0.482516,0.649447,0.957924,0.691215
