finding_id,severity,title,expert_locations,impact,impact_supplied,expert_evidence,expert_evidence_supplied,expert_required_fix,source_json,source_line,v3_status,v3_source_refs,local_reproduction,observed_result,remaining_risk,required_action
H-04,High,缺少 current prediction 时，reducibility 静默退化为历史 slow-learning proxy,src/stage1_replay/features/learnability.py:103-107; src/stage1_replay/cli.py:350,“当前尚未学会但 OOF 可学”的估计量变成完全不同的历史特征，却仍进入同名 learnability score。,true,NOT_SUPPLIED_IN_EXPERT_JSON,false,current-state 方法必须缺输入即 hard-fail；historical proxy 用独立方法名/arm，不得共享主标签。验证 checkpoint、epoch、seed、split、preprocess provenance。,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/source_evidence_v1/Stage1_BudgetedReplay_v1.0.0_Findings.json,154,CONFIRMED_ABSENT,stage1_dynamic_replay_v3/controller.py:42-57;stage1_dynamic_replay_v3/controller.py:133-156,tests/stage1_dynamic_replay_v3/test_controller.py:43-67,RHO is computed explicitly from current CE minus OOF CE and missing current state cannot silently become slow-learning.,The OOF reference is still an adaptation rather than an irreducible-loss-model replication.,Keep the method name OOF-RHO-inspired and hard-fail on missing provenance.
H-05,High,embedding/alignment 产物缺少充分 provenance,embedding NPZ/feature extraction pipeline,train 与 critical embedding 可能来自不同 checkpoint、层、预处理或类别索引，alignment 数值仍可计算但失去含义。,true,NOT_SUPPLIED_IN_EXPERT_JSON,false,sidecar 必须记录 checkpoint SHA、model signature、layer path、imgsz、normalization、class mapping、code/version hash；加载时强校验一致。,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/source_evidence_v1/Stage1_BudgetedReplay_v1.0.0_Findings.json,165,NOT_APPLICABLE_CAPABILITY_ABSENT,stage1_dynamic_replay_v3/matrix.py:30-31;stage1_dynamic_replay_v3/matrix.py:127-128,STATIC_CAPABILITY_AUDIT_20260809,No embedding or alignment artifact is generated by current v3.,Future A and D artifacts would be unsafe without checkpoint layer preprocessing and class-map identity.,Define a provenance sidecar before implementing embeddings or last-layer alignment.
H-06,High,文献标题和方法归属存在错误或过度等同,docs/METHODS_AND_LITERATURE.md:63-89,USEFUL 标题写错；全轨迹/PCA/embedding 聚类、全局 replay 与原始 USEFUL/RHO-LOSS/CLD 并非同一算法。论文中若写成复现会构成方法陈述错误。,true,NOT_SUPPLIED_IN_EXPERT_JSON,false,修正 USEFUL 正式标题；统一标注 Budgeted-USEFUL adaptation、OOF-RHO-inspired proxy、FN95-Critical-CLD adaptation，并逐项列出与原方法差异。,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/source_evidence_v1/Stage1_BudgetedReplay_v1.0.0_Findings.json,175,CONFIRMED_ABSENT,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/02_literature/FULL_TEXT_EVIDENCE_NOTES/P009_RHO_LOSS_2022.md:103-134;stage1_dynamic_replay_v3/matrix.py:52-57,STATIC_NAMING_AUDIT_20260809,Current notes state the transfer boundary and the code calls the method OOF_RHO_ADAPTIVE rather than a paper replication.,A formal method registry for future Q A D components is still needed.,Record REPLICATION versus INSPIRED_ADAPTATION versus MECHANISM_ONLY in every arm contract.
H-07,High,head-gradient alignment 只能解释局部一阶方向，不能称完整样本影响力,src/stage1_replay/dynamics/critical.py:126-160; src/stage1_replay/features/alignment.py:180-208,只使用分类头梯度，忽略 backbone 参数、优化器状态和非线性后续路径。,true,NOT_SUPPLIED_IN_EXPERT_JSON,false,命名为 last-layer local alignment diagnostic；使用独立 val_target、同一 checkpoint；加入 anti-alignment、gradient-norm 和 random controls。,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/source_evidence_v1/Stage1_BudgetedReplay_v1.0.0_Findings.json,185,NOT_APPLICABLE_CAPABILITY_ABSENT,stage1_dynamic_replay_v3/matrix.py:30-31;stage1_dynamic_replay_v3/matrix.py:127-128,STATIC_CAPABILITY_AUDIT_20260809,Current v3 does not compute or claim full influence or head-gradient alignment.,Target direction remains untested.,Name future head-gradient work last-layer local alignment diagnostic and include norm anti-alignment and random controls.
H-08,High,校准与排名评估语义未完全分离,calibration/eval modules,temperature/正斜率 Platt 保持排序，但 isotonic 会制造 ties 并可能改变 oracle ranking metric；不同模块默认值又不一致。,true,NOT_SUPPLIED_IN_EXPERT_JSON,false,排名型开发指标默认用 raw score；部署阈值用预注册 calibrator；isotonic 单独做敏感性分析并报告 tie 数。,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/source_evidence_v1/Stage1_BudgetedReplay_v1.0.0_Findings.json,196,PARTIALLY_MITIGATED,stage1_dynamic_replay_v3/evaluation.py:101-165;stage1_dynamic_replay_v3/evaluation.py:182-235,tests/stage1_dynamic_replay_v3/test_evaluation.py:19-29,Development frontiers use raw p_defect and prediction identities are bound.,Calibration fitting deployment thresholds and final evaluation roles are not a complete released pipeline.,Keep ranking on raw score and implement calibration as a separately frozen deployment stage.
H-09,High,3 seed 与多重比较不足以支持“稳压”确认性结论,"statistics.py, stats/*, matrix configs",3 个独立 seed 的 bootstrap 区间表面精细但独立重复极少；大量方法×预算×对照×终点会产生 winner's curse。,true,NOT_SUPPLIED_IN_EXPERT_JSON,false,3 seed 仅作筛选；预注册 primary endpoint/decision rule；短名单用更多独立 seed（资源允许时建议约 10，属于设计建议而非定理）；seed/triad 级 paired randomization、Holm/同时校正、leave-one-seed-out、worst-seed、双对照安全胜率。,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/source_evidence_v1/Stage1_BudgetedReplay_v1.0.0_Findings.json,206,PARTIALLY_MITIGATED,stage1_dynamic_replay_v3/seeds.py:50-55;artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/02_literature/GOAL_EXECUTION_CONTRACT_500_300_100_v2.md:259-266,STATIC_PROTOCOL_AUDIT_20260809,The registry reserves 10 discovery 10 ablation and 14 unseen seeds and the goal names paired seed outcomes.,No executable paired randomization multiplicity or frozen promotion rule exists yet.,Pre-register one primary decision rule and implement paired seed-level inference before final matrix generation.
H-10,High,CCTV 连续帧泄漏审计不足,src/stage1_replay/data/leakage.py:12-43,只检查 sample_id/path/duplicate_group；同一视频、管段、拍摄任务或重命名近重复帧仍可跨 train/validation/test。,true,NOT_SUPPLIED_IN_EXPERT_JSON,false,先按 video_id/pipe_id/source_session 分组切分；加入 file SHA、pHash/embedding 近重复跨角色审计。,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/source_evidence_v1/Stage1_BudgetedReplay_v1.0.0_Findings.json,216,CONFIRMED_PRESENT,stage1_dynamic_replay_v3/asset_identity.py:57-82;stage1_dynamic_replay_v3/asset_identity.py:123-128,STATIC_SCHEMA_AUDIT_20260809,Identity binds path label bytes and file SHA but has no video pipe session pHash or embedding-neighbor grouping.,Adjacent or transformed CCTV frames can leak across data roles.,Build group-disjoint role manifests and cross-role exact plus perceptual duplicate audits.
H-11,High,B600/B3000/B6000 默认语义是每 epoch 追加槽位，不是整个 run 总预算,configs/project_learnability.example.yaml:116-119; src/stage1_replay/selection/schedule.py:119-170,"B3000×200 epochs = 600,000 额外逻辑曝光，可能与历史协议中的“回流 3000 张/次”语义不一致。",true,NOT_SUPPLIED_IN_EXPERT_JSON,false,与历史协议逐字核对；字段改名 replay_slots_per_epoch；同时报告 per-epoch budget、unique count、repeat distribution、cumulative exposures。,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/source_evidence_v1/Stage1_BudgetedReplay_v1.0.0_Findings.json,226,PARTIALLY_MITIGATED,stage1_dynamic_replay_v3/controller.py:140-165;stage1_dynamic_replay_v3/trajectory.py:183-188,tests/stage1_dynamic_replay_v3/test_training_runtime.py:45-65,v3 names cap_fraction and records actual per-epoch replay occurrences rather than relying only on B labels.,The final report contract for cumulative exposures unique IDs repeat distribution and optimizer steps is incomplete.,Freeze denominator and report all per-epoch and cumulative budget quantities for every arm.
H-12,High,示例矩阵数量与冻结 240-run 协议不一致,configs/project_learnability.example.yaml; study config/matrix builder,当前配置生成 63 triads/189 arms 或 99 triads/297 arms，不是 80 triads/240 arms。,true,NOT_SUPPLIED_IN_EXPERT_JSON,false,提供唯一 frozen_240run.yaml；prepare 阶段 assert triads=80、arms=240，并输出不可变 matrix SHA。,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/source_evidence_v1/Stage1_BudgetedReplay_v1.0.0_Findings.json,237,CONFIRMED_PRESENT,stage1_dynamic_replay_v3/matrix.py:120-128,local_v3_p0_20260809/V3_P0_REPRODUCTION.json:p0_07_matrix,Current v3 deliberately validates 236 runs rather than reproducing the older 240-run matrix.,The 236-run matrix is now superseded too and cannot be called the final formal matrix.,Generate a new uniquely versioned matrix only after the final scientific contract is frozen.
H-13,High,所谓 dynamic replay 目前主要是离线 snapshot schedule,src/stage1_replay/selection/schedule.py:173-215,训练中没有原生 current-run inference→rescore→refresh 闭环；不能对外宣称在线动态自适应。,true,NOT_SUPPLIED_IN_EXPERT_JSON,false,准确命名 offline staged replay；若研究真正 state-dependent value，增加在线刷新器并严格固定刷新计算/曝光预算。,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/source_evidence_v1/Stage1_BudgetedReplay_v1.0.0_Findings.json,248,CONFIRMED_ABSENT,stage1_dynamic_replay_v3/runtime_controller.py:198-255,tests/stage1_dynamic_replay_v3/test_runtime_controller.py:26-52,The current controller creates epoch t replay only after completing epoch t-1 and stores causal state.,Online decisions currently implement only RHO current-loss random and no-replay.,Preserve one-epoch causality while adding Q A D as separately testable mechanisms.
H-14,High,T/R1/R2 默认允许样本重叠，且 matched control 匹配不完整,configs/project_learnability.example.yaml:121-127,重叠会降低 treatment contrast；repeat histogram 主要全局匹配，不保证在 source/cluster/score strata 内匹配。,true,NOT_SUPPLIED_IN_EXPERT_JSON,false,报告 T-R1/T-R2 Jaccard；主分析预注册是否允许重叠；增加 disjoint sensitivity；在关键 strata 内匹配 repeat allocation。,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/source_evidence_v1/Stage1_BudgetedReplay_v1.0.0_Findings.json,258,CONFIRMED_PRESENT,stage1_dynamic_replay_v3/controller.py:199-228;stage1_dynamic_replay_v3/matrix.py:68-88,tests/stage1_dynamic_replay_v3/test_controller.py:90-106,Random is only count-matched global normal sampling and overlap is allowed and counted; no method-matched R2 exists.,T versus random gains can reflect candidate-pool class source or difficulty differences.,Add R2 matching and an explicit overlap policy plus disjoint sensitivity analysis.
H-15,High,大量阈值和组合权重是未经验证的研究超参数,method configs and scorer/gate modules,n_clusters=2、PCA=16、95% gate、0.20 consistency、composite weights、caps、epsilon、Goldilocks windows 都可能在同一开发集上过拟合。,true,NOT_SUPPLIED_IN_EXPERT_JSON,false,先做组件 factorial/消融；超参数只能在独立 development/nested split 上确定；最终 test 不参与。,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/source_evidence_v1/Stage1_BudgetedReplay_v1.0.0_Findings.json,268,CONFIRMED_PRESENT,stage1_dynamic_replay_v3/matrix.py:10-11;stage1_dynamic_replay_v3/controller.py:133-160,STATIC_PROTOCOL_AUDIT_20260809,No arbitrary weighted score is used but cap levels envelope and FN fraction are fixed research hyperparameters without completed evidence justification.,A winner can still be selected through unregistered threshold searching.,Justify each level from literature or prior data and isolate it in preregistered ablations.
H-16,High,物理重复是否产生预期的独立增强/顺序，在真实 Ultralytics+cache+DDP 下未验证,training adapter/integration,逻辑 manifest 正确不代表每次重复都经历独立 augmentation，也不代表每 rank 实际次数匹配。,true,NOT_SUPPLIED_IN_EXPERT_JSON,false,集成测试记录每次 sample fetch、augmentation seed/hash、rank/batch/epoch；比较 physical replay 与 weighted loss 的实际梯度/曝光。,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/source_evidence_v1/Stage1_BudgetedReplay_v1.0.0_Findings.json,278,PARTIALLY_MITIGATED,stage1_dynamic_replay_v3/dynamic_dataset.py:63-84;stage1_dynamic_replay_v3/trajectory.py:89-169;stage1_dynamic_replay_v3/ultralytics_overlay.py:234-403,tests/stage1_dynamic_replay_v3/test_dynamic_dataset.py:44-44;tests/stage1_dynamic_replay_v3/test_trajectory.py:28-47,v3 binds draw identity and deterministic augmentation seed to actual batches and records optimizer-visible occurrences.,No owner real-GPU canary has validated Ultralytics cache workers throughput OOM and resume behavior end to end.,Run authorized local and ten-machine canaries only after the scientific matrix is replaced and full tests pass.
M-01,Moderate,缺失特征可能被填成 0，伪装成低风险/易样本,src/stage1_replay/features/common.py,NOT_SUPPLIED_IN_EXPERT_JSON,false,NOT_SUPPLIED_IN_EXPERT_JSON,false,保留 NA；添加 missingness flags；关键 score 输入缺失时 hard-fail 或显式独立 stratum。,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/source_evidence_v1/Stage1_BudgetedReplay_v1.0.0_Findings.json,288,CONFIRMED_ABSENT,stage1_dynamic_replay_v3/controller.py:15-25;stage1_dynamic_replay_v3/controller.py:42-57,tests/stage1_dynamic_replay_v3/test_controller.py:43-67,Non-finite probabilities fail and current plus OOF values are mandatory; no missing value is filled with zero in the active RHO path.,Future Q A D feature tables still need explicit missingness contracts.,For every new feature hard-fail or use a named missing stratum and never silent zero imputation.
M-02,Moderate,quantile gate 在大量 ties 时可能排除比例远超预期,selection/gates.py and reliability gates,NOT_SUPPLIED_IN_EXPERT_JSON,false,NOT_SUPPLIED_IN_EXPERT_JSON,false,使用稳定 rank/明确 tie policy，并记录实际保留率。,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/source_evidence_v1/Stage1_BudgetedReplay_v1.0.0_Findings.json,297,CONFIRMED_ABSENT,stage1_dynamic_replay_v3/controller.py:85-104;stage1_dynamic_replay_v3/controller.py:154-160,tests/stage1_dynamic_replay_v3/test_controller.py:26-32,Threshold ties actual below count and stable ranking tie breaks are explicit.,Future quantile-based Q gates may reintroduce tie ambiguity.,Reuse stable rank and publish realized retention for every future gate.
M-03,Moderate,cluster_quota_select 在 caps 后不保证最终 quota,src/stage1_replay/selection/diversity.py:50-115,NOT_SUPPLIED_IN_EXPERT_JSON,false,equal quota 预期 A2/B2，最终得到 A1/B3。,true,caps 与 quota 联合求解，或 caps 后按簇补齐并强制审计最终 quota。,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/source_evidence_v1/Stage1_BudgetedReplay_v1.0.0_Findings.json,306,NOT_APPLICABLE_CAPABILITY_ABSENT,stage1_dynamic_replay_v3/matrix.py:52-109,STATIC_CAPABILITY_AUDIT_20260809,Current v3 has no cluster quota selector.,Diversity selection has not been implemented.,Specify quota and cap feasibility plus fill behavior before adding a D arm.
M-04,Moderate,RunLock 缺少 stale-lock 恢复元数据,locking/run state modules,NOT_SUPPLIED_IN_EXPERT_JSON,false,NOT_SUPPLIED_IN_EXPERT_JSON,false,锁中写 PID/host/start time/heartbeat；提供安全 stale reclaim 规则。,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/source_evidence_v1/Stage1_BudgetedReplay_v1.0.0_Findings.json,316,PARTIALLY_MITIGATED,stage1_dynamic_replay_v3/assignment.py:45-68;stage1_dynamic_replay_v3/completion.py:67-85,tests/stage1_dynamic_replay_v3/test_assignment_completion.py:38-60,Cross-machine clock leases are replaced by immutable assignment generations and canonical completion.,The untracked recovery test imports a missing recovery module so local interrupted-run recovery is unfinished.,Implement and test local recovery without reintroducing wall-clock ownership assumptions.
