monitor_rank,monitor_group,monitor_group_rank,sample_id,y_true,oof_fold,dynamic_bucket,oof_mean_p_defect,oof_correct_rate,oof_std_p_defect,group_population_size,sampling_rule
12,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,12,Det/images/normal_train/00920430.png,0,9,learnable_hard,0.6085432326,0.295,0.3522674768,300,top nested Treatment ranks covering 0.5 percent of the normal class
13,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,13,Det/images/normal_train/00712967.png,0,1,learnable_hard,0.6817141599,0.26,0.337050719,300,top nested Treatment ranks covering 0.5 percent of the normal class
14,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,14,Det/images/normal_train/01171579.png,0,4,learnable_hard,0.5981872627,0.345,0.3378750207,300,top nested Treatment ranks covering 0.5 percent of the normal class
15,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,15,Det/images/normal_train/01287931.png,0,6,learnable_hard,0.6628261914,0.305,0.3776536531,300,top nested Treatment ranks covering 0.5 percent of the normal class
16,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,16,Det/images/normal_train/01049972.png,0,8,learnable_hard,0.6451354015,0.295,0.3503626449,300,top nested Treatment ranks covering 0.5 percent of the normal class
17,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,17,Det/images/normal_train/01199131.png,0,3,learnable_hard,0.4820985679,0.46,0.377874232,300,top nested Treatment ranks covering 0.5 percent of the normal class
18,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,18,Det/images/normal_train/00447968.png,0,5,learnable_hard,0.5517592498,0.42,0.3600704572,300,top nested Treatment ranks covering 0.5 percent of the normal class
19,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,19,Det/images/normal_train/00698557.png,0,8,learnable_hard,0.429664936,0.525,0.3736339231,300,top nested Treatment ranks covering 0.5 percent of the normal class
20,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,20,Det/images/normal_train/01085779.png,0,7,learnable_hard,0.5369442552,0.415,0.3603939603,300,top nested Treatment ranks covering 0.5 percent of the normal class
21,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,21,Det/images/normal_train/00509029.png,0,8,learnable_hard,0.4894524395,0.42,0.3784687222,300,top nested Treatment ranks covering 0.5 percent of the normal class
22,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,22,Det/images/normal_train/00808733.png,0,3,learnable_hard,0.7317385839,0.215,0.3288100458,300,top nested Treatment ranks covering 0.5 percent of the normal class
23,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,23,Det/images/normal_train/00690291.png,0,3,learnable_hard,0.6794043075,0.235,0.33035092,300,top nested Treatment ranks covering 0.5 percent of the normal class
24,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,24,Det/images/normal_train/00577887.png,0,5,learnable_hard,0.5083670663,0.495,0.4049602383,300,top nested Treatment ranks covering 0.5 percent of the normal class
25,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,25,Det/images/normal_train/00242715.png,0,1,learnable_hard,0.4736091955,0.455,0.3477714566,300,top nested Treatment ranks covering 0.5 percent of the normal class
26,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,26,Det/images/normal_train/00323523.png,0,6,learnable_hard,0.6109214511,0.325,0.3657564263,300,top nested Treatment ranks covering 0.5 percent of the normal class
27,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,27,Det/images/normal_train/01073726.png,0,7,learnable_hard,0.6479066791,0.22,0.323499111,300,top nested Treatment ranks covering 0.5 percent of the normal class
28,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,28,Det/images/normal_train/00713168.png,0,6,learnable_hard,0.6445494808,0.31,0.3658634033,300,top nested Treatment ranks covering 0.5 percent of the normal class
29,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,29,Det/images/normal_train/00491094.png,0,6,learnable_hard,0.5923712885,0.325,0.3550706626,300,top nested Treatment ranks covering 0.5 percent of the normal class
30,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,30,Det/images/normal_train/00381751.png,0,5,learnable_hard,0.4730090159,0.45,0.3516114945,300,top nested Treatment ranks covering 0.5 percent of the normal class
31,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,31,Det/images/normal_train/00241997.png,0,5,learnable_hard,0.6510746727,0.235,0.3307814026,300,top nested Treatment ranks covering 0.5 percent of the normal class
32,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,32,Det/images/normal_train/00954818.png,0,3,learnable_hard,0.701575706,0.25,0.334300269,300,top nested Treatment ranks covering 0.5 percent of the normal class
33,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,33,Det/images/normal_train/00964378.png,0,5,learnable_hard,0.5986361121,0.32,0.3606428324,300,top nested Treatment ranks covering 0.5 percent of the normal class
34,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,34,Det/images/normal_train/00916488.png,0,0,learnable_hard,0.4941881212,0.465,0.380000949,300,top nested Treatment ranks covering 0.5 percent of the normal class
35,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,35,Det/images/normal_train/00786131.png,0,3,learnable_hard,0.5283918551,0.43,0.3480741582,300,top nested Treatment ranks covering 0.5 percent of the normal class
36,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,36,Det/images/normal_train/00796033.png,0,4,learnable_hard,0.4206806055,0.525,0.3689138077,300,top nested Treatment ranks covering 0.5 percent of the normal class
37,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,37,Det/images/normal_train/00971571.png,0,2,learnable_hard,0.5815323827,0.32,0.3307900841,300,top nested Treatment ranks covering 0.5 percent of the normal class
38,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,38,Det/images/normal_train/01195525.png,0,3,learnable_hard,0.4903828581,0.44,0.3511232228,300,top nested Treatment ranks covering 0.5 percent of the normal class
39,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,39,Det/images/normal_train/00954770.png,0,3,learnable_hard,0.5302025444,0.345,0.3308539445,300,top nested Treatment ranks covering 0.5 percent of the normal class
40,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,40,Det/images/normal_train/00651388.png,0,2,learnable_hard,0.5672230673,0.345,0.3524990047,300,top nested Treatment ranks covering 0.5 percent of the normal class
41,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,41,Det/images/normal_train/00854371.png,0,9,learnable_hard,0.5342972217,0.4,0.3694745671,300,top nested Treatment ranks covering 0.5 percent of the normal class
42,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,42,Det/images/normal_train/01127316.png,0,6,learnable_hard,0.61816451,0.265,0.3265248524,300,top nested Treatment ranks covering 0.5 percent of the normal class
43,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,43,Det/images/normal_train/01199314.png,0,3,learnable_hard,0.5285710268,0.37,0.3800264347,300,top nested Treatment ranks covering 0.5 percent of the normal class
44,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,44,Det/images/normal_train/00243925.png,0,6,learnable_hard,0.5713354554,0.415,0.3530874623,300,top nested Treatment ranks covering 0.5 percent of the normal class
45,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,45,Det/images/normal_train/00425943.png,0,2,learnable_hard,0.6897933928,0.23,0.3214152686,300,top nested Treatment ranks covering 0.5 percent of the normal class
46,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,46,Det/images/normal_train/00674370.png,0,5,learnable_hard,0.5569873157,0.345,0.3504159294,300,top nested Treatment ranks covering 0.5 percent of the normal class
47,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,47,Det/images/normal_train/00353303.png,0,2,learnable_hard,0.5309725733,0.385,0.3436011469,300,top nested Treatment ranks covering 0.5 percent of the normal class
48,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,48,Det/images/normal_train/00532387.png,0,7,learnable_hard,0.5528826717,0.365,0.345484002,300,top nested Treatment ranks covering 0.5 percent of the normal class
49,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,49,Det/images/normal_train/01230103.png,0,1,learnable_hard,0.5554449994,0.36,0.3600971891,300,top nested Treatment ranks covering 0.5 percent of the normal class
50,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,50,Det/images/normal_train/01292814.png,0,7,learnable_hard,0.6492708511,0.325,0.3401763422,300,top nested Treatment ranks covering 0.5 percent of the normal class
51,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,51,Det/images/normal_train/00248553.png,0,0,learnable_hard,0.565820445,0.345,0.3526505286,300,top nested Treatment ranks covering 0.5 percent of the normal class
52,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,52,Det/images/normal_train/00194439.png,0,4,learnable_hard,0.4698378182,0.495,0.3493528942,300,top nested Treatment ranks covering 0.5 percent of the normal class
53,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,53,Det/images/normal_train/00573003.png,0,7,learnable_hard,0.7900295483,0.175,0.3224148583,300,top nested Treatment ranks covering 0.5 percent of the normal class
54,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,54,Det/images/normal_train/01245458.png,0,9,learnable_hard,0.6536550007,0.255,0.3272024965,300,top nested Treatment ranks covering 0.5 percent of the normal class
55,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,55,Det/images/normal_train/00240267.png,0,7,learnable_hard,0.612036355,0.28,0.3227654128,300,top nested Treatment ranks covering 0.5 percent of the normal class
56,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,56,Det/images/normal_train/00967586.png,0,4,learnable_hard,0.4988258907,0.405,0.3211381905,300,top nested Treatment ranks covering 0.5 percent of the normal class
57,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,57,Det/images/normal_train/00746445.png,0,0,learnable_hard,0.5572056929,0.385,0.3788440146,300,top nested Treatment ranks covering 0.5 percent of the normal class
58,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,58,Det/images/normal_train/01139457.png,0,5,learnable_hard,0.5430088627,0.375,0.327614898,300,top nested Treatment ranks covering 0.5 percent of the normal class
59,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,59,Det/images/normal_train/00533860.png,0,2,learnable_hard,0.6003199239,0.34,0.3421613847,300,top nested Treatment ranks covering 0.5 percent of the normal class
60,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,60,Det/images/normal_train/00626220.png,0,5,learnable_hard,0.5393931416,0.375,0.334796348,300,top nested Treatment ranks covering 0.5 percent of the normal class
61,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,61,Det/images/normal_train/00483397.png,0,6,learnable_hard,0.4694098635,0.455,0.3338396866,300,top nested Treatment ranks covering 0.5 percent of the normal class
62,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,62,Det/images/normal_train/00338848.png,0,0,learnable_hard,0.5104344288,0.395,0.3207285815,300,top nested Treatment ranks covering 0.5 percent of the normal class
63,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,63,Det/images/normal_train/00240563.png,0,7,learnable_hard,0.6118850998,0.32,0.3023362325,300,top nested Treatment ranks covering 0.5 percent of the normal class
64,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,64,Det/images/normal_train/00253078.png,0,9,learnable_hard,0.6968688918,0.23,0.33318207,300,top nested Treatment ranks covering 0.5 percent of the normal class
65,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,65,Det/images/normal_train/00566381.png,0,7,learnable_hard,0.5235391172,0.43,0.3855005758,300,top nested Treatment ranks covering 0.5 percent of the normal class
66,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,66,Det/images/normal_train/00748303.png,0,4,learnable_hard,0.4642997338,0.42,0.3342263485,300,top nested Treatment ranks covering 0.5 percent of the normal class
67,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,67,Det/images/normal_train/00758730.png,0,4,learnable_hard,0.4297931251,0.55,0.3544091929,300,top nested Treatment ranks covering 0.5 percent of the normal class
68,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,68,Det/images/normal_train/00457310.png,0,9,learnable_hard,0.5807125164,0.31,0.3276416244,300,top nested Treatment ranks covering 0.5 percent of the normal class
69,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,69,Det/images/normal_train/01198756.png,0,3,learnable_hard,0.7791043103,0.19,0.3473131917,300,top nested Treatment ranks covering 0.5 percent of the normal class
70,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,70,Det/images/normal_train/00489081.png,0,2,learnable_hard,0.5177454432,0.345,0.3239158961,300,top nested Treatment ranks covering 0.5 percent of the normal class
71,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,71,Det/images/normal_train/00483398.png,0,6,learnable_hard,0.4802893262,0.445,0.3324491366,300,top nested Treatment ranks covering 0.5 percent of the normal class
72,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,72,Det/images/normal_train/00183127.png,0,9,learnable_hard,0.6092618204,0.315,0.3290715569,300,top nested Treatment ranks covering 0.5 percent of the normal class
73,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,73,Det/images/normal_train/01161388.png,0,6,learnable_hard,0.6742797899,0.275,0.3135876091,300,top nested Treatment ranks covering 0.5 percent of the normal class
74,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,74,Det/images/normal_train/01230314.png,0,1,learnable_hard,0.4710415098,0.39,0.3163227668,300,top nested Treatment ranks covering 0.5 percent of the normal class
75,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,75,Det/images/normal_train/00639548.png,0,6,learnable_hard,0.5929918492,0.32,0.3543294856,300,top nested Treatment ranks covering 0.5 percent of the normal class
76,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,76,Det/images/normal_train/00586860.png,0,1,learnable_hard,0.476014822,0.475,0.3346645065,300,top nested Treatment ranks covering 0.5 percent of the normal class
77,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,77,Det/images/normal_train/01132084.png,0,7,learnable_hard,0.585215127,0.375,0.3402355076,300,top nested Treatment ranks covering 0.5 percent of the normal class
78,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,78,Det/images/normal_train/00958852.png,0,5,learnable_hard,0.614386441,0.27,0.3274009991,300,top nested Treatment ranks covering 0.5 percent of the normal class
79,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,79,Det/images/normal_train/00425944.png,0,2,learnable_hard,0.7055994964,0.215,0.3147684192,300,top nested Treatment ranks covering 0.5 percent of the normal class
80,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,80,Det/images/normal_train/01011638.png,0,7,learnable_hard,0.3673917025,0.555,0.3820102899,300,top nested Treatment ranks covering 0.5 percent of the normal class
81,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,81,Det/images/normal_train/01169022.png,0,8,learnable_hard,0.3923649932,0.62,0.3074221646,300,top nested Treatment ranks covering 0.5 percent of the normal class
82,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,82,Det/images/normal_train/01014831.png,0,4,learnable_hard,0.5962682466,0.295,0.356304517,300,top nested Treatment ranks covering 0.5 percent of the normal class
83,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,83,Det/images/normal_train/00657532.png,0,5,learnable_hard,0.4714149915,0.495,0.3585071033,300,top nested Treatment ranks covering 0.5 percent of the normal class
84,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,84,Det/images/normal_train/00550609.png,0,8,learnable_hard,0.6251808964,0.31,0.320409673,300,top nested Treatment ranks covering 0.5 percent of the normal class
85,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,85,Det/images/normal_train/00327841.png,0,6,learnable_hard,0.4546512426,0.455,0.3341500587,300,top nested Treatment ranks covering 0.5 percent of the normal class
86,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,86,Det/images/normal_train/00167160.png,0,4,learnable_hard,0.4952224571,0.4,0.3273493328,300,top nested Treatment ranks covering 0.5 percent of the normal class
87,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,87,Det/images/normal_train/00750803.png,0,2,learnable_hard,0.6442126781,0.305,0.3516496193,300,top nested Treatment ranks covering 0.5 percent of the normal class
88,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,88,Det/images/normal_train/01201052.png,0,0,learnable_hard,0.5695844172,0.385,0.3675991261,300,top nested Treatment ranks covering 0.5 percent of the normal class
89,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,89,Det/images/normal_train/01094661.png,0,5,learnable_hard,0.6041161104,0.33,0.3041704688,300,top nested Treatment ranks covering 0.5 percent of the normal class
90,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,90,Det/images/normal_train/00379612.png,0,2,learnable_hard,0.6020284027,0.265,0.3255970443,300,top nested Treatment ranks covering 0.5 percent of the normal class
91,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,91,Det/images/normal_train/00197755.png,0,6,learnable_hard,0.3939029295,0.545,0.3402426805,300,top nested Treatment ranks covering 0.5 percent of the normal class
92,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,92,Det/images/normal_train/00541130.png,0,8,learnable_hard,0.4277712852,0.54,0.3064254474,300,top nested Treatment ranks covering 0.5 percent of the normal class
93,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,93,Det/images/normal_train/00751300.png,0,9,learnable_hard,0.6696418207,0.27,0.3290580732,300,top nested Treatment ranks covering 0.5 percent of the normal class
94,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,94,Det/images/normal_train/01006760.png,0,5,learnable_hard,0.6439688759,0.265,0.3046309838,300,top nested Treatment ranks covering 0.5 percent of the normal class
95,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,95,Det/images/normal_train/00236903.png,0,3,learnable_hard,0.6103515185,0.285,0.3077576828,300,top nested Treatment ranks covering 0.5 percent of the normal class
96,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,96,Det/images/normal_train/01295126.png,0,4,learnable_hard,0.5900275951,0.315,0.3195524205,300,top nested Treatment ranks covering 0.5 percent of the normal class
97,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,97,Det/images/normal_train/00970677.png,0,5,learnable_hard,0.3727264401,0.56,0.3391920912,300,top nested Treatment ranks covering 0.5 percent of the normal class
98,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,98,Det/images/normal_train/00957900.png,0,2,learnable_hard,0.4903044511,0.475,0.3430758542,300,top nested Treatment ranks covering 0.5 percent of the normal class
99,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,99,Det/images/normal_train/00923468.png,0,8,learnable_hard,0.6155436424,0.34,0.3500957298,300,top nested Treatment ranks covering 0.5 percent of the normal class
100,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,100,Det/images/normal_train/00494961.png,0,5,learnable_hard,0.5999734433,0.305,0.320157838,300,top nested Treatment ranks covering 0.5 percent of the normal class
101,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,101,Det/images/normal_train/00916476.png,0,0,learnable_hard,0.420817886,0.495,0.3706822688,300,top nested Treatment ranks covering 0.5 percent of the normal class
102,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,102,Det/images/normal_train/00282066.png,0,4,learnable_hard,0.5325883578,0.42,0.3565682092,300,top nested Treatment ranks covering 0.5 percent of the normal class
103,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,103,Det/images/normal_train/01261381.png,0,0,learnable_hard,0.5657240114,0.35,0.3481514119,300,top nested Treatment ranks covering 0.5 percent of the normal class
104,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,104,Det/images/normal_train/00166274.png,0,3,learnable_hard,0.5445596946,0.39,0.3480362126,300,top nested Treatment ranks covering 0.5 percent of the normal class
105,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,105,Det/images/normal_train/00534646.png,0,3,learnable_hard,0.6031969265,0.3,0.2922705122,300,top nested Treatment ranks covering 0.5 percent of the normal class
106,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,106,Det/images/normal_train/01012631.png,0,0,learnable_hard,0.5379798628,0.335,0.344008819,300,top nested Treatment ranks covering 0.5 percent of the normal class
107,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,107,Det/images/normal_train/00733818.png,0,7,learnable_hard,0.4216982582,0.535,0.3415346159,300,top nested Treatment ranks covering 0.5 percent of the normal class
108,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,108,Det/images/normal_train/00935766.png,0,9,learnable_hard,0.7204282588,0.19,0.3027570012,300,top nested Treatment ranks covering 0.5 percent of the normal class
109,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,109,Det/images/normal_train/00569541.png,0,2,learnable_hard,0.4545818927,0.45,0.325769545,300,top nested Treatment ranks covering 0.5 percent of the normal class
110,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,110,Det/images/normal_train/00566405.png,0,7,learnable_hard,0.4841590888,0.435,0.3346326636,300,top nested Treatment ranks covering 0.5 percent of the normal class
111,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,111,Det/images/normal_train/00702427.png,0,6,learnable_hard,0.5110746324,0.415,0.2992358995,300,top nested Treatment ranks covering 0.5 percent of the normal class
112,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,112,Det/images/normal_train/00688062.png,0,5,learnable_hard,0.7828276751,0.215,0.315238371,300,top nested Treatment ranks covering 0.5 percent of the normal class
113,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,113,Det/images/normal_train/00419255.png,0,4,learnable_hard,0.3974974893,0.54,0.2948190878,300,top nested Treatment ranks covering 0.5 percent of the normal class
114,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,114,Det/images/normal_train/00195836.png,0,8,learnable_hard,0.4479080084,0.44,0.3243140334,300,top nested Treatment ranks covering 0.5 percent of the normal class
115,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,115,Det/images/normal_train/00200411.png,0,2,learnable_hard,0.5796944131,0.335,0.3194922424,300,top nested Treatment ranks covering 0.5 percent of the normal class
116,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,116,Det/images/normal_train/01233795.png,0,9,learnable_hard,0.4778896985,0.475,0.3412679433,300,top nested Treatment ranks covering 0.5 percent of the normal class
117,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,117,Det/images/normal_train/00488119.png,0,5,learnable_hard,0.6209240966,0.335,0.3103744807,300,top nested Treatment ranks covering 0.5 percent of the normal class
118,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,118,Det/images/normal_train/00175714.png,0,6,learnable_hard,0.4130460378,0.54,0.3482764166,300,top nested Treatment ranks covering 0.5 percent of the normal class
119,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,119,Det/images/normal_train/00425093.png,0,2,learnable_hard,0.7505213666,0.18,0.3158376514,300,top nested Treatment ranks covering 0.5 percent of the normal class
120,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,120,Det/images/normal_train/00263170.png,0,7,learnable_hard,0.5461038603,0.425,0.3358441517,300,top nested Treatment ranks covering 0.5 percent of the normal class
121,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,121,Det/images/normal_train/00244763.png,0,7,learnable_hard,0.5513469413,0.435,0.3168845851,300,top nested Treatment ranks covering 0.5 percent of the normal class
122,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,122,Det/images/normal_train/00752583.png,0,8,learnable_hard,0.436837727,0.47,0.3242380673,300,top nested Treatment ranks covering 0.5 percent of the normal class
123,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,123,Det/images/normal_train/00410400.png,0,0,learnable_hard,0.4119133036,0.55,0.3747691626,300,top nested Treatment ranks covering 0.5 percent of the normal class
124,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,124,Det/images/normal_train/00655477.png,0,8,learnable_hard,0.4687987042,0.495,0.3132942733,300,top nested Treatment ranks covering 0.5 percent of the normal class
125,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,125,Det/images/normal_train/00954832.png,0,3,learnable_hard,0.5695951387,0.27,0.2962880366,300,top nested Treatment ranks covering 0.5 percent of the normal class
126,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,126,Det/images/normal_train/00886601.png,0,9,learnable_hard,0.4764291258,0.41,0.3440627551,300,top nested Treatment ranks covering 0.5 percent of the normal class
127,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,127,Det/images/normal_train/00668749.png,0,4,learnable_hard,0.3805539098,0.56,0.3419819155,300,top nested Treatment ranks covering 0.5 percent of the normal class
128,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,128,Det/images/normal_train/00547796.png,0,5,learnable_hard,0.6041611269,0.335,0.3333104804,300,top nested Treatment ranks covering 0.5 percent of the normal class
129,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,129,Det/images/normal_train/00605776.png,0,1,learnable_hard,0.4613082573,0.445,0.2876591242,300,top nested Treatment ranks covering 0.5 percent of the normal class
