deep_rank,selection_role,paper_id,queue_id,canonical_work_id,title,quota_rq,secondary_rqs,directness,relevance_class,effect_relation,selection_phase,tie_break_key,method_source_path,method_source_sha256,method_source_bytes,current_screened_review,legacy_deep_note,ready_evidence_status,formal_deep_credit
14,PRIMARY,P0053,RG255C26ED82A4C79E,CWD26A127531BE295878FC,Calibrated Semi-Supervised Models for Disaster Response based on Training Dynamics,RQ4,RQ1;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,0CD8501A83C2DD3134A24BB474811939F9472551D89BE6332C5A4F6F44DFB318,staging/broad_freeze_canonical_repaired_v4/sources/P0053.pdf,2C1FBA1C419A85B1FCA3A65B4CD9AF254F503552282F0458E29C43D047192C70,282747,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
15,PRIMARY,P0223,RGB6D371B9EDD8E67A,CW0EB85C2570A442F0DDDC,NLU on Data Diets: Dynamic Data Subset Selection for NLP Classification Tasks,RQ8,RQ1;RQ5;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,12268C84AF55749DC2B5472336D31EEB836E90F187E12D9E8FCC29EDA20FDDA9,staging/broad_freeze_canonical_repaired_v4/sources/P0223.pdf,8304CD21440159309636421640754C5CF77C239734B9CF2495AE2758CC2C0519,3326875,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
16,PRIMARY,P0073,RG87A5FEFBCDD611DB,CWAD8481EF113E1665A9A3,"Deep Batch Active Learning by Diverse, Uncertain Gradient Lower Bounds",RQ7,RQ2;RQ3;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,MANDATORY_ANCHOR,12DBC923F419EDF734F74AD2480E9615AB1B0EE3B391E94E0C004B1EB2FFEFE4,staging/broad_freeze_canonical_repaired_v4/sources/P0073.pdf,D3901AA393ACB598BEED4A5432F52F080237E50AD443659A18E65B1B1F4CE176,4265486,HASH_BOUND_PRESENT,BYTE_IDENTICAL_PRESENT,INHERITED_EVIDENCE_PRESENT,false
17,PRIMARY,P0123,RGEF55B4AA75DDA72D,CWDCF29EDCAD7E6522D3AC,Automatic Lecture Transcription Based on Discriminative Data Selection for Lightly Supervised Acoustic Model Training,RQ4,RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,12E3D360B6606CB00476A711D76E09710D403E05B883907FCF8A686FA9C7DF84,staging/broad_freeze_canonical_repaired_v4/sources/P0123.pdf,E838506A5036F48CC621EBD1E7F162494B2BF21942428E9FAB40D400A2F7DC6D,1171961,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
18,PRIMARY,P0032,RG3EFA4F2CB8C3FD4C,CWCAE13ABD789B845B7098,Identifying Noise in Human-Created Datasets using Training Dynamics from Generative Models,RQ1,RQ4,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,1342D17F72038A978A61E9A84716B8648D519F0A4458E13D5FBA18AE9AD4B677,staging/broad_freeze_canonical_repaired_v4/sources/P0032.pdf,5A931405402EEFFAFC7B6E6D5D1C9C446732ABDA7A124CA0DDDBFE5DEDF3237C,3157440,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
19,PRIMARY,P0004,RG015FC4345AA73EEF,CW5FC42DA69418A757FE68,Training Region-Based Object Detectors with Online Hard Example Mining,RQ6,NOT_APPLICABLE_WITH_REASON:no secondary RQ,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,MANDATORY_ANCHOR,13F3D5A874FC676D22B1C8AD9350C3A2A581CB857F868AB153E261A43F370C96,staging/broad_freeze_canonical_repaired_v4/sources/P0004.pdf,50C03A67FDE277B2E4E0797224C2D9AEC77F0939CC9CFBB2EA24509317A4E9E6,917701,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
20,PRIMARY,P0143,RG9A3B6DE1F762B631,CW7ECF36BD009643847234,Learning from Training Dynamics: Identifying Mislabeled Data beyond Manually Designed Features,RQ7,RQ1;RQ4,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,14536DEC71C66A0981A4EDD7F01647E78C70EA8987894DFD8B8299CBB5C99058,staging/broad_freeze_canonical_repaired_v4/sources/P0143.pdf,52B62222BB7B29228D7D90BF13FD6FE3FFC636809EA3FEBCB2F892B5FBA043A7,919161,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
21,PRIMARY,P0099,RG39E7D2C2EB164929,CWE215FDB5435808058DC7,DynClean: Training Dynamics-based Label Cleaning for Distantly-Supervised Named Entity Recognition,RQ1,RQ4,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,1465D7EF661BCCBD6A8D160DD832F65950464F671187758F6DE2C695C159F407,staging/broad_freeze_canonical_repaired_v4/sources/P0099.pdf,0C157EDDA2144C960BA84976973657B7BB30B8A11460D582FCF6913F7C7DD62F,1246563,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
22,PRIMARY,P0205,RGA9766A480B677D25,CWD23DC49A89CECC146B85,Learning What Matters: Prioritized Concept Learning via Relative Error-driven Sample Selection,RQ2,RQ1;RQ5;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,146BA29120627FC9D4A0F98C3E86D8512D918C9EB18872A2163CC60F452B50A8,staging/broad_freeze_canonical_repaired_v4/sources/P0205.pdf,ECA725659A77A3F0DF0EAC951A67529CC6264F786AB1571AFD6C03FF4320B2D0,5553270,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
23,PRIMARY,P0079,RGF2049C51FE4BAC68,CW272E090E3D3C97B8B16B,Sample Selection with Uncertainty of Losses for Learning with Noisy Labels,RQ6,RQ1;RQ4,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,164D76317AD41857134C1163AB22665E8126312539526830086E4EDD9490C390,staging/broad_freeze_canonical_repaired_v4/sources/P0079.pdf,668179BD4A809324E8FEC5375E1DB342ACC2E79FE9DE3B5DA546B464A2C7E77A,1276395,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
24,PRIMARY,P0467,RG7A9F64D6BE2FF808,CWE9EF786ABBE6E61B38FA,Denoising Neural Machine Translation Training with Trusted Data and Online Data Selection,RQ2,RQ4;RQ5;RQ6;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,164FAF9481EE91233448FCB7A438963A473D21AC84FF7A1C9D3A62678FE452CD,staging/broad_freeze_canonical_repaired_v4/sources/P0467.pdf,E67BCC1AE2D0060C174A68A18F0C76C31F317A8B59B6E3F68CCBD28B22A32AFD,215435,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
25,PRIMARY,P0445,RGE0493257044E0DAC,CW17ABA4810F0FE42A611C,An Empirical Study of Automated Mislabel Detection in Real World Vision Datasets,RQ7,RQ1;RQ4,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,16B8DE31D299926CDCB8A59350508D1DFF3CCAC347B3B60BED4FEC4571BBEE4C,staging/broad_freeze_canonical_repaired_v4/sources/P0445.pdf,681694037BC4CF706D96BAFCAEF1667072208174B7CA9020321066D6DDE8C4C9,1073606,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
26,PRIMARY,P0322,AXB4D35C6558F3F40B,CW12F28373D588C9FE1E43,Repeated Random Sampling for Minimizing the Time-to-Accuracy of Learning,RQ7,RQ6,D1_DIRECT_UTILITY,STRICT_CONTROL_NEGATIVE,NULL_NEGATIVE,MANDATORY_ANCHOR,16E8B4AACCCEF0AC1316CEBEB339020DF63E3372B0C8AA1189FCACA74456A821,staging/broad_freeze_canonical_repaired_v4/sources/P0322.pdf,926A30E30C2283C2F95C7CB6301651BE7D334C96197E94F255391D4BDC526FB1,653014,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
27,PRIMARY,P0447,RGBF6D4DFEBCE6B0AB,CW6FBAB13E0190173F4E35,"RCAP: Robust, Class-Aware, Probabilistic Dynamic Dataset Pruning",RQ2,RQ1;RQ5;RQ6;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,17427A44E6FE3825DEE7AE56B6885F9E6534A4E92B3F07D6A6C20B1ACA5E573D,staging/broad_freeze_canonical_repaired_v4/sources/P0447.pdf,E7A78C0EF2925144C6C50F93DABDBE1EF9EA0095150D54444989C7C1A4999571,966053,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
28,PRIMARY,P0351,RG39B45F0CB9955082,CWE13179EF648A43C3ECD2,Training Data Selection to Improve Multi-class Instance Segmentation in Digital Pathology,RQ6,RQ1;RQ2,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,1801954016EB1F77F9290C42C0E439559FBDC711C2849263700627F58C5BD4AF,staging/broad_freeze_canonical_repaired_v4/sources/P0351.pdf,5889FFD6D61EF5608C3F965F05E83A444803D663B15F93A769AD0645419A96EC,1470048,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
29,PRIMARY,P0424,RGF0328A138F658CBD,CWA544A809083906B6AD96,Data Selection Strategies for Multi-Domain Sentiment Analysis,RQ7,RQ1;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,19DFCE37C4F549452CD792437025CC195653D5833F4E6DF00E017A1E1A221C70,staging/broad_freeze_canonical_repaired_v4/sources/P0424.pdf,0249F8313EF87A7C95F011F620433C5F78C29F763DF6408C133E172CF9603328,6429082,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
30,PRIMARY,P0309,RG1CEDCFA1127E574E,CWBCF0DD6A82BD89E4C1E7,CS-Shapley: Class-wise Shapley Values for Data Valuation in Classification,RQ3,RQ4;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,1A61EEFD01CA9CCF774B10E632698407196591AE8E23ED6ABB2C545EEBBC81FC,staging/broad_freeze_canonical_repaired_v4/sources/P0309.pdf,C23BD7203533F40099B734DDD6DCD7C81E307406B853FF2924796A43911E54BB,1887149,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
31,PRIMARY,P0466,RG83C810FF0195347F,CW1DA682DDBC16E69DD42A,SmallToLarge (S2L): Scalable Data Selection for Fine-tuning Large Language Models by Summarizing Training Trajectories of Small Models,RQ1,RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,1A7D27A2B7F4F4A2484EC265D8AD4F116A7FE1465D221EB6A334E1F990421388,staging/broad_freeze_canonical_repaired_v4/sources/P0466.pdf,8A3E1AFB699A9FD961B22BEA7D8B8636ACACAA0DDD5AD29726AA6DA7F54B2746,972829,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
32,PRIMARY,P0156,RGC2403EE662227193,CW5FBCC90C2C5A57EA12E3,Utility-Diversity Aware Online Batch Selection for LLM Supervised Fine-tuning,RQ6,RQ2;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,1D355E5161403A9BD373114D2A809B77FB8F51CB17A35760F357658BD3DDA6BA,staging/broad_freeze_canonical_repaired_v4/sources/P0156.pdf,574FB4B03B48633C4FA7E4E85C3685620EB200D0D8CEA83ED14678F4FE967373,890501,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
33,PRIMARY,P0118,RG2ED0CE82003600F6,CW9E6E57C0EF88EDC70CDC,Generic and Trend-aware Curriculum Learning for Relation Extraction,RQ1,RQ2;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,1D6BF5FEE225327CCF0413F49BE28D6A0632D58455F8C317C03F3218AF3FAF55,staging/broad_freeze_canonical_repaired_v4/sources/P0118.pdf,9A7F32ACE6EA27C25B0A10BDE747F6D0E2A57B23FAF3A2C8A741E5C8680FCBF0,2022632,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
34,PRIMARY,P0468,RGF22429890132EBC0,CW8F085E8AE91AC7A99214,Self-Paced Learning for Images of Antinuclear Antibodies,RQ4,RQ1;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,GLOBAL_FILL,1E9CABB93C4AE1D27D7D9069BE403A22C0E8A66CCB506AE279924E585FB3D075,staging/broad_freeze_canonical_repaired_v4/sources/P0468.pdf,8E058ADC271B948C8D0B2BCBF7DA5B9E969CB663747A90878BCD7C3725F656AB,10377214,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
35,PRIMARY,P0494,RGFF376765D4FA25D6,CW77454F69AF2609931984,Predicting cognitive scores with graph neural networks through sample selection learning,RQ3,RQ2;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,1EFE5AE0CE80EFF395063290E6C3417138DFB72A993DFE48A824B85E1B3A43A0,staging/broad_freeze_canonical_repaired_v4/sources/P0494.pdf,2B364AC45FFCEE9BDDE52A40A7C48483DF3FF7CE0F2EDB897AE678BF411309A4,2157120,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
36,PRIMARY,P0287,RGE8A424B22CF65CEC,CW50D21FC725813C0F96F7,SSR: An Efficient and Robust Framework for Learning with Unknown Label Noise,RQ4,RQ1,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,MANDATORY_ANCHOR,1FA5D5ADA498F88AAC8EC370CE635E10193FD8EBEA9DEA855C5FF6C26BD865E7,staging/broad_freeze_canonical_repaired_v4/sources/P0287.pdf,367B71881B372D42B8F4BF8C5CFC84EF1B1EF2DF14E239627C562F2875F3F551,8833197,HASH_BOUND_PRESENT,NOT_AVAILABLE,INHERITED_EVIDENCE_PRESENT,false
37,PRIMARY,P0214,RGFB5E83D2FC9638A7,CW13AE7BA0E4DC27D9DC45,GRACE: A Dynamic Coreset Selection Framework for Large Language Model Optimization,RQ3,RQ1;RQ2;RQ5;RQ6;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,238FCB7582FD52AD4309613C50EFE051451DA7D124F83712BEA03C5A2F607927,staging/broad_freeze_canonical_repaired_v4/sources/P0214.pdf,617FF7A6C0D9DE31C19FAB0B0F94C773969FA4F20E116B00B175527779700AEA,1236196,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
38,PRIMARY,P0165,RGB86125EC3F244E8D,CW2FDE41B709B89E186E8F,MODE: Multi-Objective Adaptive Coreset Selection,RQ5,RQ2;RQ3;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,23C71008654920CCAC04AA92EF87EF873068360288DB809E0C408A2A7E14855B,staging/broad_freeze_canonical_repaired_v4/sources/P0165.pdf,6D0D2302D2D6B67474C0A9900105126FBC5FAFD24338062AD509D94B8D7E8477,2125525,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
39,PRIMARY,P0023,RG7E9FCDBEFADDF1B3,CW008F9B65867560F6BD2D,Selectivity Drives Productivity: Efficient Dataset Pruning for Enhanced Transfer Learning,RQ5,RQ2;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,23EB2A01A7D07BBBD47B8355F9E950445470DDE00EB9DE7D5AF4E892CB523DAB,staging/broad_freeze_canonical_repaired_v4/sources/P0023.pdf,99675F6FC29B7ABC6393C9737C837BDA08CFDD7F034BEDDACFC6FF2434DCE919,17507341,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
40,PRIMARY,P0442,RGD102186AC8A160DE,CWBC82344E1C0CD8EC33DB,Spaced Scheduling for Large Language Model Training,RQ1,RQ6;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,GLOBAL_FILL,24EA7B1E8E606A0A21AF490CB0BDD17BAFE6B4426FF8D5A688A2BB3F1AF27DF5,staging/broad_freeze_canonical_repaired_v4/sources/P0442.pdf,85D30A1986DF55A7AB9678A60E28BF7EDF72F715854530AA9F11F6F016259BE5,1157704,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
41,PRIMARY,P0184,RG6701A4112FBFD660,CWB9578352DB83C08EAC0E,On The Power of Curriculum Learning in Training Deep Networks,RQ5,RQ1;RQ2;RQ6;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,24FEFA963B7C2027200B8D82408FFF13E218DEBEE6CEA409EBA51779BFB6DF45,staging/broad_freeze_canonical_repaired_v4/sources/P0184.pdf,D08489CEA16D7A9EBA28A4C6A20B56B810B5ECD41B0A7D3A76A90880E2015A79,1212894,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
42,PRIMARY,P0286,RGED1DACF969323F31,CW1C4264F5AD37FAA5A2B2,"Prioritized Training on Points that are Learnable, Worth Learning, and Not Yet Learnt",RQ4,RQ1;RQ2;RQ6;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,MANDATORY_ANCHOR,254B5AF424ED3B7B2E004801A3BADCD480E0E4796538DF6CBF388E36581BC3A3,staging/broad_freeze_canonical_repaired_v4/sources/P0286.pdf,0462CCB03E6139A33420CE44C17E51CC6388124F2AE3C285750D564D23405157,1545992,HASH_BOUND_PRESENT,NOT_AVAILABLE,INHERITED_EVIDENCE_PRESENT,false
43,PRIMARY,P0412,RG8979E3BD1560FA0E,CWC7D02ADD95B6197D22FB,The impact of training data selection on the software defect prediction performance and data complexity,RQ5,RQ1;RQ4;RQ7,D1_DIRECT_UTILITY,STRICT_CONTROL_NEGATIVE,NULL_NEGATIVE,GLOBAL_FILL,264B6A9FA7AC476756C38B2520FFF4CF91A4E848CB01225916F46A09805474BA,staging/broad_freeze_canonical_repaired_v4/sources/P0412.pdf,015C51B0E1EFEFF84EF5A3619749B7ED09466B77F07980703F4DCFB138B1C3CC,1399352,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
44,PRIMARY,P0500,AX6987DB4646B2490F,CW6987DB4646B2490FEC86,GREATS: Online Selection of High-Quality Data for LLM Training in Every Iteration,RQ3,RQ5;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,MANDATORY_ANCHOR,283B57607392DBC5512DAFB599D18FD36B9F42945258100D7CA448899AE788E8,staging/broad_freeze_canonical_repaired_v4/sources/P0500.pdf,EE7336CAE82A2390065097122B29E8148F58F84E9CBF40A7E518ACC067508952,5269069,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
