paper_id,queue_id,canonical_work_id,quota_rq,secondary_rqs,directness,relevance_class,relation,selection_phase,tie_break_key,original_source_path,source_sha256,source_bytes,merged_queue_ids
P0030,RG997C60ADE72707C8,CWD93C85D00B7928EB50DC,RQ2,RQ4;RQ6;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,0F46F03317989218DE1D28FEC63769A35EE77FFEFA8FDD2211F2E2CD614DD0DD,sources/broad_screen_primary/batch_022/RG997C60ADE72707C8.html,E7656BDA0C03208F3A360EF170CDAF3B343B9400E36383D05E66077A3155905A,44545,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0031,RGB6DFBF9DB6006A42,CW2B79493D1548F34020BA,RQ3,RQ5;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,1067CAD6756927E5A18D2A80738B4CACF1EE8FF553CD45FC5428D215F1FD241A,sources/broad_screen_primary/batch_022/RGB6DFBF9DB6006A42.pdf,6EFA6D0CA972245CF48670757248FF29FB9630472F0BB05B4D0B52ACD1605FF0,630377,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0032,RG3EFA4F2CB8C3FD4C,CWCAE13ABD789B845B7098,RQ4,RQ1,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,10BEA42A8126C3A405C1327351840BF60C8DCFF21E7E9D9D6360964ABA5A2F87,sources/broad_screen_primary/batch_014/RG3EFA4F2CB8C3FD4C.pdf,5A931405402EEFFAFC7B6E6D5D1C9C446732ABDA7A124CA0DDDBFE5DEDF3237C,3157440,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0033,RGEEAA6FF824332B0D,CW46BEBD6FCE7F5E060A95,RQ2,RQ4;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,11623972F04057B53F3123DBE473E3CD4CA072D2E87A7CFEE6DE4A5B19F50308,sources/broad_screen/batch_016_corrections_v2/RGEEAA6FF824332B0D.html,9F73DB43BC8FC5AABF80F7DEA43E063C3DFB6797D2E899C990895B763029BD6D,11316,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0034,RG086B83622233D87D,CW39E4121481A4BF1A1128,RQ2,RQ1;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,1187190320A59B51A709D5876C64F87543EF1D36F5A55251F78763DCCDDE3164,sources/broad_screen_primary/batch_012/RG086B83622233D87D.pdf,CABA2E46259D3530F9F92A3C157786C5B2C75A62B5D45ABE1142789B4A8D4DC4,4495686,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0035,RG6C5FDBE117793A29,CW0D2AAAEA583FEC1641EF,RQ6,RQ1;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,134EE17FB7F0B9A9B5A5CAE38521E9863A4133BF3F9FA25BF2806F912F15F849,sources/broad_screen/batch_021_corrections_v1/RG6C5FDBE117793A29.html,E26EFF66B81CB96152E18C7101491B1505142DF4F85A56290FE8A7F4F266C4E0,11418,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0036,RG9300ECB5F82C599B,CW5DD8F90BD1A625DE97B4,RQ1,RQ3;RQ4;RQ6,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,136FAFB57EA7672C1B85F7608E789A28AE52C064DD8B5EECF23F35B6A671B53C,sources/broad_screen/batch_004/RG9300ECB5F82C599B.pdf,2EA167464E0316C6CE7100210E680F68B829832266396486DFEA5941215A0A3F,1216875,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0037,RG38EE980ABF791FE0,CW15196F134C9AE8BF7C9F,RQ2,RQ1;RQ5;RQ6;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,1380D337F45A7EF99D64E3120B4B682151B9300C05E9FA07E616EFE136408767,sources/broad_screen/batch_019_corrections_v1/RG38EE980ABF791FE0.html,1D4FC5D6EB5A97B5BC360F1EF6D8289636668FF881D2D712FDC1F7C016FC1139,3942,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0038,RG4799875EA5A4AEDC,CW25EB59E8B2BFDAE09FE4,RQ7,RQ3,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,13A0D2450D18265F7279F839E771DEA03E462A1FC3CF01C87F3F742FE0E234F9,sources/broad_screen/batch_010/RG4799875EA5A4AEDC.html,98CD153E6A5DF438DBAA3A199DEEEC1B385A7340263084E4964CA75D0A87C1B5,42795,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0039,RG3A00725F7CADC3A2,CWF7C5971D7D4A537B18DA,RQ4,RQ1;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,MANDATORY_ANCHOR,13B19D0982E5316550B147BB27AFB628CFC5C6A0520F8C892B0A53B8D0D4616A,sources/broad_screen_primary/batch_013/RG3A00725F7CADC3A2.html,9C21DED718DF5AA3DA1DB4C9AD5A4F1EDCE6EDD9023BC9FD03408E72A0C0E31C,44623,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0040,RG40B6CDFE27AC4CDD,CWEBD451F3815152E1AE09,RQ2,RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,13C1A9B5DD4C61E93451CD6C14C5BA5E08321B088B34E41EE1A561D389BF9DB8,sources/broad_screen/batch_014_corrections_v1/RG40B6CDFE27AC4CDD.html,C59DBC5917C2A7435C7B4BDB173925E870784C6ABE641FE2923B032661140862,10639,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0041,RG90CBD815709C5863,CW074DD6709A32F9D19C15,RQ1,RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,141C10B8F70371221F68C57043B8876369D7DB4487D6D40FD1C30A46A9D76AF6,sources/broad_screen/batch_021_corrections_v1/RG90CBD815709C5863.html,A64B48CC8623E5C6429DD903430467F47CBC4E6F612868861E1393DF7DD53141,9441,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0042,RG12DEF749A98D9AB2,CW4201D0B13EBD7AC80BD3,RQ3,RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,149E1AC46D2C856C0B6871826BF2B0C52FA1241949268F1D88B30861BD9C8B27,sources/broad_screen_primary/batch_015/RG12DEF749A98D9AB2.html,0AE198D87AB704A9C3B76232205008EB9DCDCE68DADEE7F469B85BA80CFAE33E,42535,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0043,RG08622BBB78D02352,CWB5AB35B9A6935D217BE1,RQ3,RQ2;RQ6;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,14DC263707A6967BDA44245C9D4D83E56F391DE3E7A018813BBCCB24697E307F,sources/broad_screen_primary/batch_022/RG08622BBB78D02352.html,DBA9ACD694500E9482597D45B45C1AD5054D359884F89D58F49AC2FE92F98382,44732,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0044,RG37C5916602C5B613,CW8557B5266C60DB99FE69,RQ2,RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,15715EC57CF139943E1F49BF05E69A05B4D821161F59955E5ECC032AB2991566,sources/broad_screen/batch_012_corrections_v1/RG37C5916602C5B613.html,A26A825E44659507338CC624E491315E31373019EB92FC6CE79649A5DB519E7F,18416,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0045,RGC0B67CDA0E35322D,CW03017F5E960C32652AEC,RQ2,RQ5;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,15FFFA3BF51206386D069FBBF6F0DBB0114FC8FDF0F99207ECFA36500A18A111,sources/broad_screen_primary/batch_018/RGC0B67CDA0E35322D.html,EA613D312E097996C4F0C7123AD782C0C24BD21545E0D55A356D6D81D5C076D9,42245,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0046,RG39BB360A5A6B0B90,CW42ECF7815D120FEB9AA3,RQ2,RQ1;RQ6;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,1754C8E4B345D035A5E1DDE0CF5868520A5F5466DE672B8737C73321258D2661,sources/broad_screen_primary/batch_013/RG39BB360A5A6B0B90.pdf,491D876E1B0FE1639CE8A7208E6D9C2137BAA12A7867720DC743ACDC9ABCBFBB,924372,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0047,RG0769FEADDE630325,CW182A731A9A027DFB2E76,RQ3,RQ4,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,17C9DD8523D634FCB25712100DBA596912733801BA6F791B6EE840BADA877279,sources/broad_screen/batch_005/RG0769FEADDE630325.pdf,0F2E43709FB1E028E1DA20E35711458FA5B6933B7B2AA57D79C515D080DE5A30,4811806,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0048,RG32BC581910F4800D,CWDD88B17988FABB4183DF,RQ2,RQ5;RQ6;RQ7,D1_DIRECT_UTILITY,STRICT_CONTROL_NEGATIVE,REFUTED,RQ_MINIMUM,17D9F156F8AF939B757A0C30DB27DB51CA7D27F639BFF843DD78F75668813AD1,sources/broad_screen/batch_001/RG32BC581910F4800D.pdf,BA62DBB74169F5FC633E526C7859A9391D4981D8E821DD93DFA63CF41FF8D2DE,1456899,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0049,RG1DD2D2AB5E784128,CW6695E68033A1A0ABCF80,RQ2,RQ1;RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,18475A797B77B784AF1AA1E849D1CFAC2144B5475C3DB7A430F1D8C5239E0E7F,sources/broad_screen/batch_006/RG1DD2D2AB5E784128.pdf,43B09D37A722AB5369FC262691AAAFCE92B75796BCF7F4E6A8CE03C6660B50DC,2569446,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0050,RGFAAC8BB358F58FF9,CWF17C6BED9EE1843630C7,RQ4,RQ1,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,1860C9650C753547A2523DEB409E2EF823ED8E92C24D36E19E8116140C7162EF,sources/broad_screen/batch_003/RGFAAC8BB358F58FF9.pdf,9AC496B82337F71F9E04AFD56A815F790584F4D65BF607EB82B1866CEB546D59,306426,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0051,RG407CD6578E5B48CD,CW9B98A6E0E5FACF87A7EA,RQ4,RQ1;RQ5;RQ7,D1_DIRECT_UTILITY,STRICT_CONTROL_NEGATIVE,REFUTED,RQ_MINIMUM,18CF3608B605EF7DE5D7A104F3CB0A8DCF93E98F4DDA9BF31C07640EE7DFF6AB,sources/broad_screen_primary/batch_022/RG407CD6578E5B48CD.pdf,972BD53306DEF3A83BDCD5DD161D06C7D77520FA0C44C1A15A8BCDA3DA27681F,3245207,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0052,RG5B0CE2049303E977,CWF6AD9A4067DBB8C97025,RQ2,RQ1;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,197D8F3AA270B56C8EA85B5133F417811FBB724540EBC776F18EEE3E19B8EF8C,sources/broad_screen_primary/batch_013/RG5B0CE2049303E977.pdf,ADE9D39FC6056191DEF902751D2062BC9FBA93162FFB46FBA5F5F5D24612AB24,3867339,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0053,RG255C26ED82A4C79E,CWD26A127531BE295878FC,RQ4,RQ1;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,19D9E7AD86756A4CF9327E14BE45010926B3A7E95798C010460EE16CEB874A3B,sources/broad_screen_primary/batch_015/RG255C26ED82A4C79E.pdf,2C1FBA1C419A85B1FCA3A65B4CD9AF254F503552282F0458E29C43D047192C70,282747,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0054,RG591A97F0442BEB3A,CW14AAFAEE2D80998915EB,RQ4,RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,1A4F11A964AF147FF9512D9DED802070D22DDA5C9012FD5F89A008EB4157A0C4,sources/broad_screen/batch_009/RG591A97F0442BEB3A.pdf,FD22A053833B38253A1CD2CB71BCCA3A7EA7F3E720D03C30645BE19D253B6878,2692545,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
