anchor_id,family,rq_ids,canonical_title,canonical_authors,year,queue_id,canonical_work_id,current_status,inclusion_basis,evidence_role,primary_url,full_text_url
A019,LABEL_RELIABILITY,RQ4,Co-teaching: Robust Training of Deep Neural Networks with Extremely Noisy Labels,Bo Han; Quanming Yao; Xingrui Yu; Gang Niu; Miao Xu; Weihua Hu; Ivor W. Tsang; Masashi Sugiyama,2018,RG311779B2BC4CEC0A,CW85DF4BCD773E47F4EE59,BROAD_V2_ELIGIBLE,Foundational dynamic small-loss exchange under label noise,RELIABILITY_MECHANISM,https://proceedings.neurips.cc/paper/2018/hash/a19744e268754fb0148b017647355b7b-Abstract.html,https://proceedings.neurips.cc/paper_files/paper/2018/file/a19744e268754fb0148b017647355b7b-Paper.pdf
A020,LABEL_RELIABILITY,RQ4,DivideMix: Learning with Noisy Labels as Semi-Supervised Learning,Junnan Li; Richard Socher; Steven C. H. Hoi,2020,AX6B828EA30AEEF829,CW6B828EA30AEEF829012E,EXTERNAL_PRIMARY_IDENTITY_VERIFIED_PENDING_SCREEN,Uses dynamic loss mixture and two-network disagreement to avoid confirmation bias,RELIABILITY_MECHANISM,https://openreview.net/forum?id=HJgExaVtwr,https://openreview.net/pdf?id=HJgExaVtwr
A021,LABEL_RELIABILITY,RQ1;RQ4,Early-Learning Regularization Prevents Memorization of Noisy Labels,Sheng Liu; Jonathan Niles-Weed; Narges Razavian; Carlos Fernandez-Granda,2020,RG3A00725F7CADC3A2,CWF7C5971D7D4A537B18DA,BROAD_V2_ELIGIBLE,Separates early learning from later memorization risk,RELIABILITY_MECHANISM,https://proceedings.neurips.cc/paper/2020/hash/ea89621bee7c88b2c5be6681c8ef4906-Abstract.html,https://proceedings.neurips.cc/paper_files/paper/2020/file/ea89621bee7c88b2c5be6681c8ef4906-Paper.pdf
A022,LABEL_RELIABILITY,RQ4,Combating Noisy Labels with Sample Selection by Mining High-Discrepancy Examples,Xiaobo Xia; Bo Han; Yibing Zhan; Jun Yu; Mingming Gong; Chen Gong; Tongliang Liu,2023,RG258CEAA0B6502D28,CW9E249AC4F35D83423946,BROAD_V2_ELIGIBLE,Targets correctly labeled hard samples while separating noise,RELIABILITY_MECHANISM,https://openaccess.thecvf.com/content/ICCV2023/html/Xia_Combating_Noisy_Labels_with_Sample_Selection_by_Mining_High-Discrepancy_Examples_ICCV_2023_paper.html,https://openaccess.thecvf.com/content/ICCV2023/papers/Xia_Combating_Noisy_Labels_with_Sample_Selection_by_Mining_High-Discrepancy_Examples_ICCV_2023_paper.pdf
A023,DIVERSITY_COVERAGE,RQ3;RQ5,Deep Batch Active Learning by Diverse Uncertain Gradient Lower Bounds,Jordan T. Ash; Chicheng Zhang; Akshay Krishnamurthy; John Langford; Alekh Agarwal,2020,RG87A5FEFBCDD611DB,CWAD8481EF113E1665A9A3,BROAD_V2_ELIGIBLE,Combines gradient embeddings with diversity-aware batch selection,COVERAGE_MECHANISM,https://openreview.net/forum?id=ryghZJBKPS,https://openreview.net/pdf?id=ryghZJBKPS
A024,DIVERSITY_COVERAGE,RQ2;RQ5,D2 Pruning: Message Passing for Balancing Diversity and Difficulty in Data Pruning,Adyasha Maharana; Prateek Yadav; Mohit Bansal,2024,RG23777DF75AF056AE,CWAEC0D9840DD20625A997,DISCOVERED_NOT_BROAD_SCREENED,Explicitly balances difficulty with diversity and tests both one-sided failures,COVERAGE_DIFFICULTY_MECHANISM,https://openreview.net/forum?id=thbtoAkCe9,https://openreview.net/pdf?id=thbtoAkCe9
A025,DIVERSITY_COVERAGE,RQ5,Coverage-centric Coreset Selection for High Pruning Rates,Haizhong Zheng; Rui Liu; Fan Lai; Atul Prakash,2022,RG4C05ABF685E44621,CW2C31D4B8DEFAADCBE53F,DISCOVERED_NOT_BROAD_SCREENED,Defines coverage priority under high pruning rates,COVERAGE_MECHANISM,https://arxiv.org/abs/2210.15809,https://arxiv.org/pdf/2210.15809
A026,DIVERSITY_COVERAGE,RQ3;RQ5,Coresets for Accelerating Incremental Gradient Methods,Baharan Mirzasoleiman; Jeff Bilmes; Jure Leskovec,2020,AX79D4A4F6C4BBCA52,CW79D4A4F6C4BBCA526958,EXTERNAL_PRIMARY_IDENTITY_VERIFIED_PENDING_SCREEN,Defines CRAIG weighted facility-location gradient coverage,FOUNDATIONAL_MECHANISM,https://openreview.net/forum?id=SygRikHtvS,https://openreview.net/pdf?id=SygRikHtvS
A027,DIVERSITY_COVERAGE,RQ5;RQ7,Active Learning Through a Covering Lens,Ofer Yehuda; Avihu Dekel; Guy Hacohen; Daphna Weinshall,2022,AX5BBB2D6BD039C272,CW5BBB2D6BD039C272F48A,EXTERNAL_PRIMARY_IDENTITY_VERIFIED_PENDING_SCREEN,Defines ProbCover and low-budget probability coverage,BUDGET_COVERAGE_MECHANISM,https://proceedings.neurips.cc/paper_files/paper/2022/hash/8c64bc3f7796d31caa7c3e6b969bf7da-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2022/file/8c64bc3f7796d31caa7c3e6b969bf7da-Paper-Conference.pdf
A028,DIVERSITY_COVERAGE,RQ5;RQ7,Active Learning on a Budget: Opposite Strategies Suit High and Low Budgets,Guy Hacohen; Avihu Dekel; Daphna Weinshall,2022,AXA507196A9C503BF5,CWA507196A9C503BF59049,EXTERNAL_PRIMARY_IDENTITY_VERIFIED_PENDING_SCREEN,Defines TypiClust and budget-dependent typical versus atypical regimes,BUDGET_COVERAGE_MECHANISM,https://proceedings.mlr.press/v162/hacohen22a.html,https://proceedings.mlr.press/v162/hacohen22a/hacohen22a.pdf
A029,TIMING_BUDGET_RANDOM,RQ6;RQ7,InfoBatch: Lossless Training Speed Up by Unbiased Dynamic Data Pruning,Ziheng Qin; Kai Wang; Zangwei Zheng; Jianyang Gu; Xiangyu Peng; Zhaopan Xu; Daquan Zhou; Lei Shang; Baigui Sun; Xuansong Xie; Yang You,2023,RGD8453AB27200DCF8,CWEB485D837A2F070054C4,BROAD_V2_ELIGIBLE,Uses stochastic dynamic pruning with unbiased compensation,DYNAMIC_INTERVENTION,https://openreview.net/forum?id=C61sk5LsK6,https://openreview.net/pdf?id=C61sk5LsK6
A030,TIMING_BUDGET_RANDOM,RQ1;RQ5;RQ6,Accelerating Deep Learning with Dynamic Data Pruning,Ravi Raju; Kyle Daruwalla; Mikko H. Lipasti,2021,RGEE7171D25C56697E,CWF2FC081E239CD34733A4,DISCOVERED_NOT_BROAD_SCREENED,Studies periodic dynamic pruning and neglected-sample recovery,DYNAMIC_INTERVENTION,https://arxiv.org/abs/2111.12621,https://arxiv.org/pdf/2111.12621
A031,TIMING_BUDGET_RANDOM,RQ6;RQ7,Repeated Random Sampling for Minimizing the Time-to-Accuracy of Learning,Patrik Okanovic; Roger Waleffe; Vasilis Mageirakos; Konstantinos Nikolakakis; Amin Karbasi; Dionysios Kalogerias; Nezihe Merve Gurel; Theodoros Rekatsinas,2024,AXB4D35C6558F3F40B,CW12F28373D588C9FE1E43,EXTERNAL_PRIMARY_IDENTITY_VERIFIED_PENDING_SCREEN,Defines RS2 per-epoch random baseline and exposes weak pruning comparisons,STRICT_RANDOM_BASELINE,https://proceedings.iclr.cc/paper_files/paper/2024/hash/68b8d2bc77268facfc75a78782da9559-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2024/file/68b8d2bc77268facfc75a78782da9559-Paper-Conference.pdf
A032,TIMING_BUDGET_RANDOM,RQ6;RQ7,Rethinking Data Selection at Scale: Random Selection is Almost All You Need,Tingyu Xia; Bowen Yu; Kai Dang; Yang An; Yuan Wu; Yuan Tian; Yi Chang; Junyang Lin,2025,RGDF8333E1DCDA9A1F,CW93B4FAD9149BE660C0D7,BROAD_V2_ELIGIBLE,Direct negative evidence that selection gains can vanish against strong random baselines,STRICT_NEGATIVE_CONTROL,https://aclanthology.org/2025.findings-emnlp.146/,https://aclanthology.org/2025.findings-emnlp.146.pdf
A033,TIMING_BUDGET_RANDOM,RQ2;RQ7,Data pruning and neural scaling laws: fundamental limitations of score-based algorithms,Fadhel Ayed; Soufiane Hayou,2023,RG884EC55CA7201C25,CWF500847CB8ED6525F3D3,BROAD_V2_ELIGIBLE,Provides theoretical and empirical limits for static score pruning,STRICT_NEGATIVE_CONTROL,https://arxiv.org/abs/2302.06960,https://arxiv.org/pdf/2302.06960
A034,TIMING_BUDGET_RANDOM,RQ1;RQ7,DeepCore: A Comprehensive Library for Coreset Selection in Deep Learning,Chengcheng Guo; Bo Zhao; Yanbing Bai,2022,RGFDF366471074E7BB,CW4C77EBF77047F31CF885,BROAD_V2_ELIGIBLE,Provides broad common-protocol comparisons including random baselines,BENCHMARK_EVIDENCE,https://arxiv.org/abs/2204.08499,https://arxiv.org/pdf/2204.08499
A035,TIMING_BUDGET_RANDOM,RQ6,Training Region-Based Object Detectors with Online Hard Example Mining,Abhinav Shrivastava; Abhinav Gupta; Ross Girshick,2016,RG015FC4345AA73EEF,CW5FC42DA69418A757FE68,DISCOVERED_NOT_BROAD_SCREENED,Foundational online hard-mining intervention and historical positive evidence,FOUNDATIONAL_INTERVENTION,https://openaccess.thecvf.com/content_cvpr_2016/html/Shrivastava_Training_Region-Based_Object_CVPR_2016_paper.html,https://www.cv-foundation.org/openaccess/content_cvpr_2016/papers/Shrivastava_Training_Region-Based_Object_CVPR_2016_paper.pdf
A036,TIMING_BUDGET_RANDOM,RQ2;RQ6,Focal Loss for Dense Object Detection,Tsung-Yi Lin; Priya Goyal; Ross Girshick; Kaiming He; Piotr Dollar,2017,AX60FA7026B413D57B,CW27EA65DC3E285E30085F,EXTERNAL_PRIMARY_IDENTITY_VERIFIED_PENDING_SCREEN,Foundational continuous hard-example reweighting under extreme imbalance,FOUNDATIONAL_INTERVENTION,https://openaccess.thecvf.com/content_ICCV_2017/html/Lin_Focal_Loss_for_ICCV_2017_paper.html,https://openaccess.thecvf.com/content_ICCV_2017/papers/Lin_Focal_Loss_for_ICCV_2017_paper.pdf
A037,FN95_STATE_DEPENDENCE,RQ8,A Neyman-Pearson Approach to Statistical Learning,Clayton Scott; Robert Nowak,2005,RG9FA3C12D2147A460,CW6C0BF6537DFBB5C10C15,DISCOVERED_NOT_BROAD_SCREENED,Defines constrained error control rather than average-risk optimization,TARGET_METRIC_DEFINITION,https://doi.org/10.1109/TIT.2005.856955,https://www.stat.rice.edu/~cscott/pubs/np.pdf
A038,FN95_STATE_DEPENDENCE,RQ8,A Structural SVM Based Approach for Optimizing Partial AUC,Harikrishna Narasimhan; Shivani Agarwal,2013,RGBF50D1FDD58BCFE5,CW60DE20FF6EBD0732725C,BROAD_V2_ELIGIBLE,Defines optimization of a restricted ROC region,TARGET_METRIC_DEFINITION,https://proceedings.mlr.press/v28/narasimhan13.html,https://proceedings.mlr.press/v28/narasimhan13.pdf
A039,FN95_STATE_DEPENDENCE,RQ8,Optimizing Two-Way Partial AUC With an End-to-End Framework,Zhiyong Yang; Qianqian Xu; Shilong Bao; Yuan He; Xiaochun Cao; Qingming Huang,2022,RGE135141573B076B0,CWD3A985789ECF796B7740,BROAD_V2_ELIGIBLE,Jointly focuses low-scoring positives and high-scoring negatives,TARGET_METRIC_DEFINITION,https://arxiv.org/abs/2206.11655,https://arxiv.org/pdf/2206.11655
A040,FN95_STATE_DEPENDENCE,RQ8,How much does Initialization Affect Generalization?,Sameera Ramasinghe; Lachlan Ewen Macdonald; Moshiur Farazi; Hemanth Saratchandran; Simon Lucey,2023,AX650ABBBE424F1071,CW650ABBBE424F1071637C,EXTERNAL_PRIMARY_IDENTITY_VERIFIED_PENDING_SCREEN,Formal and empirical evidence that initialization changes learned solutions and generalization,STATE_DEPENDENCE_MECHANISM,https://proceedings.mlr.press/v202/ramasinghe23a.html,https://proceedings.mlr.press/v202/ramasinghe23a/ramasinghe23a.pdf
