paper_id,queue_id,anchor_id,family,quota_rq,rq_ids,selection_role,title,authors,year,primary_url,full_text_url,source_path,source_sha256,text_path,text_sha256,current_status
RG23777DF75AF056AE,RG23777DF75AF056AE,A024,DIVERSITY_COVERAGE,RQ2;RQ5,RQ2;RQ5,MANDATORY_ANCHOR,D2 Pruning: Message Passing for Balancing Diversity and Difficulty in Data Pruning,Adyasha Maharana; Prateek Yadav; Mohit Bansal,2024,https://openreview.net/forum?id=thbtoAkCe9,https://openreview.net/pdf?id=thbtoAkCe9,sources/anchor_supplement_v2/RG23777DF75AF056AE.pdf,B8CD6E1E680EC7D566C2688D007B226E2C6137BD8A298CC53A6497F6083355C1,discovery/anchor_text_v2/RG23777DF75AF056AE.txt,6D979033ABC411774FFF3D60557CEF7794C897320944ED436ED3A9796B74C032,DISCOVERED_NOT_BROAD_SCREENED
RG4C05ABF685E44621,RG4C05ABF685E44621,A025,DIVERSITY_COVERAGE,RQ5,RQ5,MANDATORY_ANCHOR,Coverage-centric Coreset Selection for High Pruning Rates,Haizhong Zheng; Rui Liu; Fan Lai; Atul Prakash,2022,https://arxiv.org/abs/2210.15809,https://arxiv.org/pdf/2210.15809,sources/anchor_supplement_v2/RG4C05ABF685E44621.pdf,EE192893648C10D33A74D757A54A6DDDD1C660B547A0653061C8D0F113A81C54,discovery/anchor_text_v2/RG4C05ABF685E44621.txt,61F0F56350B044BEFD05EE31EB561E560BEC6265685BDE60B05D1E700F250CA2,DISCOVERED_NOT_BROAD_SCREENED
AX79D4A4F6C4BBCA52,AX79D4A4F6C4BBCA52,A026,DIVERSITY_COVERAGE,RQ3;RQ5,RQ3;RQ5,MANDATORY_ANCHOR,Coresets for Accelerating Incremental Gradient Methods,Baharan Mirzasoleiman; Jeff Bilmes; Jure Leskovec,2020,https://openreview.net/forum?id=SygRikHtvS,https://openreview.net/pdf?id=SygRikHtvS,sources/anchor_supplement_v2/AX79D4A4F6C4BBCA52.pdf,0B1D7D169887B38223BD294EBC6618DE562AAE2D8CACF707A16B6AC626F43819,discovery/anchor_text_v2/AX79D4A4F6C4BBCA52.txt,F2BB2BD9720F584BECF9CA409408C168188FB88216D440BDEE474C8E7F7A9A34,EXTERNAL_PRIMARY_IDENTITY_VERIFIED_PENDING_SCREEN
AX5BBB2D6BD039C272,AX5BBB2D6BD039C272,A027,DIVERSITY_COVERAGE,RQ5;RQ7,RQ5;RQ7,MANDATORY_ANCHOR,Active Learning Through a Covering Lens,Ofer Yehuda; Avihu Dekel; Guy Hacohen; Daphna Weinshall,2022,https://proceedings.neurips.cc/paper_files/paper/2022/hash/8c64bc3f7796d31caa7c3e6b969bf7da-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2022/file/8c64bc3f7796d31caa7c3e6b969bf7da-Paper-Conference.pdf,sources/anchor_supplement_v2/AX5BBB2D6BD039C272.pdf,EFBF45149577F3EB64AFDAE440A5335A89F003B9C357D3AFF3926278162E664E,discovery/anchor_text_v2/AX5BBB2D6BD039C272.txt,FC899ADA893F463EF04516078206D1FA1556596656B7A52738129A584660E3C8,EXTERNAL_PRIMARY_IDENTITY_VERIFIED_PENDING_SCREEN
AXA507196A9C503BF5,AXA507196A9C503BF5,A028,DIVERSITY_COVERAGE,RQ5;RQ7,RQ5;RQ7,MANDATORY_ANCHOR,Active Learning on a Budget: Opposite Strategies Suit High and Low Budgets,Guy Hacohen; Avihu Dekel; Daphna Weinshall,2022,https://proceedings.mlr.press/v162/hacohen22a.html,https://proceedings.mlr.press/v162/hacohen22a/hacohen22a.pdf,sources/anchor_supplement_v2/AXA507196A9C503BF5.pdf,025914F5C23CAD723682BD4C11E1F4F5892EA70663DFD7B26CBD4363F0ECBDEB,discovery/anchor_text_v2/AXA507196A9C503BF5.txt,7A5D15D3BB3DFB7A2EF0830F53FD3E867BB3FD39DCB2428868D7C5A36AFCDFB9,EXTERNAL_PRIMARY_IDENTITY_VERIFIED_PENDING_SCREEN
RGEE7171D25C56697E,RGEE7171D25C56697E,A030,TIMING_BUDGET_RANDOM,RQ1;RQ5;RQ6,RQ1;RQ5;RQ6,MANDATORY_ANCHOR,Accelerating Deep Learning with Dynamic Data Pruning,Ravi Raju; Kyle Daruwalla; Mikko H. Lipasti,2021,https://arxiv.org/abs/2111.12621,https://arxiv.org/pdf/2111.12621,sources/anchor_supplement_v2/RGEE7171D25C56697E.pdf,02C12E6E1B066F8B604D4CE4FEBA34D84ABD71E3EE153B989B401731DB633B87,discovery/anchor_text_v2/RGEE7171D25C56697E.txt,348B22BA62EEFD0F973024EE4907031B75A201DDFFCD619E908C46A95B9455D5,DISCOVERED_NOT_BROAD_SCREENED
AXB4D35C6558F3F40B,AXB4D35C6558F3F40B,A031,TIMING_BUDGET_RANDOM,RQ6;RQ7,RQ6;RQ7,MANDATORY_ANCHOR,Repeated Random Sampling for Minimizing the Time-to-Accuracy of Learning,Patrik Okanovic; Roger Waleffe; Vasilis Mageirakos; Konstantinos Nikolakakis; Amin Karbasi; Dionysios Kalogerias; Nezihe Merve Gurel; Theodoros Rekatsinas,2024,https://proceedings.iclr.cc/paper_files/paper/2024/hash/68b8d2bc77268facfc75a78782da9559-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2024/file/68b8d2bc77268facfc75a78782da9559-Paper-Conference.pdf,sources/anchor_supplement_v2/AXB4D35C6558F3F40B.pdf,926A30E30C2283C2F95C7CB6301651BE7D334C96197E94F255391D4BDC526FB1,discovery/anchor_text_v2/AXB4D35C6558F3F40B.txt,6180F308EE7ED44B2DA3F87F2FE9E0379B59B5D4327FF393231AAE5F635EE721,EXTERNAL_PRIMARY_IDENTITY_VERIFIED_PENDING_SCREEN
RG015FC4345AA73EEF,RG015FC4345AA73EEF,A035,TIMING_BUDGET_RANDOM,RQ6,RQ6,MANDATORY_ANCHOR,Training Region-Based Object Detectors with Online Hard Example Mining,Abhinav Shrivastava; Abhinav Gupta; Ross Girshick,2016,https://openaccess.thecvf.com/content_cvpr_2016/html/Shrivastava_Training_Region-Based_Object_CVPR_2016_paper.html,https://www.cv-foundation.org/openaccess/content_cvpr_2016/papers/Shrivastava_Training_Region-Based_Object_CVPR_2016_paper.pdf,sources/anchor_supplement_v2/RG015FC4345AA73EEF.pdf,50C03A67FDE277B2E4E0797224C2D9AEC77F0939CC9CFBB2EA24509317A4E9E6,discovery/anchor_text_v2/RG015FC4345AA73EEF.txt,9AB8DF70D0B3577533B20425D12AF832E5B5A2F1770EDDA13EA59690E4559ACF,DISCOVERED_NOT_BROAD_SCREENED
AX60FA7026B413D57B,AX60FA7026B413D57B,A036,TIMING_BUDGET_RANDOM,RQ2;RQ6,RQ2;RQ6,MANDATORY_ANCHOR,Focal Loss for Dense Object Detection,Tsung-Yi Lin; Priya Goyal; Ross Girshick; Kaiming He; Piotr Dollar,2017,https://openaccess.thecvf.com/content_ICCV_2017/html/Lin_Focal_Loss_for_ICCV_2017_paper.html,https://openaccess.thecvf.com/content_ICCV_2017/papers/Lin_Focal_Loss_for_ICCV_2017_paper.pdf,sources/anchor_supplement_v2/AX60FA7026B413D57B.pdf,957060A5139B26FF4A41AF8AF84AD6BE57495F11E349B805F48A1ECBDFC8CC6F,discovery/anchor_text_v2/AX60FA7026B413D57B.txt,989F022BB18210C3878D47E98BBA538B41F26BF15B15A0F2B12723F30C3A5148,EXTERNAL_PRIMARY_IDENTITY_VERIFIED_PENDING_SCREEN
RG9FA3C12D2147A460,RG9FA3C12D2147A460,A037,FN95_STATE_DEPENDENCE,RQ8,RQ8,MANDATORY_ANCHOR,A Neyman-Pearson Approach to Statistical Learning,Clayton Scott; Robert Nowak,2005,https://doi.org/10.1109/TIT.2005.856955,https://www.stat.rice.edu/~cscott/pubs/np.pdf,sources/anchor_supplement_v2/RG9FA3C12D2147A460.pdf,E0336648125BB19F29C5E7C2FE3A19184D1E30107F3BB593B86CFBDA65866EB3,discovery/anchor_text_v2/RG9FA3C12D2147A460.txt,0EA6BDF939798FDC3A06CFA8B04F2DF4DC8CAD3ED7502D0A172E0FCD13CD095B,DISCOVERED_NOT_BROAD_SCREENED
AX650ABBBE424F1071,AX650ABBBE424F1071,A040,FN95_STATE_DEPENDENCE,RQ8,RQ8,MANDATORY_ANCHOR,How much does Initialization Affect Generalization?,Sameera Ramasinghe; Lachlan Ewen Macdonald; Moshiur Farazi; Hemanth Saratchandran; Simon Lucey,2023,https://proceedings.mlr.press/v202/ramasinghe23a.html,https://proceedings.mlr.press/v202/ramasinghe23a/ramasinghe23a.pdf,sources/anchor_supplement_v2/AX650ABBBE424F1071.pdf,F934608344387DAD5E095FEFBAD7FCDD0311D5E56D60DCAFF8E3E82BEE392EA3,discovery/anchor_text_v2/AX650ABBBE424F1071.txt,85E71527BFB0D8E724AF3243F8006FCA79F7E37761389CD0F526F2241CF607AF,EXTERNAL_PRIMARY_IDENTITY_VERIFIED_PENDING_SCREEN
